QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,RB,Bijan Robinson (44132656),Bijan Robinson,44132656,RB/FLEX,8200,CAR@ATL 09/20/2026 01:00PM ET,ATL,23.22
,,,,,,,,,,WR,Jaxon Smith-Njigba (44132962),Jaxon Smith-Njigba,44132962,WR/FLEX,8100,SEA@ARI 09/20/2026 04:25PM ET,SEA,21.99
,,,,,,,,,,RB,Christian McCaffrey (44132658),Christian McCaffrey,44132658,RB/FLEX,8000,MIA@SF 09/20/2026 04:25PM ET,SF,24.76
,,,,,,,,,,WR,Justin Jefferson (44132964),Justin Jefferson,44132964,WR/FLEX,7800,MIN@CHI 09/20/2026 01:00PM ET,MIN,12.38
,,,,,,,,,,WR,Ja'Marr Chase (44132966),Ja'Marr Chase,44132966,WR/FLEX,7600,CIN@HOU 09/20/2026 01:00PM ET,CIN,20.98
,,,,,,,,,,WR,CeeDee Lamb (44132968),CeeDee Lamb,44132968,WR/FLEX,7300,WAS@DAL 09/20/2026 04:25PM ET,DAL,15.64
,,,,,,,,,,QB,Lamar Jackson (44132567),Lamar Jackson,44132567,QB,7300,NO@BAL 09/20/2026 01:00PM ET,BAL,17.30
,,,,,,,,,,RB,Derrick Henry (44132660),Derrick Henry,44132660,RB/FLEX,7200,NO@BAL 09/20/2026 01:00PM ET,BAL,18.03
,,,,,,,,,,WR,Chris Olave (44132970),Chris Olave,44132970,WR/FLEX,7200,NO@BAL 09/20/2026 01:00PM ET,NO,17.38
,,,,,,,,,,WR,Nico Collins (44132972),Nico Collins,44132972,WR/FLEX,7000,CIN@HOU 09/20/2026 01:00PM ET,HOU,15.08
,,,,,,,,,,RB,Saquon Barkley (44132662),Saquon Barkley,44132662,RB/FLEX,7000,PHI@TEN 09/20/2026 01:00PM ET,PHI,15.38
,,,,,,,,,,RB,Chase Brown (44132664),Chase Brown,44132664,RB/FLEX,6900,CIN@HOU 09/20/2026 01:00PM ET,CIN,17.15
,,,,,,,,,,TE,Trey McBride (44133442),Trey McBride,44133442,TE/FLEX,6900,SEA@ARI 09/20/2026 04:25PM ET,ARI,19.11
,,,,,,,,,,WR,DeVonta Smith (44132974),DeVonta Smith,44132974,WR/FLEX,6800,PHI@TEN 09/20/2026 01:00PM ET,PHI,12.38
,,,,,,,,,,RB,Ashton Jeanty (44132666),Ashton Jeanty,44132666,RB/FLEX,6800,LV@LAC 09/20/2026 04:05PM ET,LV,14.83
,,,,,,,,,,QB,Caleb Williams (44132568),Caleb Williams,44132568,QB,6800,MIN@CHI 09/20/2026 01:00PM ET,CHI,19.81
,,,,,,,,,,QB,Jalen Hurts (44132569),Jalen Hurts,44132569,QB,6700,PHI@TEN 09/20/2026 01:00PM ET,PHI,19.07
,,,,,,,,,,WR,Zay Flowers (44132976),Zay Flowers,44132976,WR/FLEX,6700,NO@BAL 09/20/2026 01:00PM ET,BAL,15.02
,,,,,,,,,,RB,De'Von Achane (44132668),De'Von Achane,44132668,RB/FLEX,6700,MIA@SF 09/20/2026 04:25PM ET,MIA,20.92
,,,,,,,,,,QB,Joe Burrow (44132570),Joe Burrow,44132570,QB,6600,CIN@HOU 09/20/2026 01:00PM ET,CIN,18.18
,,,,,,,,,,RB,Omarion Hampton (44132670),Omarion Hampton,44132670,RB/FLEX,6600,LV@LAC 09/20/2026 04:05PM ET,LAC,13.86
,,,,,,,,,,TE,Brock Bowers (44133444),Brock Bowers,44133444,TE/FLEX,6600,LV@LAC 09/20/2026 04:05PM ET,LV,15.18
,,,,,,,,,,WR,Mike Evans (44132978),Mike Evans,44132978,WR/FLEX,6600,MIA@SF 09/20/2026 04:25PM ET,SF,10.98
,,,,,,,,,,RB,David Montgomery (44132672),David Montgomery,44132672,RB/FLEX,6500,CIN@HOU 09/20/2026 01:00PM ET,HOU,10.05
,,,,,,,,,,WR,Jaylen Waddle (44132980),Jaylen Waddle,44132980,WR/FLEX,6500,JAX@DEN 09/20/2026 04:05PM ET,DEN,12.32
,,,,,,,,,,QB,Dak Prescott (44132571),Dak Prescott,44132571,QB,6400,WAS@DAL 09/20/2026 04:25PM ET,DAL,20.22
,,,,,,,,,,RB,Javonte Williams (44132674),Javonte Williams,44132674,RB/FLEX,6400,WAS@DAL 09/20/2026 04:25PM ET,DAL,15.68
,,,,,,,,,,WR,Emeka Egbuka (44132982),Emeka Egbuka,44132982,WR/FLEX,6400,CLE@TB 09/20/2026 01:00PM ET,TB,12.04
,,,,,,,,,,QB,Jayden Daniels (44132572),Jayden Daniels,44132572,QB,6300,WAS@DAL 09/20/2026 04:25PM ET,WAS,17.04
,,,,,,,,,,WR,George Pickens (44132984),George Pickens,44132984,WR/FLEX,6300,WAS@DAL 09/20/2026 04:25PM ET,DAL,18.05
,,,,,,,,,,RB,Josh Jacobs (44132678),Josh Jacobs,44132678,RB/FLEX,6300,GB@NYJ 09/20/2026 01:00PM ET,GB,15.37
,,,,,,,,,,RB,D'Andre Swift (44132676),D'Andre Swift,44132676,RB/FLEX,6300,MIN@CHI 09/20/2026 01:00PM ET,CHI,14.69
,,,,,,,,,,RB,Breece Hall (44132680),Breece Hall,44132680,RB/FLEX,6200,GB@NYJ 09/20/2026 01:00PM ET,NYJ,13.85
,,,,,,,,,,WR,Christian Watson (44132986),Christian Watson,44132986,WR/FLEX,6200,GB@NYJ 09/20/2026 01:00PM ET,GB,13.46
,,,,,,,,,,WR,Ladd McConkey (44132988),Ladd McConkey,44132988,WR/FLEX,6200,LV@LAC 09/20/2026 04:05PM ET,LAC,11.36
,,,,,,,,,,QB,Brock Purdy (44132573),Brock Purdy,44132573,QB,6200,MIA@SF 09/20/2026 04:25PM ET,SF,20.14
,,,,,,,,,,WR,Tee Higgins (44132990),Tee Higgins,44132990,WR/FLEX,6100,CIN@HOU 09/20/2026 01:00PM ET,CIN,14.31
,,,,,,,,,,RB,Bucky Irving (44132682),Bucky Irving,44132682,RB/FLEX,6100,CLE@TB 09/20/2026 01:00PM ET,TB,14.25
,,,,,,,,,,QB,Drake Maye (44132574),Drake Maye,44132574,QB,6100,PIT@NE 09/20/2026 01:00PM ET,NE,20.90
,,,,,,,,,,WR,Tetairoa McMillan (44132992),Tetairoa McMillan,44132992,WR/FLEX,6100,CAR@ATL 09/20/2026 01:00PM ET,CAR,12.86
,,,,,,,,,,WR,Garrett Wilson (44132996),Garrett Wilson,44132996,WR/FLEX,6000,GB@NYJ 09/20/2026 01:00PM ET,NYJ,14.21
,,,,,,,,,,WR,Drake London (44132994),Drake London,44132994,WR/FLEX,6000,CAR@ATL 09/20/2026 01:00PM ET,ATL,18.16
,,,,,,,,,,RB,Travis Etienne Jr. (44132684),Travis Etienne Jr.,44132684,RB/FLEX,6000,NO@BAL 09/20/2026 01:00PM ET,NO,15.69
,,,,,,,,,,QB,Justin Herbert (44132575),Justin Herbert,44132575,QB,6000,LV@LAC 09/20/2026 04:05PM ET,LAC,19.11
,,,,,,,,,,QB,Jordan Love (44132576),Jordan Love,44132576,QB,5900,GB@NYJ 09/20/2026 01:00PM ET,GB,17.64
,,,,,,,,,,WR,Parker Washington (44132998),Parker Washington,44132998,WR/FLEX,5900,JAX@DEN 09/20/2026 04:05PM ET,JAX,12.8
,,,,,,,,,,RB,Jeremiyah Love (44132686),Jeremiyah Love,44132686,RB/FLEX,5900,SEA@ARI 09/20/2026 04:25PM ET,ARI,0
,,,,,,,,,,RB,Chuba Hubbard (44132688),Chuba Hubbard,44132688,RB/FLEX,5800,CAR@ATL 09/20/2026 01:00PM ET,CAR,9.14
,,,,,,,,,,QB,Trevor Lawrence (44132577),Trevor Lawrence,44132577,QB,5800,JAX@DEN 09/20/2026 04:05PM ET,JAX,20.98
,,,,,,,,,,WR,Courtland Sutton (44133000),Courtland Sutton,44133000,WR/FLEX,5800,JAX@DEN 09/20/2026 04:05PM ET,DEN,12.93
,,,,,,,,,,RB,Rhamondre Stevenson (44132690),Rhamondre Stevenson,44132690,RB/FLEX,5700,PIT@NE 09/20/2026 01:00PM ET,NE,13.17
,,,,,,,,,,QB,Bo Nix (44132578),Bo Nix,44132578,QB,5700,JAX@DEN 09/20/2026 04:05PM ET,DEN,19.72
,,,,,,,,,,WR,Luther Burden III (44133002),Luther Burden III,44133002,WR/FLEX,5700,MIN@CHI 09/20/2026 01:00PM ET,CHI,8.59
,,,,,,,,,,QB,Baker Mayfield (44132579),Baker Mayfield,44132579,QB,5600,CLE@TB 09/20/2026 01:00PM ET,TB,17.17
,,,,,,,,,,WR,Chris Godwin Jr. (44133004),Chris Godwin Jr.,44133004,WR/FLEX,5600,CLE@TB 09/20/2026 01:00PM ET,TB,9.56
,,,,,,,,,,RB,Bhayshul Tuten (44132692),Bhayshul Tuten,44132692,RB/FLEX,5600,JAX@DEN 09/20/2026 04:05PM ET,JAX,5.92
,,,,,,,,,,QB,C.J. Stroud (44132580),C.J. Stroud,44132580,QB,5500,CIN@HOU 09/20/2026 01:00PM ET,HOU,15.01
,,,,,,,,,,RB,Jacory Croskey-Merritt (44132696),Jacory Croskey-Merritt,44132696,RB/FLEX,5500,WAS@DAL 09/20/2026 04:25PM ET,WAS,8.72
,,,,,,,,,,RB,Jadarian Price (44132694),Jadarian Price,44132694,RB/FLEX,5500,SEA@ARI 09/20/2026 04:25PM ET,SEA,0
,,,,,,,,,,WR,Rome Odunze (44133006),Rome Odunze,44133006,WR/FLEX,5500,MIN@CHI 09/20/2026 01:00PM ET,CHI,11.78
,,,,,,,,,,RB,Quinshon Judkins (44132698),Quinshon Judkins,44132698,RB/FLEX,5400,CLE@TB 09/20/2026 01:00PM ET,CLE,12.34
