CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,RB,Kenneth Walker III (44105012),Kenneth Walker III,44105012,CPT,15900,DEN@KC 09/14/2026 08:15PM ET,KC,13.93
,,,,,,,QB,Bo Nix (44105013),Bo Nix,44105013,CPT,14700,DEN@KC 09/14/2026 08:15PM ET,DEN,19.72
,,,,,,,QB,Patrick Mahomes (44105014),Patrick Mahomes,44105014,CPT,14400,DEN@KC 09/14/2026 08:15PM ET,KC,21.62
,,,,,,,WR,Rashee Rice (44105015),Rashee Rice,44105015,CPT,14100,DEN@KC 09/14/2026 08:15PM ET,KC,19.14
,,,,,,,WR,Jaylen Waddle (44105016),Jaylen Waddle,44105016,CPT,13500,DEN@KC 09/14/2026 08:15PM ET,DEN,12.32
,,,,,,,QB,Justin Fields (44105017),Justin Fields,44105017,CPT,12900,DEN@KC 09/14/2026 08:15PM ET,KC,16.30
,,,,,,,WR,Courtland Sutton (44105018),Courtland Sutton,44105018,CPT,12000,DEN@KC 09/14/2026 08:15PM ET,DEN,12.93
,,,,,,,RB,RJ Harvey (44105019),RJ Harvey,44105019,CPT,11100,DEN@KC 09/14/2026 08:15PM ET,DEN,12.06
,,,,,,,RB,Kenneth Walker III (44104957),Kenneth Walker III,44104957,FLEX,10600,DEN@KC 09/14/2026 08:15PM ET,KC,13.93
,,,,,,,TE,Travis Kelce (44105020),Travis Kelce,44105020,CPT,10500,DEN@KC 09/14/2026 08:15PM ET,KC,11.36
,,,,,,,WR,Xavier Worthy (44105021),Xavier Worthy,44105021,CPT,9900,DEN@KC 09/14/2026 08:15PM ET,KC,7.85
,,,,,,,QB,Bo Nix (44104958),Bo Nix,44104958,FLEX,9800,DEN@KC 09/14/2026 08:15PM ET,DEN,19.72
,,,,,,,QB,Patrick Mahomes (44104959),Patrick Mahomes,44104959,FLEX,9600,DEN@KC 09/14/2026 08:15PM ET,KC,21.62
,,,,,,,RB,J.K. Dobbins (44105022),J.K. Dobbins,44105022,CPT,9600,DEN@KC 09/14/2026 08:15PM ET,DEN,12.19
,,,,,,,WR,Rashee Rice (44104960),Rashee Rice,44104960,FLEX,9400,DEN@KC 09/14/2026 08:15PM ET,KC,19.14
,,,,,,,WR,Jaylen Waddle (44104961),Jaylen Waddle,44104961,FLEX,9000,DEN@KC 09/14/2026 08:15PM ET,DEN,12.32
,,,,,,,QB,Jarrett Stidham (44105023),Jarrett Stidham,44105023,CPT,9000,DEN@KC 09/14/2026 08:15PM ET,DEN,4.76
,,,,,,,QB,Sam Ehlinger (44105024),Sam Ehlinger,44105024,CPT,9000,DEN@KC 09/14/2026 08:15PM ET,DEN,0
,,,,,,,QB,Garrett Nussmeier (44105025),Garrett Nussmeier,44105025,CPT,9000,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,QB,Justin Fields (44104962),Justin Fields,44104962,FLEX,8600,DEN@KC 09/14/2026 08:15PM ET,KC,16.30
,,,,,,,WR,Courtland Sutton (44104963),Courtland Sutton,44104963,FLEX,8000,DEN@KC 09/14/2026 08:15PM ET,DEN,12.93
,,,,,,,K,Wil Lutz (44105026),Wil Lutz,44105026,CPT,7800,DEN@KC 09/14/2026 08:15PM ET,DEN,8
,,,,,,,K,Harrison Butker (44105027),Harrison Butker,44105027,CPT,7500,DEN@KC 09/14/2026 08:15PM ET,KC,8.76
,,,,,,,RB,RJ Harvey (44104964),RJ Harvey,44104964,FLEX,7400,DEN@KC 09/14/2026 08:15PM ET,DEN,12.06
,,,,,,,DST,Broncos  (44105028),Broncos ,44105028,CPT,7200,DEN@KC 09/14/2026 08:15PM ET,DEN,8.63
,,,,,,,TE,Travis Kelce (44104965),Travis Kelce,44104965,FLEX,7000,DEN@KC 09/14/2026 08:15PM ET,KC,11.36
,,,,,,,WR,Xavier Worthy (44104966),Xavier Worthy,44104966,FLEX,6600,DEN@KC 09/14/2026 08:15PM ET,KC,7.85
,,,,,,,DST,Chiefs  (44105029),Chiefs ,44105029,CPT,6600,DEN@KC 09/14/2026 08:15PM ET,KC,5.41
,,,,,,,RB,J.K. Dobbins (44104967),J.K. Dobbins,44104967,FLEX,6400,DEN@KC 09/14/2026 08:15PM ET,DEN,12.19
,,,,,,,QB,Jarrett Stidham (44104968),Jarrett Stidham,44104968,FLEX,6000,DEN@KC 09/14/2026 08:15PM ET,DEN,4.76
,,,,,,,QB,Sam Ehlinger (44104969),Sam Ehlinger,44104969,FLEX,6000,DEN@KC 09/14/2026 08:15PM ET,DEN,0
,,,,,,,QB,Garrett Nussmeier (44104970),Garrett Nussmeier,44104970,FLEX,6000,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,WR,Cyrus Allen (44105030),Cyrus Allen,44105030,CPT,6000,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,WR,Tyquan Thornton (44105031),Tyquan Thornton,44105031,CPT,5400,DEN@KC 09/14/2026 08:15PM ET,KC,5.77
,,,,,,,K,Wil Lutz (44104971),Wil Lutz,44104971,FLEX,5200,DEN@KC 09/14/2026 08:15PM ET,DEN,8
,,,,,,,TE,Evan Engram (44105032),Evan Engram,44105032,CPT,5100,DEN@KC 09/14/2026 08:15PM ET,DEN,6.02
,,,,,,,K,Harrison Butker (44104972),Harrison Butker,44104972,FLEX,5000,DEN@KC 09/14/2026 08:15PM ET,KC,8.76
,,,,,,,DST,Broncos  (44104973),Broncos ,44104973,FLEX,4800,DEN@KC 09/14/2026 08:15PM ET,DEN,8.63
,,,,,,,WR,Pat Bryant (44105033),Pat Bryant,44105033,CPT,4800,DEN@KC 09/14/2026 08:15PM ET,DEN,4.84
,,,,,,,WR,Marvin Mims Jr. (44105034),Marvin Mims Jr.,44105034,CPT,4500,DEN@KC 09/14/2026 08:15PM ET,DEN,7.5
,,,,,,,DST,Chiefs  (44104974),Chiefs ,44104974,FLEX,4400,DEN@KC 09/14/2026 08:15PM ET,KC,5.41
,,,,,,,WR,Troy Franklin (44105035),Troy Franklin,44105035,CPT,4200,DEN@KC 09/14/2026 08:15PM ET,DEN,9.89
,,,,,,,WR,Cyrus Allen (44104975),Cyrus Allen,44104975,FLEX,4000,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,RB,Emmett Johnson (44105036),Emmett Johnson,44105036,CPT,3900,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,WR,Tyquan Thornton (44104976),Tyquan Thornton,44104976,FLEX,3600,DEN@KC 09/14/2026 08:15PM ET,KC,5.77
,,,,,,,RB,Jonah Coleman (44105038),Jonah Coleman,44105038,CPT,3600,DEN@KC 09/14/2026 08:15PM ET,DEN,0
,,,,,,,TE,Evan Engram (44104977),Evan Engram,44104977,FLEX,3400,DEN@KC 09/14/2026 08:15PM ET,DEN,6.02
,,,,,,,WR,Pat Bryant (44104978),Pat Bryant,44104978,FLEX,3200,DEN@KC 09/14/2026 08:15PM ET,DEN,4.84
,,,,,,,WR,Marvin Mims Jr. (44104979),Marvin Mims Jr.,44104979,FLEX,3000,DEN@KC 09/14/2026 08:15PM ET,DEN,7.5
,,,,,,,TE,Noah Gray (44105037),Noah Gray,44105037,CPT,3000,DEN@KC 09/14/2026 08:15PM ET,KC,2.42
,,,,,,,WR,Troy Franklin (44104980),Troy Franklin,44104980,FLEX,2800,DEN@KC 09/14/2026 08:15PM ET,DEN,9.89
,,,,,,,RB,Emmett Johnson (44104981),Emmett Johnson,44104981,FLEX,2600,DEN@KC 09/14/2026 08:15PM ET,KC,0
