name,team,pos,salary,cpt_salary,dk_flex_id,dk_cpt_id,snapshot_ts
Kenneth Walker III,KC,RB,10600,15900,44104957,44105012,2026-09-14T06:20:05.445623+00:00
Bo Nix,DEN,QB,9800,14700,44104958,44105013,2026-09-14T06:20:05.445623+00:00
Patrick Mahomes,KC,QB,9600,14400,44104959,44105014,2026-09-14T06:20:05.445623+00:00
Rashee Rice,KC,WR,9400,14100,44104960,44105015,2026-09-14T06:20:05.445623+00:00
Jaylen Waddle,DEN,WR,9000,13500,44104961,44105016,2026-09-14T06:20:05.445623+00:00
Justin Fields,KC,QB,8600,12900,44104962,44105017,2026-09-14T06:20:05.445623+00:00
Courtland Sutton,DEN,WR,8000,12000,44104963,44105018,2026-09-14T06:20:05.445623+00:00
RJ Harvey,DEN,RB,7400,11100,44104964,44105019,2026-09-14T06:20:05.445623+00:00
Travis Kelce,KC,TE,7000,10500,44104965,44105020,2026-09-14T06:20:05.445623+00:00
Xavier Worthy,KC,WR,6600,9900,44104966,44105021,2026-09-14T06:20:05.445623+00:00
J.K. Dobbins,DEN,RB,6400,9600,44104967,44105022,2026-09-14T06:20:05.445623+00:00
Jarrett Stidham,DEN,QB,6000,9000,44104968,44105023,2026-09-14T06:20:05.445623+00:00
Sam Ehlinger,DEN,QB,6000,9000,44104969,44105024,2026-09-14T06:20:05.445623+00:00
Garrett Nussmeier,KC,QB,6000,9000,44104970,44105025,2026-09-14T06:20:05.445623+00:00
Wil Lutz,DEN,K,5200,7800,44104971,44105026,2026-09-14T06:20:05.445623+00:00
Harrison Butker,KC,K,5000,7500,44104972,44105027,2026-09-14T06:20:05.445623+00:00
Cyrus Allen,KC,WR,4000,6000,44104975,44105030,2026-09-14T06:20:05.445623+00:00
Tyquan Thornton,KC,WR,3600,5400,44104976,44105031,2026-09-14T06:20:05.445623+00:00
Evan Engram,DEN,TE,3400,5100,44104977,44105032,2026-09-14T06:20:05.445623+00:00
Pat Bryant,DEN,WR,3200,4800,44104978,44105033,2026-09-14T06:20:05.445623+00:00
Marvin Mims Jr.,DEN,WR,3000,4500,44104979,44105034,2026-09-14T06:20:05.445623+00:00
Troy Franklin,DEN,WR,2800,4200,44104980,44105035,2026-09-14T06:20:05.445623+00:00
Emmett Johnson,KC,RB,2600,3900,44104981,44105036,2026-09-14T06:20:05.445623+00:00
Jonah Coleman,DEN,RB,2400,3600,44104983,44105038,2026-09-14T06:20:05.445623+00:00
Noah Gray,KC,TE,2000,3000,44104982,44105037,2026-09-14T06:20:05.445623+00:00
Adam Trautman,DEN,TE,1600,2400,44104984,44105039,2026-09-14T06:20:05.445623+00:00
Brashard Smith,KC,RB,1400,2100,44104985,44105040,2026-09-14T06:20:05.445623+00:00
Jalen Royals,KC,WR,1200,1800,44104986,44105041,2026-09-14T06:20:05.445623+00:00
Lil'Jordan Humphrey,DEN,WR,1000,1500,44104987,44105042,2026-09-14T06:20:05.445623+00:00
Nikko Remigio,KC,WR,800,1200,44104988,44105043,2026-09-14T06:20:05.445623+00:00
Nate Adkins,DEN,TE,600,900,44104989,44105044,2026-09-14T06:20:05.445623+00:00
Tyler Badie,DEN,RB,400,600,44104990,44105045,2026-09-14T06:20:05.445623+00:00
Cody Schrader,DEN,RB,200,300,44104991,44105046,2026-09-14T06:20:05.445623+00:00
Nate Carter,KC,RB,200,300,44104992,44105047,2026-09-14T06:20:05.445623+00:00
Adam Prentice,DEN,RB,200,300,44104993,44105048,2026-09-14T06:20:05.445623+00:00
Jaydn Ott,KC,RB,200,300,44104994,44105049,2026-09-14T06:20:05.445623+00:00
Ben VanSumeren,KC,RB,200,300,44104995,44105050,2026-09-14T06:20:05.445623+00:00
Jimmy Holiday,KC,WR,200,300,44104996,44105051,2026-09-14T06:20:05.445623+00:00
Jeff Caldwell,KC,WR,200,300,44104997,44105052,2026-09-14T06:20:05.445623+00:00
Michael Bandy,DEN,WR,200,300,44104998,44105053,2026-09-14T06:20:05.445623+00:00
Kolbe Katsis,DEN,WR,200,300,44104999,44105054,2026-09-14T06:20:05.445623+00:00
Andrew Armstrong,KC,WR,200,300,44105000,44105055,2026-09-14T06:20:05.445623+00:00
Dane Key,DEN,WR,200,300,44105001,44105056,2026-09-14T06:20:05.445623+00:00
Omari Evans,KC,WR,200,300,44105002,44105057,2026-09-14T06:20:05.445623+00:00
John Michael Gyllenborg,KC,TE,200,300,44105003,44105058,2026-09-14T06:20:05.445623+00:00
Jake Briningstool,KC,TE,200,300,44105004,44105059,2026-09-14T06:20:05.445623+00:00
Caleb Lohner,DEN,TE,200,300,44105005,44105060,2026-09-14T06:20:05.445623+00:00
Mitchell Fraboni,DEN,TE,200,300,44105006,44105061,2026-09-14T06:20:05.445623+00:00
Lucas Krull,DEN,TE,200,300,44105007,44105062,2026-09-14T06:20:05.445623+00:00
James Winchester,KC,TE,200,300,44105008,44105063,2026-09-14T06:20:05.445623+00:00
Jared Wiley,KC,TE,200,300,44105009,44105064,2026-09-14T06:20:05.445623+00:00
Thomas Odukoya,KC,TE,200,300,44105010,44105065,2026-09-14T06:20:05.445623+00:00
Dallen Bentley,DEN,TE,200,300,44105011,44105066,2026-09-14T06:20:05.445623+00:00
Broncos,DEN,DST,4800,7200,44104973,44105028,2026-09-14T06:20:05.445623+00:00
Chiefs,KC,DST,4400,6600,44104974,44105029,2026-09-14T06:20:05.445623+00:00
