name,team,pos,salary,cpt_salary,dk_flex_id,dk_cpt_id,snapshot_ts
Jaxon Smith-Njigba,SEA,WR,10600,15900,43782034,43782097,2026-09-10T05:09:42.622104+00:00
Drake Maye,NE,QB,10000,15000,43782035,43782098,2026-09-10T05:09:42.622104+00:00
A.J. Brown,NE,WR,9600,14400,43782036,43782099,2026-09-10T05:09:42.622104+00:00
Sam Darnold,SEA,QB,9400,14100,43782037,43782100,2026-09-10T05:09:42.622104+00:00
Rhamondre Stevenson,NE,RB,8400,12600,43782038,43782101,2026-09-10T05:09:42.622104+00:00
Zach Charbonnet,SEA,RB,8200,12300,43782039,43782102,2026-09-10T05:09:42.622104+00:00
Tommy DeVito,NE,QB,8000,12000,43782040,43782103,2026-09-10T05:09:42.622104+00:00
TreVeyon Henderson,NE,RB,7600,11400,43782041,43782104,2026-09-10T05:09:42.622104+00:00
Drew Lock,SEA,QB,7400,11100,43782042,43782105,2026-09-10T05:09:42.622104+00:00
Jadarian Price,SEA,RB,7200,10800,43782043,43782106,2026-09-10T05:09:42.622104+00:00
Romeo Doubs,NE,WR,6600,9900,43782044,43782107,2026-09-10T05:09:42.622104+00:00
Rashid Shaheed,SEA,WR,6400,9600,43782045,43782108,2026-09-10T05:09:42.622104+00:00
Behren Morton,NE,QB,6000,9000,43782046,43782109,2026-09-10T05:09:42.622104+00:00
Jalen Milroe,SEA,QB,6000,9000,43782047,43782110,2026-09-10T05:09:42.622104+00:00
Kayshon Boutte,NE,WR,5600,8400,43782048,43782111,2026-09-10T05:09:42.622104+00:00
Jason Myers,SEA,K,5400,8100,43782049,43782112,2026-09-10T05:09:42.622104+00:00
Cooper Kupp,SEA,WR,5200,7800,43782050,43782113,2026-09-10T05:09:42.622104+00:00
Andy Borregales,NE,K,5000,7500,43782051,43782114,2026-09-10T05:09:42.622104+00:00
Hunter Henry,NE,TE,4800,7200,43782052,43782115,2026-09-10T05:09:42.622104+00:00
AJ Barner,SEA,TE,4600,6900,43782053,43782116,2026-09-10T05:09:42.622104+00:00
George Holani,SEA,RB,4200,6300,43782055,43782118,2026-09-10T05:09:42.622104+00:00
Emanuel Wilson,SEA,RB,4000,6000,43782056,43782119,2026-09-10T05:09:42.622104+00:00
Mack Hollins,NE,WR,3600,5400,43782057,43782120,2026-09-10T05:09:42.622104+00:00
DeMario Douglas,NE,WR,3000,4500,43782059,43782122,2026-09-10T05:09:42.622104+00:00
Tory Horton,SEA,WR,2800,4200,43782060,43782123,2026-09-10T05:09:42.622104+00:00
Kyle Williams,NE,WR,2600,3900,43782061,43782124,2026-09-10T05:09:42.622104+00:00
Terrell Jennings,NE,RB,2400,3600,43782062,43782125,2026-09-10T05:09:42.622104+00:00
Corey Kiner,NE,RB,2400,3600,44034587,44034592,2026-09-10T05:09:42.622104+00:00
Hassan Haskins,NE,RB,2200,3300,44034588,44034593,2026-09-10T05:09:42.622104+00:00
Velus Jones Jr.,SEA,RB,2000,3000,43782063,43782126,2026-09-10T05:09:42.622104+00:00
Eli Raridon,NE,TE,1800,2700,43782064,43782127,2026-09-10T05:09:42.622104+00:00
Elijah Arroyo,SEA,TE,1600,2400,43782065,43782128,2026-09-10T05:09:42.622104+00:00
Jam Miller,NE,RB,1400,2100,43782066,43782129,2026-09-10T05:09:42.622104+00:00
Jake Bobo,SEA,WR,1200,1800,43782067,43782130,2026-09-10T05:09:42.622104+00:00
Efton Chism III,NE,WR,1000,1500,43782068,43782131,2026-09-10T05:09:42.622104+00:00
Cody White,SEA,WR,800,1200,43782069,43782132,2026-09-10T05:09:42.622104+00:00
Cameron Latu,NE,TE,800,1200,44034589,44034594,2026-09-10T05:09:42.622104+00:00
Eric Saubert,SEA,TE,600,900,43782070,43782133,2026-09-10T05:09:42.622104+00:00
Lan Larison,NE,RB,400,600,43782071,43782134,2026-09-10T05:09:42.622104+00:00
Reggie Gilliam,NE,RB,200,300,43782072,43782135,2026-09-10T05:09:42.622104+00:00
Jacardia Wright,SEA,RB,200,300,43782073,43782136,2026-09-10T05:09:42.622104+00:00
Brady Russell,SEA,RB,200,300,43782074,43782137,2026-09-10T05:09:42.622104+00:00
Robbie Ouzts,SEA,RB,200,300,43782075,43782138,2026-09-10T05:09:42.622104+00:00
Myles Montgomery,NE,RB,200,300,43782076,43782139,2026-09-10T05:09:42.622104+00:00
Tejhaun Palmer,NE,WR,200,300,43782077,43782140,2026-09-10T05:09:42.622104+00:00
Rashad Rochelle,SEA,WR,200,300,43782078,43782141,2026-09-10T05:09:42.622104+00:00
Kobe Prentice,NE,WR,200,300,43782079,43782142,2026-09-10T05:09:42.622104+00:00
Montorie Foster Jr.,SEA,WR,200,300,43782080,43782143,2026-09-10T05:09:42.622104+00:00
Nick DeGennaro,NE,WR,200,300,43782081,43782144,2026-09-10T05:09:42.622104+00:00
Irvin Charles,SEA,WR,200,300,43782082,43782145,2026-09-10T05:09:42.622104+00:00
Cameron Dorner,NE,WR,200,300,43782083,43782146,2026-09-10T05:09:42.622104+00:00
Ricky White III,SEA,WR,200,300,43782084,43782147,2026-09-10T05:09:42.622104+00:00
Kyle Dixon,NE,WR,200,300,43782085,43782148,2026-09-10T05:09:42.622104+00:00
Emmanuel Henderson Jr.,SEA,WR,200,300,43782086,43782149,2026-09-10T05:09:42.622104+00:00
Jimmy Kibble,NE,WR,200,300,43782087,43782150,2026-09-10T05:09:42.622104+00:00
Jeremiah Webb,NE,WR,200,300,43782088,43782151,2026-09-10T05:09:42.622104+00:00
Jack Westover,NE,TE,200,300,43782089,43782152,2026-09-10T05:09:42.622104+00:00
Lance Mason,SEA,TE,200,300,43782090,43782153,2026-09-10T05:09:42.622104+00:00
Nick Kallerup,SEA,TE,200,300,43782091,43782154,2026-09-10T05:09:42.622104+00:00
Mitch Van Vooren,NE,TE,200,300,43782092,43782155,2026-09-10T05:09:42.622104+00:00
Tanner Arkin,NE,TE,200,300,43782093,43782156,2026-09-10T05:09:42.622104+00:00
Nick Vannett,SEA,TE,200,300,43782094,43782157,2026-09-10T05:09:42.622104+00:00
CJ Dippre,NE,TE,200,300,43782095,43782158,2026-09-10T05:09:42.622104+00:00
Julian Hill,NE,TE,200,300,43782096,43782159,2026-09-10T05:09:42.622104+00:00
Shane Zylstra,NE,TE,200,300,44034590,44034595,2026-09-10T05:09:42.622104+00:00
Julian Hicks,SEA,WR,200,300,44034591,44034596,2026-09-10T05:09:42.622104+00:00
Seahawks,SEA,DST,4400,6600,43782054,43782117,2026-09-10T05:09:42.622104+00:00
Patriots,NE,DST,3400,5100,43782058,43782121,2026-09-10T05:09:42.622104+00:00
