name,team,pos,salary,cpt_salary,dk_flex_id,dk_cpt_id,snapshot_ts
Puka Nacua,LA,WR,11200,16800,44080714,44080768,2026-09-10T05:06:07.434251+00:00
Christian McCaffrey,SF,RB,10600,15900,44080715,44080769,2026-09-10T05:06:07.434251+00:00
Matthew Stafford,LA,QB,9800,14700,44080716,44080770,2026-09-10T05:06:07.434251+00:00
Brock Purdy,SF,QB,9400,14100,44080717,44080771,2026-09-10T05:06:07.434251+00:00
Davante Adams,LA,WR,9200,13800,44080718,44080772,2026-09-10T05:06:07.434251+00:00
Kyren Williams,LA,RB,8600,12900,44080719,44080773,2026-09-10T05:06:07.434251+00:00
Mike Evans,SF,WR,8200,12300,44080720,44080774,2026-09-10T05:06:07.434251+00:00
George Kittle,SF,TE,7400,11100,44080721,44080775,2026-09-10T05:06:07.434251+00:00
Deebo Samuel Sr.,SF,WR,7000,10500,44080722,44080776,2026-09-10T05:06:07.434251+00:00
De'Zhaun Stribling,SF,WR,6600,9900,44080723,44080777,2026-09-10T05:06:07.434251+00:00
Stetson Bennett IV,LA,QB,6000,9000,44080724,44080778,2026-09-10T05:06:07.434251+00:00
Mac Jones,SF,QB,6000,9000,44080725,44080779,2026-09-10T05:06:07.434251+00:00
Ty Simpson,LA,QB,6000,9000,44080726,44080780,2026-09-10T05:06:07.434251+00:00
Matthew Caldwell,LA,QB,6000,9000,44080727,44080781,2026-09-10T05:06:07.434251+00:00
Kurtis Rourke,SF,QB,6000,9000,44080728,44080782,2026-09-10T05:06:07.434251+00:00
Harrison Mevis,LA,K,5000,7500,44080729,44080783,2026-09-10T05:06:07.434251+00:00
Eddy Pineiro,SF,K,4800,7200,44080730,44080784,2026-09-10T05:06:07.434251+00:00
Blake Corum,LA,RB,4600,6900,44080731,44080785,2026-09-10T05:06:07.434251+00:00
Jake Tonges,SF,TE,4400,6600,44080732,44080786,2026-09-10T05:06:07.434251+00:00
Demarcus Robinson,SF,WR,3800,5700,44080734,44080788,2026-09-10T05:06:07.434251+00:00
Colby Parkinson,LA,TE,3600,5400,44080735,44080789,2026-09-10T05:06:07.434251+00:00
Terrance Ferguson,LA,TE,3200,4800,44080737,44080791,2026-09-10T05:06:07.434251+00:00
Kaelon Black,SF,RB,3000,4500,44080738,44080792,2026-09-10T05:06:07.434251+00:00
Jordan Whittington,LA,WR,2800,4200,44080739,44080793,2026-09-10T05:06:07.434251+00:00
Tyler Higbee,LA,TE,2600,3900,44080740,44080794,2026-09-10T05:06:07.434251+00:00
Tutu Atwell,LA,WR,2400,3600,44080741,44080795,2026-09-10T05:06:07.434251+00:00
Jordan Watkins,SF,WR,2200,3300,44080742,44080796,2026-09-10T05:06:07.434251+00:00
Jordan James,SF,RB,2000,3000,44080743,44080797,2026-09-10T05:06:07.434251+00:00
Luke Farrell,SF,TE,1800,2700,44080744,44080798,2026-09-10T05:06:07.434251+00:00
Max Klare,LA,TE,1600,2400,44080745,44080799,2026-09-10T05:06:07.434251+00:00
Kyle Juszczyk,SF,RB,1400,2100,44080746,44080800,2026-09-10T05:06:07.434251+00:00
Konata Mumpfield,LA,WR,1200,1800,44080747,44080801,2026-09-10T05:06:07.434251+00:00
Jacob Cowing,SF,WR,1000,1500,44080748,44080802,2026-09-10T05:06:07.434251+00:00
CJ Daniels,LA,WR,800,1200,44080749,44080803,2026-09-10T05:06:07.434251+00:00
Davis Allen,LA,TE,600,900,44080750,44080804,2026-09-10T05:06:07.434251+00:00
Ronnie Rivers,LA,RB,400,600,44080751,44080805,2026-09-10T05:06:07.434251+00:00
Dean Connors,LA,RB,200,300,44080752,44080806,2026-09-10T05:06:07.434251+00:00
Jordan Waters,LA,RB,200,300,44080753,44080807,2026-09-10T05:06:07.434251+00:00
Sincere McCormick,SF,RB,200,300,44080754,44080808,2026-09-10T05:06:07.434251+00:00
Ricky Pearsall,SF,WR,200,300,44080755,44080809,2026-09-10T05:06:07.434251+00:00
Christian Kirk,SF,WR,200,300,44080756,44080810,2026-09-10T05:06:07.434251+00:00
Xavier Smith,LA,WR,200,300,44080757,44080811,2026-09-10T05:06:07.434251+00:00
Alex Bachman,LA,WR,200,300,44080758,44080812,2026-09-10T05:06:07.434251+00:00
Brennan Presley,LA,WR,200,300,44080759,44080813,2026-09-10T05:06:07.434251+00:00
Wesley Grimes,SF,WR,200,300,44080760,44080814,2026-09-10T05:06:07.434251+00:00
Will Pauling,SF,WR,200,300,44080761,44080815,2026-09-10T05:06:07.434251+00:00
KhaDarel Hodge,SF,WR,200,300,44080762,44080816,2026-09-10T05:06:07.434251+00:00
Dan Villari,LA,TE,200,300,44080763,44080817,2026-09-10T05:06:07.434251+00:00
Khalil Dinkins,SF,TE,200,300,44080764,44080818,2026-09-10T05:06:07.434251+00:00
Brandon Aiyuk,SF,WR,200,300,44080765,44080819,2026-09-10T05:06:07.434251+00:00
Brayden Willis,SF,TE,200,300,44080766,44080820,2026-09-10T05:06:07.434251+00:00
Isaac Guerendo,SF,RB,200,300,44080767,44080821,2026-09-10T05:06:07.434251+00:00
Rams,LA,DST,4000,6000,44080733,44080787,2026-09-10T05:06:07.434251+00:00
49ers,SF,DST,3400,5100,44080736,44080790,2026-09-10T05:06:07.434251+00:00
