name,team,pos,salary,cpt_salary,dk_flex_id,dk_cpt_id,snapshot_ts
Jahmyr Gibbs,DET,RB,12000,18000,44138432,44138478,2026-09-22T06:57:17.768991+00:00
Josh Allen,BUF,QB,11400,17100,44138433,44138479,2026-09-22T06:57:17.768991+00:00
Amon-Ra St Brown,DET,WR,10400,15600,44138434,44138480,2026-09-22T06:57:17.768991+00:00
Jared Goff,DET,QB,9600,14400,44138435,44138481,2026-09-22T06:57:17.768991+00:00
James Cook,BUF,RB,9400,14100,44138436,44138482,2026-09-22T06:57:17.768991+00:00
DJ Moore,BUF,WR,7800,11700,44138437,44138483,2026-09-22T06:57:17.768991+00:00
Jameson Williams,DET,WR,7400,11100,44138438,44138484,2026-09-22T06:57:17.768991+00:00
Dalton Kincaid,BUF,TE,6800,10200,44138439,44138485,2026-09-22T06:57:17.768991+00:00
Khalil Shakir,BUF,WR,6400,9600,44138440,44138486,2026-09-22T06:57:17.768991+00:00
Shane Buechele,BUF,QB,6000,9000,44138441,44138487,2026-09-22T06:57:17.768991+00:00
Kyle Allen,BUF,QB,6000,9000,44138442,44138488,2026-09-22T06:57:17.768991+00:00
Luke Altmyer,DET,QB,6000,9000,44138443,44138489,2026-09-22T06:57:17.768991+00:00
Joshua Dobbs,DET,QB,6000,9000,44138444,44138490,2026-09-22T06:57:17.768991+00:00
Sam LaPorta,DET,TE,5400,8100,44138445,44138491,2026-09-22T06:57:17.768991+00:00
Tyler Bass,BUF,K,5000,7500,44138446,44138492,2026-09-22T06:57:17.768991+00:00
Jake Bates,DET,K,4800,7200,44138447,44138493,2026-09-22T06:57:17.768991+00:00
Keon Coleman,BUF,WR,4000,6000,44138448,44138494,2026-09-22T06:57:17.768991+00:00
Isaac TeSlaa,DET,WR,3800,5700,44138449,44138495,2026-09-22T06:57:17.768991+00:00
Josh Palmer,BUF,WR,3200,4800,44138452,44138498,2026-09-22T06:57:17.768991+00:00
Sione Vaki,DET,RB,3000,4500,44138453,44138499,2026-09-22T06:57:17.768991+00:00
Dawson Knox,BUF,TE,2800,4200,44138454,44138500,2026-09-22T06:57:17.768991+00:00
Ray Davis,BUF,RB,2400,3600,44138455,44138501,2026-09-22T06:57:17.768991+00:00
Ty Johnson,BUF,RB,2000,3000,44138456,44138502,2026-09-22T06:57:17.768991+00:00
Brock Wright,DET,TE,1800,2700,44138457,44138503,2026-09-22T06:57:17.768991+00:00
Tyler Conklin,DET,TE,1600,2400,44138458,44138504,2026-09-22T06:57:17.768991+00:00
Jacob Saylors,DET,RB,1400,2100,44138459,44138505,2026-09-22T06:57:17.768991+00:00
Tom Kennedy,DET,WR,1200,1800,44138460,44138506,2026-09-22T06:57:17.768991+00:00
Greg Dortch,BUF,WR,1000,1500,44138461,44138507,2026-09-22T06:57:17.768991+00:00
Tay Martin,DET,WR,800,1200,44138462,44138508,2026-09-22T06:57:17.768991+00:00
Jackson Hawes,BUF,TE,600,900,44138463,44138509,2026-09-22T06:57:17.768991+00:00
Frank Gore,BUF,RB,400,600,44138464,44138510,2026-09-22T06:57:17.768991+00:00
Isiah Pacheco,DET,RB,200,300,44138465,44138511,2026-09-22T06:57:17.768991+00:00
Jabari Small,DET,RB,200,300,44138466,44138512,2026-09-22T06:57:17.768991+00:00
Skyler Bell,BUF,WR,200,300,44138467,44138513,2026-09-22T06:57:17.768991+00:00
Kendrick Law,DET,WR,200,300,44138468,44138514,2026-09-22T06:57:17.768991+00:00
Ja'Mori Maclin,BUF,WR,200,300,44138469,44138515,2026-09-22T06:57:17.768991+00:00
Trent Sherfield,BUF,WR,200,300,44138470,44138516,2026-09-22T06:57:17.768991+00:00
Stephen Gosnell,BUF,WR,200,300,44138471,44138517,2026-09-22T06:57:17.768991+00:00
Lucky Jackson,DET,WR,200,300,44138472,44138518,2026-09-22T06:57:17.768991+00:00
Dominic Lovett,DET,WR,200,300,44138473,44138519,2026-09-22T06:57:17.768991+00:00
Jackson Meeks,DET,TE,200,300,44138474,44138520,2026-09-22T06:57:17.768991+00:00
Keleki Latu,BUF,TE,200,300,44138475,44138521,2026-09-22T06:57:17.768991+00:00
Thomas Gordon,DET,TE,200,300,44138476,44138522,2026-09-22T06:57:17.768991+00:00
Tyrell Shavers,BUF,WR,200,300,44138477,44138523,2026-09-22T06:57:17.768991+00:00
Brock Lampe,BUF,RB,200,300,44172468,44172469,2026-09-22T06:57:17.768991+00:00
Bills,BUF,DST,3600,5400,44138450,44138496,2026-09-22T06:57:17.768991+00:00
Lions,DET,DST,3400,5100,44138451,44138497,2026-09-22T06:57:17.768991+00:00
