name,team,pos,salary,cpt_salary,dk_flex_id,dk_cpt_id,snapshot_ts
Jonathan Taylor,IND,RB,11000,16500,44191014,44191068,2026-09-22T06:56:54.101594+00:00
Kenneth Walker,KC,RB,10600,15900,44191015,44191069,2026-09-22T06:56:54.101594+00:00
Patrick Mahomes,KC,QB,10000,15000,44191016,44191070,2026-09-22T06:56:54.101594+00:00
Rashee Rice,KC,WR,9400,14100,44191017,44191071,2026-09-22T06:56:54.101594+00:00
Daniel Jones,IND,QB,9200,13800,44191018,44191072,2026-09-22T06:56:54.101594+00:00
Alec Pierce,IND,WR,7600,11400,44191019,44191073,2026-09-22T06:56:54.101594+00:00
Tyler Warren,IND,TE,7200,10800,44191020,44191074,2026-09-22T06:56:54.101594+00:00
Josh Downs,IND,WR,6600,9900,44191021,44191075,2026-09-22T06:56:54.101594+00:00
Travis Kelce,KC,TE,6200,9300,44191022,44191076,2026-09-22T06:56:54.101594+00:00
Justin Fields,KC,QB,6000,9000,44191023,44191077,2026-09-22T06:56:54.101594+00:00
Garrett Nussmeier,KC,QB,6000,9000,44191024,44191078,2026-09-22T06:56:54.101594+00:00
Anthony Richardson,IND,QB,6000,9000,44191025,44191079,2026-09-22T06:56:54.101594+00:00
Riley Leonard,IND,QB,6000,9000,44191026,44191080,2026-09-22T06:56:54.101594+00:00
Keenan Allen,IND,WR,5600,8400,44191027,44191081,2026-09-22T06:56:54.101594+00:00
Xavier Worthy,KC,WR,5400,8100,44191028,44191082,2026-09-22T06:56:54.101594+00:00
Harrison Butker,KC,K,5000,7500,44191029,44191083,2026-09-22T06:56:54.101594+00:00
Spencer Shrader,IND,K,4600,6900,44191030,44191084,2026-09-22T06:56:54.101594+00:00
Tyquan Thornton,KC,WR,3800,5700,44191032,44191086,2026-09-22T06:56:54.101594+00:00
Emmett Johnson,KC,RB,3600,5400,44191033,44191087,2026-09-22T06:56:54.101594+00:00
Seth McGowan,IND,RB,3400,5100,44191034,44191088,2026-09-22T06:56:54.101594+00:00
Noah Gray,KC,TE,3000,4500,44191036,44191090,2026-09-22T06:56:54.101594+00:00
Cyrus Allen,KC,WR,2800,4200,44191037,44191091,2026-09-22T06:56:54.101594+00:00
Mo Alie-Cox,IND,TE,2400,3600,44191038,44191092,2026-09-22T06:56:54.101594+00:00
Laquon Treadwell,IND,WR,2000,3000,44191039,44191093,2026-09-22T06:56:54.101594+00:00
Jake Briningstool,KC,TE,1600,2400,44191040,44191094,2026-09-22T06:56:54.101594+00:00
DJ Giddens,IND,RB,1400,2100,44191041,44191095,2026-09-22T06:56:54.101594+00:00
Jalen Royals,KC,WR,1200,1800,44191042,44191096,2026-09-22T06:56:54.101594+00:00
Deion Burks,IND,WR,1000,1500,44191043,44191097,2026-09-22T06:56:54.101594+00:00
Nikko Remigio,KC,WR,800,1200,44191044,44191098,2026-09-22T06:56:54.101594+00:00
Andrew Ogletree,IND,TE,600,900,44191045,44191099,2026-09-22T06:56:54.101594+00:00
Brashard Smith,KC,RB,400,600,44191046,44191100,2026-09-22T06:56:54.101594+00:00
Anderson Castle,IND,RB,200,300,44191047,44191101,2026-09-22T06:56:54.101594+00:00
Davon Booth,IND,RB,200,300,44191048,44191102,2026-09-22T06:56:54.101594+00:00
Jaydn Ott,KC,RB,200,300,44191049,44191103,2026-09-22T06:56:54.101594+00:00
Nate Carter,KC,RB,200,300,44191050,44191104,2026-09-22T06:56:54.101594+00:00
Ben VanSumeren,KC,RB,200,300,44191051,44191105,2026-09-22T06:56:54.101594+00:00
Nick Westbrook-Ikhine,IND,WR,200,300,44191052,44191106,2026-09-22T06:56:54.101594+00:00
Jimmy Holiday,KC,WR,200,300,44191053,44191107,2026-09-22T06:56:54.101594+00:00
DJ Montgomery,IND,WR,200,300,44191054,44191108,2026-09-22T06:56:54.101594+00:00
Ashton Dulin,IND,WR,200,300,44191055,44191109,2026-09-22T06:56:54.101594+00:00
Jeff Caldwell,KC,WR,200,300,44191056,44191110,2026-09-22T06:56:54.101594+00:00
Omari Evans,KC,WR,200,300,44191057,44191111,2026-09-22T06:56:54.101594+00:00
Anthony Gould,IND,WR,200,300,44191058,44191112,2026-09-22T06:56:54.101594+00:00
Andrew Armstrong,KC,WR,200,300,44191059,44191113,2026-09-22T06:56:54.101594+00:00
Carson Towt,IND,TE,200,300,44191060,44191114,2026-09-22T06:56:54.101594+00:00
Will Mallory,IND,TE,200,300,44191061,44191115,2026-09-22T06:56:54.101594+00:00
John Michael Gyllenborg,KC,TE,200,300,44191062,44191116,2026-09-22T06:56:54.101594+00:00
Kenny Fletcher Jr.,IND,TE,200,300,44191063,44191117,2026-09-22T06:56:54.101594+00:00
James Winchester,KC,TE,200,300,44191064,44191118,2026-09-22T06:56:54.101594+00:00
Thomas Odukoya,KC,TE,200,300,44191065,44191119,2026-09-22T06:56:54.101594+00:00
Pharaoh Brown,IND,TE,200,300,44191066,44191120,2026-09-22T06:56:54.101594+00:00
Jared Wiley,KC,TE,200,300,44191067,44191121,2026-09-22T06:56:54.101594+00:00
Chiefs,KC,DST,4200,6300,44191031,44191085,2026-09-22T06:56:54.101594+00:00
Colts,IND,DST,3200,4800,44191035,44191089,2026-09-22T06:56:54.101594+00:00
