name,team,pos,salary,cpt_salary,dk_flex_id,dk_cpt_id,snapshot_ts
Puka Nacua,LA,WR,11400,17100,44191122,44191175,2026-09-22T06:57:17.768991+00:00
Matthew Stafford,LA,QB,10000,15000,44191123,44191176,2026-09-22T06:57:17.768991+00:00
Jaxson Dart,NYG,QB,9800,14700,44191124,44191177,2026-09-22T06:57:17.768991+00:00
Kyren Williams,LA,RB,9600,14400,44191125,44191178,2026-09-22T06:57:17.768991+00:00
Cam Skattebo,NYG,RB,9400,14100,44191126,44191179,2026-09-22T06:57:17.768991+00:00
Malik Nabers,NYG,WR,9000,13500,44191127,44191180,2026-09-22T06:57:17.768991+00:00
Davante Adams,LA,WR,8800,13200,44191128,44191181,2026-09-22T06:57:17.768991+00:00
Isaiah Likely,NYG,TE,7400,11100,44191129,44191182,2026-09-22T06:57:17.768991+00:00
Ty Simpson,LA,QB,6000,9000,44191130,44191183,2026-09-22T06:57:17.768991+00:00
Jake Haener,NYG,QB,6000,9000,44191131,44191184,2026-09-22T06:57:17.768991+00:00
Matthew Caldwell,LA,QB,6000,9000,44191132,44191185,2026-09-22T06:57:17.768991+00:00
Jameis Winston,NYG,QB,6000,9000,44191133,44191186,2026-09-22T06:57:17.768991+00:00
Stetson Bennett,LA,QB,6000,9000,44191134,44191187,2026-09-22T06:57:17.768991+00:00
Malachi Fields,NYG,WR,5600,8400,44191135,44191188,2026-09-22T06:57:17.768991+00:00
Harrison Mevis,LA,K,5000,7500,44191136,44191189,2026-09-22T06:57:17.768991+00:00
Dominic Zvada,NYG,K,4800,7200,44191137,44191190,2026-09-22T06:57:17.768991+00:00
Blake Corum,LA,RB,4600,6900,44191138,44191191,2026-09-22T06:57:17.768991+00:00
Darnell Mooney,NYG,WR,3800,5700,44191140,44191193,2026-09-22T06:57:17.768991+00:00
Colby Parkinson,LA,TE,3600,5400,44191141,44191194,2026-09-22T06:57:17.768991+00:00
Tyrone Tracy,NYG,RB,3400,5100,44191142,44191195,2026-09-22T06:57:17.768991+00:00
Devin Singletary,NYG,RB,3000,4500,44191144,44191197,2026-09-22T06:57:17.768991+00:00
Tyler Higbee,LA,TE,2800,4200,44191145,44191198,2026-09-22T06:57:17.768991+00:00
Theo Johnson,NYG,TE,2400,3600,44191146,44191199,2026-09-22T06:57:17.768991+00:00
Jordan Whittington,LA,WR,2200,3300,44191147,44191200,2026-09-22T06:57:17.768991+00:00
Najee Harris,NYG,RB,2000,3000,44191148,44191201,2026-09-22T06:57:17.768991+00:00
Terrance Ferguson,LA,TE,1800,2700,44191149,44191202,2026-09-22T06:57:17.768991+00:00
Davis Allen,LA,TE,1600,2400,44191150,44191203,2026-09-22T06:57:17.768991+00:00
Ronnie Rivers,LA,RB,1400,2100,44191151,44191204,2026-09-22T06:57:17.768991+00:00
Odell Beckham,NYG,WR,1200,1800,44191152,44191205,2026-09-22T06:57:17.768991+00:00
Konata Mumpfield,LA,WR,1000,1500,44191153,44191206,2026-09-22T06:57:17.768991+00:00
Tutu Atwell,LA,WR,800,1200,44191154,44191207,2026-09-22T06:57:17.768991+00:00
Chris Manhertz,NYG,TE,600,900,44191155,44191208,2026-09-22T06:57:17.768991+00:00
Patrick Ricard,NYG,RB,400,600,44191156,44191209,2026-09-22T06:57:17.768991+00:00
Dean Connors,LA,RB,200,300,44191157,44191210,2026-09-22T06:57:17.768991+00:00
Grant Finley,NYG,RB,200,300,44191158,44191211,2026-09-22T06:57:17.768991+00:00
Jordan Waters,LA,RB,200,300,44191159,44191212,2026-09-22T06:57:17.768991+00:00
Phil Mafah,NYG,RB,200,300,44191160,44191213,2026-09-22T06:57:17.768991+00:00
Calvin Austin,NYG,WR,200,300,44191161,44191214,2026-09-22T06:57:17.768991+00:00
Gunner Olszewski,NYG,WR,200,300,44191162,44191215,2026-09-22T06:57:17.768991+00:00
CJ Daniels,LA,WR,200,300,44191163,44191216,2026-09-22T06:57:17.768991+00:00
Xavier Smith,LA,WR,200,300,44191164,44191217,2026-09-22T06:57:17.768991+00:00
Dalen Cambre,NYG,WR,200,300,44191165,44191218,2026-09-22T06:57:17.768991+00:00
Brennan Presley,LA,WR,200,300,44191166,44191219,2026-09-22T06:57:17.768991+00:00
Jalin Hyatt,NYG,WR,200,300,44191167,44191220,2026-09-22T06:57:17.768991+00:00
Charlie Jones,NYG,WR,200,300,44191168,44191221,2026-09-22T06:57:17.768991+00:00
Braxton Berrios,NYG,WR,200,300,44191169,44191222,2026-09-22T06:57:17.768991+00:00
Alex Bachman,LA,WR,200,300,44191170,44191223,2026-09-22T06:57:17.768991+00:00
Max Klare,LA,TE,200,300,44191171,44191224,2026-09-22T06:57:17.768991+00:00
Dan Villari,LA,TE,200,300,44191172,44191225,2026-09-22T06:57:17.768991+00:00
Thomas Fidone,NYG,TE,200,300,44191173,44191226,2026-09-22T06:57:17.768991+00:00
Ben Mann,NYG,TE,200,300,44191174,44191227,2026-09-22T06:57:17.768991+00:00
Rams,LA,DST,4200,6300,44191139,44191192,2026-09-22T06:57:17.768991+00:00
Giants,NYG,DST,3200,4800,44191143,44191196,2026-09-22T06:57:17.768991+00:00
