name,team,pos,salary,cpt_salary,dk_flex_id,dk_cpt_id,snapshot_ts
Bijan Robinson,ATL,RB,11800,17700,44225865,44225918,2026-09-22T06:50:32.559155+00:00
Jordan Love,GB,QB,10000,15000,44225866,44225919,2026-09-22T06:50:32.559155+00:00
Christian Watson,GB,WR,9800,14700,44225867,44225920,2026-09-22T06:50:32.559155+00:00
Michael Penix,ATL,QB,9000,13500,44225868,44225921,2026-09-22T06:50:32.559155+00:00
Drake London,ATL,WR,8800,13200,44225869,44225922,2026-09-22T06:50:32.559155+00:00
Tua Tagovailoa,ATL,QB,8600,12900,44225870,44225923,2026-09-22T06:50:32.559155+00:00
Josh Jacobs,GB,RB,8400,12600,44225871,44225924,2026-09-22T06:50:32.559155+00:00
Jack Strand,ATL,QB,8200,12300,44225872,44225925,2026-09-22T06:50:32.559155+00:00
Cooper Rush,ATL,QB,8000,12000,44225873,44225926,2026-09-22T06:50:32.559155+00:00
Matthew Golden,GB,WR,7800,11700,44225874,44225927,2026-09-22T06:50:32.559155+00:00
MarShawn Lloyd,GB,RB,7400,11100,44225875,44225928,2026-09-22T06:50:32.559155+00:00
Tucker Kraft,GB,TE,7000,10500,44225876,44225929,2026-09-22T06:50:32.559155+00:00
Kyle Pitts,ATL,TE,6600,9900,44225877,44225930,2026-09-22T06:50:32.559155+00:00
Jayden Reed,GB,WR,6200,9300,44225878,44225931,2026-09-22T06:50:32.559155+00:00
Tyrod Taylor,GB,QB,6000,9000,44225879,44225932,2026-09-22T06:50:32.559155+00:00
Kedon Slovis,GB,QB,6000,9000,44225880,44225933,2026-09-22T06:50:32.559155+00:00
Chris Brooks,GB,RB,5400,8100,44225881,44225934,2026-09-22T06:50:32.559155+00:00
Trey Smack,GB,K,5200,7800,44225882,44225935,2026-09-22T06:50:32.559155+00:00
Lenny Krieg,GB,K,5200,7800,44225883,44225936,2026-09-22T06:50:32.559155+00:00
Nick Folk,ATL,K,4800,7200,44225885,44225938,2026-09-22T06:50:32.559155+00:00
Brian Robinson,ATL,RB,4400,6600,44225886,44225939,2026-09-22T06:50:32.559155+00:00
Kaleb Johnson,GB,RB,4000,6000,44225887,44225940,2026-09-22T06:50:32.559155+00:00
Zachariah Branch,ATL,WR,3800,5700,44225888,44225941,2026-09-22T06:50:32.559155+00:00
Jahan Dotson,ATL,WR,3000,4500,44225890,44225943,2026-09-22T06:50:32.559155+00:00
Jonnu Smith,GB,TE,2800,4200,44225891,44225944,2026-09-22T06:50:32.559155+00:00
Skyy Moore,GB,WR,2400,3600,44225892,44225945,2026-09-22T06:50:32.559155+00:00
Olamide Zaccheaus,ATL,WR,2000,3000,44225893,44225946,2026-09-22T06:50:32.559155+00:00
Austin Hooper,ATL,TE,1600,2400,44225894,44225947,2026-09-22T06:50:32.559155+00:00
Bo Melton,GB,WR,1200,1800,44225895,44225948,2026-09-22T06:50:32.559155+00:00
Chris Blair,ATL,WR,1000,1500,44225896,44225949,2026-09-22T06:50:32.559155+00:00
JMichael Sturdivant,GB,WR,800,1200,44225897,44225950,2026-09-22T06:50:32.559155+00:00
Charlie Woerner,ATL,TE,600,900,44225898,44225951,2026-09-22T06:50:32.559155+00:00
Pierre Strong,GB,RB,400,600,44225899,44225952,2026-09-22T06:50:32.559155+00:00
Damon Bankston,GB,RB,200,300,44225900,44225953,2026-09-22T06:50:32.559155+00:00
Trey Sermon,ATL,RB,200,300,44225901,44225954,2026-09-22T06:50:32.559155+00:00
Cash Jones,ATL,RB,200,300,44225902,44225955,2026-09-22T06:50:32.559155+00:00
Khalil Herbert,ATL,RB,200,300,44225903,44225956,2026-09-22T06:50:32.559155+00:00
Savion Williams,GB,WR,200,300,44225904,44225957,2026-09-22T06:50:32.559155+00:00
Beaux Collins,ATL,WR,200,300,44225905,44225958,2026-09-22T06:50:32.559155+00:00
Quincy Skinner Jr.,GB,WR,200,300,44225906,44225959,2026-09-22T06:50:32.559155+00:00
Antwane Wells,ATL,WR,200,300,44225907,44225960,2026-09-22T06:50:32.559155+00:00
Dylan Drummond,ATL,WR,200,300,44225908,44225961,2026-09-22T06:50:32.559155+00:00
Vinny Anthony,ATL,WR,200,300,44225909,44225962,2026-09-22T06:50:32.559155+00:00
Isaiah Neyor,GB,WR,200,300,44225910,44225963,2026-09-22T06:50:32.559155+00:00
Josh Whyle,GB,TE,200,300,44225911,44225964,2026-09-22T06:50:32.559155+00:00
Mark Redman,GB,TE,200,300,44225912,44225965,2026-09-22T06:50:32.559155+00:00
Jack Velling,ATL,TE,200,300,44225913,44225966,2026-09-22T06:50:32.559155+00:00
Thomas Yassmin,GB,TE,200,300,44225914,44225967,2026-09-22T06:50:32.559155+00:00
Drake Dabney,GB,TE,200,300,44225915,44225968,2026-09-22T06:50:32.559155+00:00
Nick Muse,ATL,TE,200,300,44225916,44225969,2026-09-22T06:50:32.559155+00:00
Luke Musgrave,GB,TE,200,300,44225917,44225970,2026-09-22T06:50:32.559155+00:00
Packers,GB,DST,5000,7500,44225884,44225937,2026-09-22T06:50:32.559155+00:00
Falcons,ATL,DST,3400,5100,44225889,44225942,2026-09-22T06:50:32.559155+00:00
