player_name,team,pos,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds
Carson Beck,ARI,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gardner Minshew,ARI,QB,0.0,0.0667,,,,-14.6206,0.0,0.0,,5.6,,,,2.752,
Jacoby Brissett,ARI,QB,0.0,0.1488,,,,-3.6032,0.0703,0.0,,7.7609,,,,2.9519,
Kedon Slovis,ARI,QB,0.0,,,,,-31.8118,0.0,0.0,,1.5,,,,,
Bam Knight,ARI,RB,0.0734,0.3891,0.7556,2.6834,7.9815,,,,1.1093,,0.0,1.589,0.3426,,
Corey Kiner,ARI,RB,0.0789,0.1583,0.6667,4.2917,3.0,,,,3.6667,,0.0,-1.201,0.0,,
James Conner,ARI,RB,0.0891,0.4299,0.9167,2.9285,11.0,,,,-0.75,,0.0833,2.3454,0.4444,,3.2
Jeremiyah Love,ARI,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey Benson,ARI,RB,0.1194,0.3167,0.8542,5.4667,5.9083,,,,-1.6667,,0.0,-1.6901,0.1125,,3.2
Tyler Allgeier,ARI,RB,0.0493,0.2871,0.9,3.6373,7.3,,,,-1.8,,0.0,-1.0208,0.15,,3.2
Bryson Green,ARI,WR,,,,,,,,,,,,,,,
Devin Duvernay,ARI,WR,0.043,0.0131,0.4444,5.63,0.0,,,,14.3333,,0.4444,-4.0777,0.0,,3.454
Ihmir Smith-Marsette,ARI,WR,0.0113,0.0099,0.7,8.111,5.0,,,,8.25,,0.2,-1.2949,0.2308,,2.8
Jalen Brooks,ARI,WR,0.0668,0.0,0.5,4.0,5.0,,,,11.3333,,0.1667,0.7172,0.25,,1.953
Kendrick Bourne,ARI,WR,0.0975,0.0115,0.6713,8.952,3.2472,,,,12.2622,,0.2004,-1.2469,0.0861,,2.4582
Marvin Harrison,ARI,WR,0.158,0.0,0.549,4.0,2.8489,,,,13.7603,,0.2561,-1.749,0.0584,,2.5369
