team,coach_name,note,n_plays_primary,n_plays_redzone,n_plays_goalline,proe_primary,proe_redzone,proe_goalline,deep_shot_rate_primary,deep_shot_rate_redzone,deep_shot_rate_goalline,no_huddle_rate_primary,no_huddle_rate_redzone,no_huddle_rate_goalline,sec_per_play_primary,sec_per_play_redzone,sec_per_play_goalline
ARI,Mike LaFleur,"PROXY: real 2023-2025 Rams OC under Sean McVay (also Jets OC 2021-2022, not used -- more recent/larger Rams sample chosen instead). nflfastR only credits the HC of record, so this is built from LA/2023-2025 play-by-play filtered to those seasons, not McVay's full multi-year HC entry. Added 2026-08-20.",2610,389,171,-0.7042,-2.8499,-2.6275,0.1429,0.0098,0.0,0.095,0.0411,0.0994,35.83,28.01,33.54
ATL,Kevin Stefanski,,5556,659,245,-3.3482,-6.9526,-4.2998,0.1297,0.0095,0.0,0.0934,0.088,0.049,34.16,27.86,32.06
BAL,Jesse Minter,"PROXY: Minter is a defensive coach -- BAL's real 2026 offensive play-caller is OC Declan Doyle, who was Bears OC in 2025. Built from CHI/2025 play-by-play (single season, thinnest sample of the 2026 proxy coaches). Replaces the prior full league-average placeholder. Added 2026-08-20.",911,127,50,-2.2861,-8.8841,-14.2728,0.1663,0.0,0.0,0.0472,0.0394,0.12,35.33,29.21,33.6
BUF,Joe Brady,"PROXY: real 2023-2025 Bills OC (interim from Nov 2023; whole seasons used, not week-filtered to his actual interim start). Also Panthers OC 2020-2021, not used -- more recent Bills sample chosen instead. Built from BUF/2023-2025 play-by-play, not Sean McDermott's full 9-season HC entry. Replaces the prior full league-average placeholder. Added 2026-08-20.",2577,409,171,-0.4571,-4.8037,-12.2479,0.1519,0.0172,0.0,0.0803,0.0954,0.1404,37.05,27.4,32.43
CAR,Dave Canales,,1673,227,79,-5.0395,0.3427,5.1412,0.115,0.0,0.0,0.0699,0.0529,0.0506,33.81,29.84,31.87
CHI,Ben Johnson,,911,127,50,-2.2861,-8.8841,-14.2728,0.1663,0.0,0.0,0.0472,0.0394,0.12,33.22,29.21,33.6
CIN,Zac Taylor,,6137,776,362,3.0821,3.9674,3.6939,0.1164,0.0068,0.0,0.0345,0.0271,0.0359,34.76,27.39,33.9
CLE,Todd Monken,"PROXY: real 2023-2025 Ravens OC (also Bucs OC 2016-2018, not used). Built from BAL/2023-2025 play-by-play, not John Harbaugh's full 11-season HC entry. Replaces the prior full league-average placeholder. Added 2026-08-20.",2519,393,136,-4.3394,-8.4238,-13.3146,0.1481,0.0063,0.0,0.0524,0.0433,0.0588,36.42,27.41,35.36
DAL,Brian Schottenheimer,,902,132,66,-1.231,-2.3652,8.7523,0.1335,0.0135,0.0,0.0976,0.0455,0.1061,31.33,26.84,31.16
DEN,Sean Payton,,8549,1267,485,-0.476,-1.6109,-1.1692,0.1268,0.0148,0.0,0.0604,0.0466,0.0392,33.8,27.02,32.89
DET,Dan Campbell,,4453,671,269,-2.7602,-7.1486,-11.9437,0.0955,0.0114,0.0,0.0523,0.0432,0.0632,33.26,27.13,34.68
GB,Matt LaFleur,,5851,923,316,-1.1052,-1.3226,5.0315,0.1745,0.0202,0.0,0.059,0.0585,0.0506,35.35,28.57,35.16
HOU,DeMeco Ryans,,2694,358,141,-0.3978,-3.6707,-0.9481,0.1301,0.0,0.0,0.0605,0.0559,0.0496,33.78,29.86,32.65
IND,Shane Steichen,,2574,390,158,-2.6299,-10.2465,-18.7635,0.1478,0.0169,0.0,0.1099,0.1333,0.1962,32.62,27.33,30.65
