player_name,team,pos,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds
Carson Beck,ARI,QB,0,0.01,,,,-1.941,0.06,0.03,,6.7168,,,,2.7954,
Gardner Minshew,ARI,QB,0,0.01,,,,-2.3153,0.0659,0,,6.3574,,,,2.6825,
Jacoby Brissett,ARI,QB,0,0.01,,,,-1.2324,0.0738,0.02,,7.812,,,,2.9293,
Bam Knight,ARI,RB,0,0,0.7556,2.6834,7.9815,,,,1.1093,,0,1.589,0.3426,,3.2
Evan Hull,ARI,RB,0,0,1,2.45,6.5,,,,-0.5,,0,0,0.15,,3.2
James Conner,ARI,RB,0.055,0.18,0.8711,3.9737,10.507,,,,-1.9623,,0.0132,2.0779,0.293,,3.2
Jeremiyah Love,ARI,RB,0.115,0.535,0.77,4.941,8.493,,,,0.2358,,0.02,2.01,0.2271,,3.2
Trey Benson,ARI,RB,0.015,0.02,0.9352,5.3598,9.4593,,,,-2.4074,,0,0.8159,0.2167,,3.2
Tyler Allgeier,ARI,RB,0.025,0.24,0.9474,4.2253,7.193,,,,-1.0965,,0,-0.7215,0.1579,,3.2
Devin Duvernay,ARI,WR,0.03,0,0.6583,0.75,3.3125,,,,10.725,,0.3083,-2.3729,0.1042,,3.454
Harrison Wallace,ARI,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Ihmir Smith-Marsette,ARI,WR,0,0,0.7,8.111,5,,,,8.25,,0.2,-1.2949,0.2308,,2.8
Jalen Brooks,ARI,WR,0.025,0,0.5583,4,3.5769,,,,13.4512,,0.1786,-0.5548,0.2692,,1.9527
Kendrick Bourne,ARI,WR,0.05,0,0.7179,6,3.2217,,,,10.3636,,0.14,-1.305,0.0732,,2.3318
Marvin Harrison,ARI,WR,0.195,0.005,0.5854,4,2.7119,,,,13.2165,,0.2181,-1.5104,0.0868,,2.285
Michael Wilson,ARI,WR,0.175,0.005,0.6049,7,3.3661,,,,11.7014,,0.1953,-0.9547,0.1109,,2.5101
Reggie Virgil,ARI,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Simi Fehoko,ARI,WR,0,0,0.2667,4,3.5,,,,13.6333,,0.2833,-1.4235,0,,1.74
Elijah Higgins,ARI,TE,0.045,0,0.8175,4,5.1658,,,,4.306,,0,0.6558,0.1817,,5.2479
Hunter Long,ARI,TE,0,0,0.6562,4,3.095,,,,4.969,,0.0312,-1.0037,0.0526,,3
Jameson Geers,ARI,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
Shawn Bowman,ARI,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
Teagan Quitoriano,ARI,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
