qb,pass_attempts,scrambles,dropbacks,scramble_rate_pct
J.Daniels,205,38,243,15.6
T.Taylor,147,22,169,13.0
J.Fields,233,28,261,10.7
D.Maye,540,62,602,10.3
J.Dart,375,38,413,9.2
P.Mahomes,537,52,589,8.8
J.Allen,506,48,554,8.7
R.Wilson,129,12,141,8.5
K.Murray,177,16,193,8.3
L.Jackson,338,30,368,8.2
J.Herbert,566,49,615,8.0
J.Hurts,486,40,526,7.6
S.Sanders,235,18,253,7.1
M.Mariota,244,18,262,6.9
C.Williams,594,43,637,6.8
B.Mayfield,584,42,626,6.7
T.Lawrence,600,43,643,6.7
B.Young,506,33,539,6.1
J.McCarthy,273,17,290,5.9
B.Purdy,298,18,316,5.7
S.Rattler,272,16,288,5.6
B.Nix,638,36,674,5.3
T.Shough,356,20,376,5.3
C.Stroud,446,25,471,5.3
D.Gabriel,204,11,215,5.1
D.Jones,409,22,431,5.1
J.Love,461,24,485,4.9
C.Wentz,188,9,197,4.6
M.Penix,290,13,303,4.3
D.Mills,169,7,176,4.0
D.Prescott,631,26,657,4.0
J.Brissett,530,22,552,4.0
B.Cook,173,7,180,3.9
C.Ward,592,23,615,3.7
G.Smith,503,18,521,3.5
J.Browning,134,4,138,2.9
J.Burrow,278,8,286,2.8
S.Darnold,502,14,516,2.7
M.Jones,304,8,312,2.6
T.Tagovailoa,415,11,426,2.6
A.Rodgers,526,12,538,2.2
M.Stafford,617,7,624,1.1
J.Flacco,432,4,436,0.9
J.Goff,614,5,619,0.8
K.Cousins,281,2,283,0.7
