team,ybc_per_att,rush_pct_over_expected,stuff_rate,avg_time_to_los,pressured_pct_allowed,hurry_rate_allowed,hit_rate_allowed,stuff_rate_forced,aly_allowed,ybc_allowed_per_att,rush_pct_over_expected_allowed,pressure_rate_forced,hurry_rate_forced,hit_rate_forced
BUF,2.6995,0.4357,0.1347,2.6071,0.1808,0.0726,0.0726,0.1809,2.8453,2.901,0.4189,0.2014,0.0621,0.0717
MIA,2.625,0.3868,0.2386,2.9837,0.2166,0.0615,0.0896,0.1339,3.0175,2.7037,0.3307,0.158,0.0555,0.0504
NE,3.016,0.3789,0.1631,2.7528,0.2106,0.1024,0.0468,0.197,2.7156,2.4689,0.3627,0.2149,0.057,0.0942
NYJ,2.4454,0.4095,0.1995,2.767,0.2345,0.0586,0.0806,0.1722,2.8729,2.94,0.4195,0.2251,0.0704,0.0995
BAL,2.9717,0.3889,0.2043,2.6833,0.2323,0.0904,0.0851,0.1889,2.8846,2.5426,0.3485,0.2243,0.0597,0.0984
CIN,2.4945,0.4195,0.1944,2.8063,0.221,0.0748,0.0847,0.1842,3.031,2.6583,0.4306,0.1848,0.0698,0.0622
CLE,2.5332,0.396,0.2062,2.8431,0.2704,0.069,0.1366,0.203,2.6901,2.6447,0.3772,0.2427,0.0798,0.0917
PIT,2.8689,0.408,0.1584,2.8222,0.2178,0.0663,0.0978,0.1763,2.8616,2.3872,0.369,0.2412,0.0745,0.0976
HOU,2.5719,0.3883,0.201,2.7525,0.2383,0.101,0.0794,0.2114,2.7205,2.6825,0.3607,0.2606,0.0937,0.0852
IND,3.3743,0.4247,0.1918,2.9255,0.1501,0.0604,0.0418,0.1769,2.8663,2.6213,0.3635,0.1876,0.0585,0.057
JAX,2.9932,0.3677,0.1932,2.7947,0.2313,0.0894,0.1025,0.2216,2.7572,2.6784,0.3878,0.2195,0.0791,0.0597
TEN,2.709,0.4133,0.2246,2.9347,0.2851,0.0826,0.1116,0.1439,3.1068,2.8343,0.4399,0.227,0.0575,0.0995
DEN,3.5227,0.3974,0.1551,2.7542,0.1617,0.0386,0.0519,0.2335,2.407,2.1472,0.3711,0.2331,0.0652,0.0944
KC,2.6592,0.3633,0.1916,2.705,0.1906,0.0565,0.0734,0.1747,2.9041,2.7467,0.3534,0.214,0.0825,0.0722
LV,1.7644,0.3546,0.2719,2.8502,0.2273,0.0384,0.0819,0.1614,3.1763,3.23,0.3764,0.1998,0.0676,0.0722
LAC,2.6354,0.3723,0.1701,2.5979,0.1846,0.0439,0.0741,0.1863,3.1088,3.6838,0.4485,0.2275,0.0753,0.0897
DAL,2.4831,0.3802,0.2602,2.8174,0.1829,0.0571,0.0671,0.2146,2.639,2.6069,0.3547,0.1959,0.0404,0.0762
NYG,2.1993,0.4062,0.2079,2.7875,0.2047,0.0774,0.0761,0.213,2.7198,2.0669,0.4091,0.1922,0.0549,0.0755
PHI,2.3715,0.4532,0.1775,2.8581,0.1662,0.0495,0.0607,0.1888,2.8449,3.1262,0.446,0.2726,0.1125,0.1062
WAS,2.205,0.3586,0.1994,2.7404,0.2234,0.0768,0.0768,0.1802,2.8936,2.9483,0.3577,0.1804,0.0655,0.0607
CHI,3.3073,0.4179,0.1634,2.8029,0.2182,0.0575,0.0714,0.1962,2.9272,2.2929,0.4463,0.1515,0.048,0.0554
DET,2.812,0.5084,0.156,2.61,0.2398,0.103,0.0788,0.2088,2.7536,2.2446,0.3536,0.2234,0.0565,0.0894
GB,2.637,0.4028,0.2222,2.781,0.255,0.0618,0.1065,0.2069,2.6167,2.1767,0.3698,0.2121,0.0639,0.0668
MIN,2.4699,0.4131,0.1692,2.6649,0.2167,0.0599,0.1039,0.1468,3.0433,3.1613,0.4157,0.2183,0.0514,0.0982
ATL,2.2876,0.4856,0.1635,2.8803,0.1959,0.0486,0.0938,0.145,3.1744,3.2846,0.4012,0.1603,0.0634,0.0405
CAR,2.3965,0.3706,0.1891,2.7828,0.2439,0.0788,0.0803,0.2025,2.8209,2.9019,0.4697,0.209,0.0692,0.0692
NO,2.765,0.4324,0.1734,2.7997,0.222,0.0541,0.0777,0.2235,2.6757,2.5173,0.3757,0.165,0.0445,0.0612
TB,3.1671,0.4005,0.1699,2.8686,0.1571,0.0691,0.0363,0.2341,2.4728,2.6989,0.3788,0.1937,0.0635,0.0728
ARI,2.5901,0.4276,0.2232,2.9843,0.2217,0.0595,0.0818,0.2174,2.9312,2.5026,0.4632,0.1827,0.058,0.0546
LA,2.8228,0.3997,0.1505,2.7012,0.1984,0.0605,0.0894,0.2546,2.5465,2.6405,0.3957,0.2598,0.0723,0.117
SF,2.7511,0.3963,0.1685,2.6227,0.1918,0.0731,0.0731,0.2458,2.7127,2.7852,0.3647,0.2199,0.0697,0.0888
SEA,2.4113,0.3529,0.1782,2.7299,0.1915,0.0648,0.0835,0.2785,2.2767,3.1123,0.4325,0.2316,0.0571,0.0946
