team,field,value,note
DAL,run_block_off_z,0.6,"healthy 2026 line; 2025 z reflects that year's injuries -- projects top-8"
LAC,pass_block_off_z,0.3,"season-ending injury to the starting center -- down toward ~#10"
WAS,run_block_off_z,-0.9,"line struggles -- ~#26-27 overall"
WAS,pass_block_off_z,-0.6,"line struggles -- ~#26-27 overall"
ARI,run_block_off_z,-1.2,"preseason injury to the starting tackle"
GB,run_block_off_z,-0.8,"run-blocking specifically a weak point"
DET,run_block_off_z,0.5,"2026-09-09 Cam: strong but over-placed at #2 -- drop to ~SF/LA tier (sum ~0.75)"
DET,pass_block_off_z,0.25,"2026-09-09 Cam: see run_block note -- DET O-line ~#9-10"
PHI,run_block_off_z,0.3,"2026-09-09 Cam: move O-line up to just ahead of TB (sum ~1.6)"
PHI,pass_block_off_z,1.3,"2026-09-09 Cam: elite pass protection -- O-line ~#3-4"
LA,run_def_z,1.16,"PFF 2026 D-line rank #1 (run tilt)"
LA,pass_def_z,1.35,"PFF 2026 D-line rank #1 (pass tilt)"
HOU,run_def_z,0.79,"PFF 2026 D-line rank #2 (run tilt)"
HOU,pass_def_z,1.47,"PFF 2026 D-line rank #2 (pass tilt)"
PIT,run_def_z,0.93,"PFF 2026 D-line rank #3 (run tilt)"
PIT,pass_def_z,1.29,"PFF 2026 D-line rank #3 (pass tilt)"
PHI,run_def_z,0.56,"PFF 2026 D-line rank #4 (run tilt)"
PHI,pass_def_z,1.41,"PFF 2026 D-line rank #4 (pass tilt)"
SEA,run_def_z,0.89,"PFF 2026 D-line rank #5 (run tilt)"
SEA,pass_def_z,0.93,"PFF 2026 D-line rank #5 (pass tilt)"
DEN,run_def_z,0.72,"PFF 2026 D-line rank #6 (run tilt)"
DEN,pass_def_z,1.0,"PFF 2026 D-line rank #6 (pass tilt)"
BAL,run_def_z,0.65,"PFF 2026 D-line rank #7 (run tilt)"
BAL,pass_def_z,0.92,"PFF 2026 D-line rank #7 (pass tilt)"
CIN,run_def_z,0.44,"PFF 2026 D-line rank #8 (run tilt)"
CIN,pass_def_z,0.84,"PFF 2026 D-line rank #8 (pass tilt)"
JAX,run_def_z,0.31,"PFF 2026 D-line rank #9 (run tilt)"
JAX,pass_def_z,0.8,"PFF 2026 D-line rank #9 (pass tilt)"
DET,run_def_z,0.34,"PFF 2026 D-line rank #10 (run tilt)"
DET,pass_def_z,0.67,"PFF 2026 D-line rank #10 (pass tilt)"
TB,run_def_z,0.47,"PFF 2026 D-line rank #11 (run tilt)"
TB,pass_def_z,0.44,"PFF 2026 D-line rank #11 (pass tilt)"
CLE,run_def_z,0.31,"PFF 2026 D-line rank #12 (run tilt)"
CLE,pass_def_z,0.46,"PFF 2026 D-line rank #12 (pass tilt)"
DAL,run_def_z,0.64,"PFF 2026 D-line rank #13 (run tilt)"
DAL,pass_def_z,0.08,"PFF 2026 D-line rank #13 (pass tilt)"
BUF,run_def_z,0.17,"PFF 2026 D-line rank #14 (run tilt)"
BUF,pass_def_z,0.3,"PFF 2026 D-line rank #14 (pass tilt)"
CAR,run_def_z,0.4,"PFF 2026 D-line rank #15 (run tilt)"
CAR,pass_def_z,0.02,"PFF 2026 D-line rank #15 (pass tilt)"
NE,run_def_z,0.03,"PFF 2026 D-line rank #16 (run tilt)"
NE,pass_def_z,0.14,"PFF 2026 D-line rank #16 (pass tilt)"
TEN,run_def_z,0.12,"PFF 2026 D-line rank #17 (run tilt)"
TEN,pass_def_z,-0.14,"PFF 2026 D-line rank #17 (pass tilt)"
IND,run_def_z,-0.2,"PFF 2026 D-line rank #18 (run tilt)"
IND,pass_def_z,-0.02,"PFF 2026 D-line rank #18 (pass tilt)"
KC,run_def_z,-0.47,"PFF 2026 D-line rank #19 (run tilt)"
KC,pass_def_z,0.1,"PFF 2026 D-line rank #19 (pass tilt)"
SF,run_def_z,-0.34,"PFF 2026 D-line rank #20 (run tilt)"
SF,pass_def_z,-0.18,"PFF 2026 D-line rank #20 (pass tilt)"
NYG,run_def_z,-0.71,"PFF 2026 D-line rank #21 (run tilt)"
NYG,pass_def_z,0.04,"PFF 2026 D-line rank #21 (pass tilt)"
MIN,run_def_z,-0.37,"PFF 2026 D-line rank #22 (run tilt)"
MIN,pass_def_z,-0.44,"PFF 2026 D-line rank #22 (pass tilt)"
LAC,run_def_z,-0.34,"PFF 2026 D-line rank #23 (run tilt)"
LAC,pass_def_z,-0.62,"PFF 2026 D-line rank #23 (pass tilt)"
LV,run_def_z,-0.51,"PFF 2026 D-line rank #24 (run tilt)"
LV,pass_def_z,-0.6,"PFF 2026 D-line rank #24 (pass tilt)"
WAS,run_def_z,-0.79,"PFF 2026 D-line rank #25 (run tilt)"
WAS,pass_def_z,-0.49,"PFF 2026 D-line rank #25 (pass tilt)"
CHI,run_def_z,-1.05,"PFF 2026 D-line rank #26 (run tilt)"
CHI,pass_def_z,-0.47,"PFF 2026 D-line rank #26 (pass tilt)"
