player_name,team,pos,rz_target_share,rz_carry_share,five_target_share,five_carry_share,median_rz_target_share,median_rz_carry_share,median_five_target_share,median_five_carry_share,hist_2024_rz_target_share,hist_2024_rz_targets,hist_2024_rz_carry_share,hist_2024_rz_carries,hist_2024_five_target_share,hist_2024_five_targets,hist_2024_five_carry_share,hist_2024_five_carries,hist_2025_rz_target_share,hist_2025_rz_targets,hist_2025_rz_carry_share,hist_2025_rz_carries,hist_2025_five_target_share,hist_2025_five_targets,hist_2025_five_carry_share,hist_2025_five_carries
Carson Beck,ARI,QB,0,0.01,0,0.01,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Gardner Minshew,ARI,QB,0,0.01,0,0.01,0,0.0513,0,0,0,0,0.0513,2,0,0,0,0,,0,,0,,0,,0
Jacoby Brissett,ARI,QB,0,0.01,0,0.01,0,0.0509,0,0.1013,0,0,0.0392,2,0,0,0.0526,1,0,0,0.0625,2,0,0,0.15,3
Bam Knight,ARI,RB,0,0,0,0,0.05,0.2812,0.0588,0.4,,0,,0,,0,,0,0.05,5,0.2812,9,0.0588,1,0.4,8
Evan Hull,ARI,RB,0,0,0,0,,,,,,,,,,,,,,,,,,,,
James Conner,ARI,RB,0.025,0.2,0.02,0.22,0.0345,0.3618,0.0588,0.4011,0.069,4,0.661,39,0.0588,1,0.6522,15,0,0,0.0625,2,0.0588,1,0.15,3
Jeremiyah Love,ARI,RB,0.105,0.44,0.04,0.405,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Trey Benson,ARI,RB,0.015,0.02,0.01,0.02,0.01,0.0482,0,0.0467,0,0,0.0339,2,0,0,0.0435,1,0.02,2,0.0625,2,0,0,0.05,1
Tyler Allgeier,ARI,RB,0.025,0.295,0.02,0.3,0.0172,0.38,0,0.338,0.0169,1,0.3016,19,0,0,0.2593,7,0.0175,1,0.4583,22,0,0,0.4167,10
Devin Duvernay,ARI,WR,0.04,0,0.035,0,0.0189,0.0104,0.0192,0,0.0377,2,0.0208,1,0,0,0,0,0,0,0,0,0.0385,1,0,0
Harrison Wallace,ARI,WR,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Ihmir Smith-Marsette,ARI,WR,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Jalen Brooks,ARI,WR,0.025,0,0.02,0,0.0469,0,0.0526,0,0.0469,3,0,0,0.0526,1,0,0,,0,,0,,0,,0
Kendrick Bourne,ARI,WR,0.05,0,0.065,0,0.0212,0,0.0238,0,0.0161,1,0,0,0.0476,1,0,0,0.0263,2,0,0,0,0,0,0
Marvin Harrison,ARI,WR,0.22,0.005,0.21,0.005,0.1384,0,0.1765,0,0.2069,12,0,0,0.1176,2,0,0,0.07,7,0,0,0.2353,4,0,0
Michael Wilson,ARI,WR,0.19,0.005,0.155,0.005,0.1403,0,0.0588,0,0.1207,7,0,0,0.0588,1,0,0,0.16,16,0,0,0.0588,1,0,0
Reggie Virgil,ARI,WR,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Simi Fehoko,ARI,WR,0,0,0,0,0.0351,0,0,0,0.0351,2,0,0,0,0,0,0,,0,,0,,0,,0
Elijah Higgins,ARI,TE,0.045,0,0.045,0,0.0372,0,0.0588,0,0.0345,2,0,0,0.0588,1,0,0,0.04,4,0,0,0.0588,1,0,0
Hunter Long,ARI,TE,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Jameson Geers,ARI,TE,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Shawn Bowman,ARI,TE,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Teagan Quitoriano,ARI,TE,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Tip Reiman,ARI,TE,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Trey McBride,ARI,TE,0.26,0.005,0.38,0.015,0.2607,0,0.4118,0.0217,0.2414,14,0,0,0.4706,8,0.0435,1,0.28,28,0,0,0.3529,6,0,0
Cooper Rush,ATL,QB,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Jack Strand,ATL,QB,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Michael Penix,ATL,QB,0,0.01,0,0.01,0,0.0104,0,0.0787,0,0,0,0,0,0,0.0741,2,0,0,0.0208,1,0,0,0.0833,2
Tua Tagovailoa,ATL,QB,0,0.01,0,0.01,0,0.0381,0,0,0,0,0.0392,2,0,0,0,0,0,0,0.037,2,0,0,0,0
Bijan Robinson,ATL,RB,0.12,0.645,0.04,0.59,0.1646,0.6017,0.0385,0.5625,0.1186,7,0.6825,43,0,0,0.6667,18,0.2105,12,0.5208,25,0.0769,1,0.4583,11
Brian Robinson,ATL,RB,0.03,0.325,0.015,0.38,0.0461,0.2205,0.0308,0.2687,0.0526,4,0.2981,31,0.0294,1,0.4634,19,0.0395,3,0.1429,11,0.0323,1,0.0741,2
Cash Jones,ATL,RB,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Trey Sermon,ATL,RB,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Tyler Goodson,ATL,RB,0,0,0,0,0.0081,0.0373,0.0806,0.0128,0.0161,1,0.0746,5,0.1111,1,0.0256,1,0,0,0,0,0.05,1,0,0
Antwane Wells,ATL,WR,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Beaux Collins,ATL,WR,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Chris Blair,ATL,WR,0.02,0,0.02,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Drake London,ATL,WR,0.35,0,0.475,0,0.2657,0,0.5641,0,0.3559,21,0,0,0.6667,6,0,0,0.1754,10,0,0,0.4615,6,0,0
Dylan Drummond,ATL,WR,0.02,0,0.02,0,0.0351,0,0.1538,0,,0,,0,,0,,0,0.0351,2,0,0,0.1538,2,0,0
Jahan Dotson,ATL,WR,0.085,0,0.06,0,0.0712,0,0,0,0.0462,3,0,0,0,0,0,0,0.0962,5,0,0,0,0,0,0
Olamide Zaccheaus,ATL,WR,0.05,0,0.05,0,0.1437,0,0.0679,0,0.1184,9,0,0,0.0588,2,0,0,0.169,12,0,0,0.0769,2,0,0
Vinny Anthony,ATL,WR,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Zachariah Branch,ATL,WR,0.06,0,0.06,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Austin Hooper,ATL,TE,0.07,0,0.07,0,0.0797,0,0.0755,0,0.129,8,0,0,0.0476,1,0,0,0.0303,2,0,0,0.1034,3,0,0
Charlie Woerner,ATL,TE,0,0,0,0,0.0175,0,0,0,,0,,0,,0,,0,0.0175,1,0,0,0,0,0,0
Jack Velling,ATL,TE,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Kyle Pitts,ATL,TE,0.195,0.02,0.19,0.02,0.1982,0,0.1325,0,0.2034,12,0,0,0.1111,1,0,0,0.193,11,0,0,0.1538,2,0,0
Nick Muse,ATL,TE,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Joe Fagnano,BAL,QB,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Lamar Jackson,BAL,QB,0,0.2,0,0.06,0,0.2149,0,0.0556,0,0,0.2676,19,0,0,0.08,2,0,0,0.1622,12,0,0,0.0312,1
Skylar Thompson,BAL,QB,0,0.01,0,0.01,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Tyler Huntley,BAL,QB,0,0.1,0,0.1,0,0.0669,0,0.025,0,0,0.0392,2,0,0,0.05,1,0,0,0.0946,7,0,0,0,0
Adam Randall,BAL,RB,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Derrick Henry,BAL,RB,0.045,0.6,0.02,0.79,0.0583,0.5179,0.0312,0.8619,0.0758,5,0.5493,39,0.0625,1,0.88,22,0.0408,2,0.4865,36,0,0,0.8438,27
Jonathan Ward,BAL,RB,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Justice Hill,BAL,RB,0.09,0.1,0.05,0.11,0.0708,0.0558,0.0312,0.0356,0.1212,8,0.0845,6,0.0625,1,0.04,1,0.0204,1,0.027,2,0,0,0.0312,1
Rasheen Ali,BAL,RB,0,0.02,0,0,0.0102,0.0346,0,0,0,0,0.0423,3,0,0,0,0,0.0204,1,0.027,2,0,0,0,0
Chris Moore,BAL,WR,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Devontez Walker,BAL,WR,0.05,0,0.05,0,0,0,0.0455,0,,0,,0,,0,,0,0,0,0,0,0.0455,1,0,0
Elijah Sarratt,BAL,WR,0.08,0,0.13,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Ja'Kobi Lane,BAL,WR,0.115,0,0.09,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
LaJohntay Wester,BAL,WR,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Rashod Bateman,BAL,WR,0.11,0.02,0.1,0,0.1396,0,0.108,0,0.1364,9,0,0,0.125,2,0,0,0.1429,7,0,0,0.0909,2,0,0
Ty Pezza,BAL,WR,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Xavier Guillory,BAL,WR,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Zay Flowers,BAL,WR,0.27,0.04,0.23,0,0.1551,0.0208,0.0767,0,0.1061,7,0.0282,2,0.0625,1,0,0,0.2041,10,0.0135,1,0.0909,2,0,0
Durham Smythe,BAL,TE,0.04,0,0.055,0,0.0133,0,0.0769,0,0.0133,1,0,0,0.0769,2,0,0,,0,,0,,0,,0
Josh Cuevas,BAL,TE,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Mark Andrews,BAL,TE,0.2,0.02,0.275,0.04,0.1877,0.0141,0.2528,0.0469,0.2121,14,0.0282,2,0.1875,3,0,0,0.1633,8,0,0,0.3182,7,0.0938,3
Matthew Hibner,BAL,TE,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Nick Vannett,BAL,TE,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Josh Allen,BUF,QB,0,0.22,0,0.385,0,0.2236,0,0.3869,0,0,0.2653,26,0,0,0.3571,15,0,0,0.1818,14,0,0,0.4167,20
Kyle Allen,BUF,QB,0,0.01,0,0.01,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Shane Buechele,BUF,QB,0,0.01,0,0.01,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Frank Gore,BUF,RB,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
James Cook,BUF,RB,0.045,0.53,0.03,0.43,0.0409,0.5218,0.0436,0.4137,0.0548,4,0.4592,45,0.0526,1,0.4524,19,0.027,2,0.5844,45,0.0345,1,0.375,18
Ray Davis,BUF,RB,0.03,0.135,0.03,0.08,0.0135,0.1141,0.1044,0.0685,0,0,0.1633,16,0.1053,2,0.0952,4,0.027,2,0.0649,5,0.1034,3,0.0417,2
Ty Johnson,BUF,RB,0.07,0.105,0.03,0.095,0.0681,0.1303,0.0263,0.0863,0.0822,6,0.0918,9,0.0526,1,0.0476,2,0.0541,4,0.1688,13,0,0,0.125,6
DJ Moore,BUF,WR,0.23,0.01,0.2,0,0.2055,0.019,0.1904,0,0.3125,20,0,0,0.15,3,0,0,0.0986,7,0.038,3,0.2308,6,0,0
Greg Dortch,BUF,WR,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Ja'Mori Maclin,BUF,WR,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Josh Palmer,BUF,WR,0.08,0,0.12,0,0.0864,0,0.1326,0,0.1053,6,0,0,0.2308,3,0,0,0.0676,5,0,0,0.0345,1,0,0
Keon Coleman,BUF,WR,0.1,0,0.2,0,0.1157,0,0.235,0,0.1233,9,0,0,0.2632,5,0,0,0.1081,8,0,0,0.2069,6,0,0
Khalil Shakir,BUF,WR,0.145,0,0.105,0,0.1765,0,0.078,0,0.1233,9,0,0,0.0526,1,0,0,0.2297,17,0,0,0.1034,3,0,0
Skyler Bell,BUF,WR,0.035,0,0.035,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Stephen Gosnell,BUF,WR,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Trent Sherfield,BUF,WR,0,0,0,0,0.0163,0,0,0,0.0127,1,0,0,0,0,0,0,0.02,2,0,0,0,0,0,0
Tyrell Shavers,BUF,WR,0.02,0,0.02,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Dalton Kincaid,BUF,TE,0.14,0,0.1,0,0.1293,0,0.0345,0,0.137,10,0,0,0,0,0,0,0.1216,9,0,0,0.069,2,0,0
Dawson Knox,BUF,TE,0.105,0,0.13,0,0.102,0,0.1034,0,0.0959,7,0,0,0,0,0,0,0.1081,8,0,0,0.2069,6,0,0
Jackson Hawes,BUF,TE,0,0,0,0,0.0135,0,0.069,0,,0,,0,,0,,0,0.0135,1,0,0,0.069,2,0,0
Keleki Latu,BUF,TE,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Bryce Young,CAR,QB,0,0.13,0,0.1,0,0.1535,0,0.1142,0,0,0.1667,7,0,0,0.1034,3,0,0,0.1404,8,0,0,0.125,2
Haynes King,CAR,QB,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Kenny Pickett,CAR,QB,0,0.03,0,0.03,0,0,0,0.0345,0,0,0,0,0,0,0.0345,2,,0,,0,,0,,0
AJ Dillon,CAR,RB,0.01,0.1,0.01,0.15,0.0192,0.0323,0,0,,0,,0,,0,,0,0.0192,1,0.0323,2,0,0,0,0
Anthony Tyus,CAR,RB,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Chuba Hubbard,CAR,RB,0.07,0.375,0.05,0.38,0.1006,0.4524,0.0789,0.5043,0.1571,11,0.5714,24,0,0,0.7586,22,0.0441,3,0.3333,19,0.1579,3,0.25,4
Jonathon Brooks,CAR,RB,0.09,0.365,0.05,0.34,0.0286,0.0476,0,0.0345,0.0286,2,0.0476,2,0,0,0.0345,1,,0,,0,,0,,0
Trevor Etienne,CAR,RB,0.02,0.02,0.02,0.02,0,0.0526,0,0.0625,,0,,0,,0,,0,0,0,0.0526,3,0,0,0.0625,1
Brycen Tremayne,CAR,WR,0,0,0,0,0.0147,0,0.0526,0,,0,,0,,0,,0,0.0147,1,0,0,0.0526,1,0,0
Casey Washington,CAR,WR,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Chris Brazzell,CAR,WR,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
David Moore,CAR,WR,0,0,0,0,0.1286,0,0.1111,0.0345,0.1286,9,0,0,0.1111,2,0.0345,1,,0,,0,,0,,0
Ja'Seem Reed,CAR,WR,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
Jalen Coker,CAR,WR,0.165,0,0.16,0,0.0725,0,0.1082,0,0.0714,5,0,0,0.1111,2,0,0,0.0735,5,0,0,0.1053,2,0,0
Jimmy Horn,CAR,WR,0.035,0,0.035,0,0.0441,0,0,0,,0,,0,,0,,0,0.0441,3,0,0,0,0,0,0
John Metchie,CAR,WR,0.05,0,0.05,0,0.0976,0,0.0455,0,0.0972,7,0,0,0.0909,2,0,0,0.098,5,0,0,0,0,0,0
Tetairoa McMillan,CAR,WR,0.28,0,0.3,0,0.1765,0,0.1579,0,,0,,0,,0,,0,0.1765,12,0,0,0.1579,3,0,0
Xavier Legette,CAR,WR,0.13,0.01,0.12,0.01,0.1523,0,0.136,0,0.1429,10,0,0,0.1667,3,0,0,0.1618,11,0,0,0.1053,2,0,0
Darren Waller,CAR,TE,0.06,0,0.085,0,,,,,,,,,,,,,,,,,,,,
Feleipe Franks,CAR,TE,0,0,0,0,,,,,,0,,0,,0,,0,,0,,0,,0,,0
