team,player_name,jersey,pos,nfl_status,height,weight,experience,college
ARI,Andrew Billings,95,DT,ACT,73,340,10,Baylor
ARI,Andrew Wingard,28,SAF,ACT,72,205,8,Wyoming
ARI,Art Green,,CB,DEV,74,201,3,Houston
ARI,Bam Knight,20,RB,ACT,71,209,4,N.C. State
ARI,Baron Browning,5,LB,ACT,75,255,6,Ohio State
ARI,Blake Gillikin,12,P,ACT,74,196,7,Penn State
ARI,Budda Baker,3,S,ACT,70,195,10,Washington
ARI,Cam Horsley,93,DT,DEV,75,312,1,Boston College
ARI,Cam Robertson,49,LB,DEV,76,260,R,SMU
ARI,Carson Beck,19,QB,ACT,76,233,R,Miami
ARI,Casey Kreiter,59,LS,ACT,73,250,11,Iowa
ARI,Chad Ryland,38,K,ACT,72,195,4,Maryland
ARI,Chase Bisontis,57,OT,RES,77,315,R,Texas A&M
ARI,Cody Simon,,LB,ACT,74,229,2,Ohio State
ARI,D'Shawn Jamison,,DB,DEV,70,186,2,Texas
ARI,Dadrion Taylor-Demerson,42,SAF,ACT,70,200,3,Texas Tech
ARI,Damonic Williams,96,DT,DEV,73,305,R,Oklahoma
ARI,Dante Stills,55,DT,ACT,76,300,4,West Virginia
ARI,Darius Robinson,56,DL,ACT,77,290,3,Missouri
ARI,Demontrey Jacobs,67,OT,DEV,78,325,3,South Florida Community College
ARI,Denzel Burke,29,CB,ACT,71,190,2,Ohio State
ARI,Devin Duvernay,81,WR,ACT,71,200,6,Texas
ARI,Eku Leota,54,LB,ACT,76,257,2,Auburn
ARI,Elijah Higgins,84,TE,ACT,75,245,4,Stanford
ARI,Elijah Wilkinson,65,OT,ACT,78,315,10,UMass Amherst
ARI,Eugene Asante,61,LB,DEV,73,222,1,Auburn
ARI,Evan Hull,26,RB,DEV,70,209,1,Northwestern
ARI,Gardner Minshew,15,QB,ACT,73,225,8,Washington State
ARI,Garrett Williams,21,CB,ACT,70,192,4,Syracuse
ARI,Harrison Wallace III,30,WR,DEV,71,192,R,Mississippi
ARI,Hayden Conner,58,G,ACT,78,314,2,Texas
ARI,Hjalte Froholdt,72,G,ACT,77,310,8,Arkansas
ARI,Hunter Long,89,TE,ACT,77,253,6,Boston College
ARI,Ihmir Smith-Marsette,83,WR,CUT,73,200,5,Iowa
ARI,Isaac Seumalo,73,G,ACT,76,310,11,Oregon State
ARI,Isaiah Adams,74,G,ACT,76,316,3,Illinois
ARI,Jack Gibbens,50,LB,ACT,75,242,4,Minnesota
ARI,Jacoby Brissett,7,QB,ACT,76,235,11,N.C. State
ARI,Jalen Brooks,86,WR,ACT,74,205,4,South Carolina
ARI,James Conner,6,RB,RSR,73,233,10,Pittsburgh
ARI,Jameson Geers,46,TE,RES,77,250,R,Minnesota
ARI,Jared Harrison-Hunte,,DT,DEV,76,310,2,SMU
ARI,Jayden Williams,66,OT,ACT,76,307,R,Mississippi
ARI,Jeremiyah Love,4,RB,ACT,72,212,R,Notre Dame
ARI,Jerrick Reed II,,SAF,DEV,69,196,4,New Mexico
ARI,Joey Blount,32,SAF,RES,73,195,5,Virginia
ARI,Jon Gaines II,71,G,ACT,76,320,4,UCLA
ARI,Jordan Burch,52,LB,ACT,76,279,2,Oregon
ARI,Josh Fryar,78,OT,ACT,77,320,2,Ohio State
ARI,Josh Sweat,10,LB,ACT,77,265,9,Florida State
ARI,Kaleb Proctor,94,DT,RES,74,291,R,Southeastern Louisiana
ARI,Kalen King,35,CB,ACT,71,190,1,Penn State
ARI,Karson Sharar,43,LB,ACT,73,231,R,Iowa
ARI,Kei'Trel Clark,13,CB,ACT,70,181,4,Louisville
ARI,Kendrick Bourne,17,WR,ACT,73,203,10,Eastern Washington
ARI,Kitan Crawford,36,SAF,RES,71,202,2,Nevada
ARI,L.J. Collier,91,DE,ACT,74,300,8,TCU
ARI,Mack Wilson,1,LB,ACT,73,240,8,Alabama
ARI,Marvin Harrison Jr.,18,WR,ACT,75,220,3,Ohio State
ARI,Matt Pryor,76,OT,DEV,79,332,9,TCU
ARI,Max Melton,16,CB,ACT,71,190,3,Rutgers
ARI,Michael Wilson,14,WR,ACT,74,213,4,Stanford
ARI,Paris Johnson Jr.,70,OT,ACT,78,325,4,Ohio State
ARI,Reggie Virgil,82,WR,ACT,74,187,R,Texas Tech
ARI,Roy Lopez,51,DT,ACT,74,312,6,Arizona
ARI,Shawn Bowman,44,TE,DEV,76,249,1,Rutgers
