player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Caleb Williams,CHI,QB,00-0039918,active,,,0,0.025,,,,-0.0674,0.0588,0.055,,8.2685,,,,3.0624,,0,0.05,0,0.05
Tyson Bagent,CHI,QB,00-0038416,active,,,0,0.025,,,,18.5457,0,0,,1.9167,,,,2.944,,0,0.025,0,0.025
Case Keenum,CHI,QB,00-0028986,active,,,0,0,,,,-3.6247,0.0714,0,,6.47,,,,2.668,,0,0,0,0
D'Andre Swift,CHI,RB,00-0036275,active,,,0.105,0.535,0.7419,4.1866,10.985,,,,-0.272,,0.0078,2.5627,0.2722,,3.2,0.08,0.49,0.03,0.47
Kyle Monangai,CHI,RB,00-0040236,active,,,0.05,0.325,0.6143,4.1716,9.4545,,,,-0.1083,,0,2.3907,0.3939,,3.2,0.04,0.41,0.015,0.435
Roschon Johnson,CHI,RB,00-0039021,active,,,0.02,0.025,0.8048,2.9963,5.9214,,,,1.4762,,0,-0.495,0.1071,,3.2,0.01,0.02,0.01,0.02
Brittain Brown,CHI,RB,00-0037329,ir,8,,0,0,0,7.4,6.5,,,,4,,0,0,0.15,,3.2,0,0,0,0
Salvon Ahmed,CHI,RB,00-0036020,practice_squad,,,0,0,0.6667,2.978,8.469,,,,1.5,,0.0208,1.2751,0.3125,,3.2,0,0,0,0
Zavier Scott,CHI,RB,,practice_squad,,new to team,0,0,0.875,3.562,7.5,,,,1.062,,0.0625,-0.2699,0.0769,,3.2,0,0,0,0
Luther Burden,CHI,WR,00-0040735,active,,,0.195,0.04,0.7895,6.1667,6.2528,,,,6.5114,,0.1188,-0.3617,0.2694,,4.6534,0.23,0.02,0.165,0
Rome Odunze,CHI,WR,00-0039919,active,,,0.185,0.02,0.5322,4.25,5.0435,,,,13.6064,,0.2201,0.6715,0.2787,,2.9434,0.205,0,0.26,0
Kalif Raymond,CHI,WR,00-0032464,active,,,0.065,0.02,0.7762,4.75,6.3377,,,,6.673,,0.0833,0.2433,0.2105,,4.7813,0.03,0,0.01,0
Jahdae Walker,CHI,WR,00-0040277,active,,,0.085,0,0.6111,4.2,1.3333,,,,13.3611,,0.2222,-1.921,0,,2.8,0.06,0,0.04,0
JP Richardson,CHI,WR,00-0040275,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Kaden Davis,CHI,WR,00-0037380,practice_squad,,new to team,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Ray-Ray McCloud,CHI,WR,00-0034407,ir,8,new to team,0,0,0.6479,10.632,4.957,,,,7.249,,0.0751,-0.6636,0.1471,,3.183,0,0,0,0
Scott Miller,CHI,WR,00-0035298,practice_squad,,,0,0,0.5754,15,5.4722,,,,6.9669,,0.0992,-0.2428,0.0833,,4.5623,0,0,0,0
Zavion Thomas,CHI,WR,00-0041051,active,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Colston Loveland,CHI,TE,00-0040126,active,,,0.22,0.01,0.67,-2,4.6622,,,,9.7348,,0.1552,0.7357,0.2344,,3.5737,0.24,0.01,0.295,0.01
Cole Kmet,CHI,TE,00-0036290,active,,,0.075,0,0.7336,1.714,4.204,,,,7.189,,0.113,-0.5665,0.1975,,4.653,0.105,0,0.175,0
Hayden Large,CHI,TE,00-0041170,ir,8,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Nikola Kalinic,CHI,TE,00-0037031,ir,8,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Qadir Ismail,CHI,TE,00-0039843,practice_squad,,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Sam Roush,CHI,TE,00-0041558,active,,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Stephen Carlson,CHI,TE,00-0035039,practice_squad,,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Totals,,,,,,,1,1.025,,,,,,,,,,,,,,1,1.025,1,1.01
