player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Jared Goff,DET,QB,00-0033106,active,,,0,0.01,,,,5.1545,0.0563,0.02,,6.3814,,,,2.7473,,0,0.01,0,0.01
Teddy Bridgewater,DET,QB,,active,,NOT on nfl.com roster -- confirm (name mismatch?) or delete,0,0.01,,,,-16.2942,0.1053,0,,6.5333,,,,2.3226,,0,0.01,0,0.01
Joshua Dobbs,DET,QB,00-0033949,active,,new to team,0,0,,,,-1.3011,0.0613,0,,8.041,,,,2.927,,0,0,0,0
Luke Altmyer,DET,QB,00-0041453,practice_squad,,,0,0,,,,0,0.06,0.05,,8,,,,2.7,,0,0,0,0
Jahmyr Gibbs,DET,RB,00-0039139,active,,,0.145,0.75,0.8259,5.3403,11.1065,,,,0.1619,,0.0232,3.2742,0.3394,,3.2,0.145,0.75,0.065,0.855
Isiah Pacheco,DET,RB,00-0037197,ir,8,,0.025,0.1,0.746,3.9705,7.5378,,,,-1.2205,,0,-1.23,0.2133,,3.2,0.01,0.1,0.01,0.06
Jacob Saylors,DET,RB,00-0038896,active,,,0.025,0.1,0.75,5.5,6.5,,,,1,,0.04,0,0.15,,3.2,0.01,0.1,0.01,0.06
Sione Vaki,DET,RB,00-0039364,active,,,0,0,1,3.6,5.5,,,,8,,0,-0.0608,0.25,,3.2,0,0,0,0
Amon-Ra St Brown,DET,WR,00-0036963,active,,,0.27,0.015,0.748,2.875,4.3122,,,,7.2429,,0.0405,-0.135,0.1835,,3.0491,0.31,0.015,0.37,0
Jameson Williams,DET,WR,00-0037240,active,,,0.21,0.025,0.6382,4.3333,7.5655,,,,12.2202,,0.182,2.2933,0.271,,3.2484,0.16,0.025,0.125,0.015
Isaac TeSlaa,DET,WR,00-0040669,active,,,0.065,0,0.5706,4,2.2407,,,,14.1854,,0.1233,1.3276,0.1296,,2.7318,0.09,0,0.085,0
Cedrick Wilson,DET,WR,,ir,99,season-ending IR (Cam),0,0,0.7213,4.75,4.7619,,,,7.8954,,0.0521,-0.5034,0.1786,,3.6571,0,0,0,0
Dominic Lovett,DET,WR,00-0040241,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Jackson Meeks,DET,WR,00-0040390,active,,,0.015,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.015,0,0.015,0
Kendrick Law,DET,WR,00-0041446,ir,8,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Lucky Jackson,DET,WR,00-0038181,practice_squad,,new to team,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Tay Martin,DET,WR,00-0037524,active,,new to team,0.015,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.015,0,0.015,0
Tom Kennedy,DET,WR,00-0035544,practice_squad,,,0,0,0.5,4,1,,,,9.5,,0.125,-3.4871,0,,2.295,0,0,0,0
Sam LaPorta,DET,TE,00-0039065,active,,,0.17,0,0.7781,4,6.4663,,,,6.9065,,0.1137,1.5022,0.2449,,3.4376,0.185,0,0.245,0
Tyler Conklin,DET,TE,,active,,,0.05,0,0.6933,1,5.3329,,,,4.1656,,0.029,-0.1105,0.1357,,4.1489,0.05,0,0.05,0
Brock Wright,DET,TE,00-0036754,active,,,0.01,0,0.7354,4,5.7798,,,,3.8262,,0.1176,1.5491,0.3036,,3.8411,0.01,0,0.01,0
Thomas Gordon,DET,TE,00-0040697,practice_squad,,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Totals,,,,,,,1.0,1.01,,,,,,,,,,,,,,1.0,1.01,1.0,1.01
