player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Jordan Love,GB,QB,00-0036264,active,,,0,0.03,,,,2.954,0.0349,0.055,,8.7767,,,,2.8882,,0,0.03,0,0.03
Tyrod Taylor,GB,QB,00-0028118,active,,,0,0.03,,,,-2.4416,0.0595,0.065,,7.1135,,,,3.0291,,0,0.03,0,0.03
Kedon Slovis,GB,QB,,practice_squad,,new to team,0,0,,,,0,0.06,0.05,,8,,,,2.7,,0,0,0,0
Josh Jacobs,GB,RB,00-0035700,exempt,7,exempt; possible return wk7 (Cam 2026-09-23),0,0,0.827,4.2795,8.6128,,,,-0.919,,0,0.9109,0.2506,,3.2,0,0,0,0
MarShawn Lloyd,GB,RB,00-0039811,active,,,0.085,0.535,1,2.5,8,,,,-0.8487,,0,-3.4363,0,,3.2,0.075,0.625,0.065,0.625
Chris Brooks,GB,RB,00-0038685,active,,,0.01,0.125,0.8056,4.4329,7.9062,,,,-0.4444,,0,-0.2756,0.2292,,3.2,0.01,0.065,0.01,0.065
Kaleb Johnson,GB,RB,00-0040142,active,,new to team,0.03,0.27,0.5,2.464,14,,,,-4,,0,0,0.15,,3.2,0.02,0.24,0.02,0.24
Pierre Strong,GB,RB,00-0038098,practice_squad,,,0,0,0.6407,2.8306,9,,,,0.2519,,0,0.6805,0.1875,,3.2,0,0,0,0
Jayden Reed,GB,WR,00-0039146,active,,,0.17,0.02,0.7413,8.1667,6.138,,,,8.6875,,0.183,-0.2635,0.2037,,4.5905,0.19,0.02,0.145,0.02
Matthew Golden,GB,WR,00-0040667,active,,,0.185,0.02,0.5968,5.1,3.4015,,,,12.9414,,0.2607,-2.8892,0.053,,2.8765,0.185,0.02,0.195,0.02
Christian Watson,GB,WR,00-0038124,active,,,0.215,0,0.5477,3.625,3.8892,,,,18.7204,,0.3484,-0.5594,0.1392,,2.2255,0.225,0,0.25,0
Savion Williams,GB,WR,00-0040009,ir,8,,0.05,0,1,2.625,5.7222,,,,3.6667,,0.1667,-2.0257,0.2222,,2.8,0.035,0,0.035,0
Skyy Moore,GB,WR,00-0038090,active,,,0.02,0,0.5556,5.5,5.8,,,,13.7222,,0.2222,-0.0507,0.4,,3.099,0.02,0,0.02,0
Bo Melton,GB,WR,00-0037091,active,,new to team,0,0,0.5167,6.875,1.677,,,,15.367,,0.25,-2.6153,0.0345,,3.135,0,0,0,0
Chris Hilton,GB,WR,00-0041179,practice_squad,,new to team,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Isaiah Neyor,GB,WR,00-0040558,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
JMichael Sturdivant,GB,WR,00-0040948,active,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Tucker Kraft,GB,TE,00-0038996,active,,,0.195,0,0.7259,2.25,7.6458,,,,5.7053,,0.0807,3.0681,0.3108,,4.4083,0.2,0,0.21,0
Luke Musgrave,GB,TE,00-0039144,pup,9,,0.04,0,0.7833,4,2.4444,,,,7.6583,,0.1458,-2.588,0,,5.1572,0.04,0,0.05,0
Drake Dabney,GB,TE,00-0040628,practice_squad,,,0,0,0.5,4.2,0,,,,5,,0,-4.7696,0,,3,0,0,0,0
Jonnu Smith,GB,TE,00-0033858,active,,new to team,0,0,0.7236,5.182,6.356,,,,5.022,,0.059,0.641,0.2124,,3.702,0,0,0,0
Josh Whyle,GB,TE,00-0038589,active,,,0,0,0.7504,4,5.2157,,,,5.2282,,0.0667,0.0209,0.2451,,4.2349,0,0,0,0
Mark Redman,GB,TE,00-0040598,active,,new to team,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
McCallan Castles,GB,TE,00-0039263,ir,8,new to team,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Thomas Yassmin,GB,TE,00-0039936,ir,8,new to team,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Totals,,,,,,,1,1.03,,,,,,,,,,,,,,1,1.03,1,1.03
