player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Trevor Lawrence,JAX,QB,00-0036971,active,,,0,0.02,,,,0.2843,0.056,0.035,,9.1395,,,,2.8023,,0,0.055,0,0.065
Nick Mullens,JAX,QB,00-0033319,practice_squad,,,0,0.005,,,,-0.4718,0,0,,6.25,,,,3.056,,0,0.005,0,0.005
Carter Bradley,JAX,QB,00-0039534,ir,8,,0,0,,,,0,0.06,0.05,,8,,,,2.7,,0,0,0,0
Joey Aguilar,JAX,QB,00-0041203,practice_squad,,,0,0,,,,0,0.06,0.05,,8,,,,2.7,,0,0,0,0
Quinn Ewers,JAX,QB,00-0040234,active,,new to team,0,0,,,,0.9923,0.0808,0,,8.349,,,,2.813,,0,0,0,0
Bhayshul Tuten,JAX,RB,00-0040719,active,,,0.085,0.48,0.7167,3.6362,6.5625,,,,0.75,,0,-0.5416,0.125,,3.2,0.065,0.455,0.02,0.415
Chris Rodriguez,JAX,RB,00-0038611,active,,,0.015,0.36,0.8,3.9299,9.25,,,,3.4,,0,3.5373,0.5,,3.2,0.01,0.415,0.01,0.47
Ameer Abdullah,JAX,RB,00-0032104,active,,,0.025,0.085,0.8757,3.8448,5.9685,,,,0.2497,,0,-1.1407,0.1178,,3.2,0.01,0.055,0.01,0.035
J'mari Taylor,JAX,RB,00-0041217,practice_squad,,,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0,0,0,0
LeQuint Allen,JAX,RB,00-0040238,active,,,0,0,0.9444,4.4722,5.9444,,,,-1.0556,,0,-1.4832,0,,3.2,0,0,0,0
Jakobi Meyers,JAX,WR,00-0034960,active,,,0.2,0,0.7035,6,3.7117,,,,9.6724,,0.1083,-0.7343,0.1302,,2.7348,0.21,0,0.2,0
Brian Thomas,JAX,WR,00-0039893,active,,,0.155,0.01,0.6342,8.5,5.2191,,,,12.9589,,0.2216,0.4759,0.1963,,2.8025,0.175,0,0.25,0
Parker Washington,JAX,WR,00-0038606,active,,,0.21,0.01,0.6236,-1.1667,3.647,,,,11.0033,,0.1845,-0.3971,0.126,,2.6932,0.235,0.005,0.225,0.005
Travis Hunter,JAX,WR,00-0040718,active,,,0.13,0.035,0.6418,0,6.5119,,,,8.5495,,0.1349,0.0785,0.2619,,3.383,0.115,0.015,0.105,0.01
Austin Trammell,JAX,WR,00-0036841,practice_squad,,,0,0,0.3889,4,1.8333,,,,14.5972,,0.2083,-2.049,0.1667,,4.825,0,0,0,0
CJ Williams,JAX,WR,00-0041106,active,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Josh Cameron,JAX,WR,00-0041100,active,,,0.04,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.04,0,0.04,0
Michael Wortham,JAX,WR,00-0041220,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Tim Jones,JAX,WR,00-0036497,practice_squad,,,0,0,0.75,4,7,,,,7.375,,0,2.8829,0.5,,2.925,0,0,0,0
Trebor Pena,JAX,WR,00-0041216,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Brenton Strange,JAX,TE,00-0038935,active,,,0.13,0,0.7383,4,6.5937,,,,6.5151,,0.0571,1.6757,0.376,,3.4945,0.13,0,0.13,0
Quintin Morris,JAX,TE,00-0036590,active,,,0.01,0,0.6583,4,3.3958,,,,8.7417,,0.2,0.2992,0.1875,,5.058,0.01,0,0.01,0
Hayden Rucci,JAX,TE,,practice_squad,,new to team,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Nate Boerkircher,JAX,TE,00-0041503,active,,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Tanner Koziol,JAX,TE,00-0041084,active,,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Totals ,,,,,,,1.0,1.005,,,,,,,,,,,,,,1.0,1.005,1.0,1.005
