player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Patrick Mahomes,KC,QB,00-0033873,active,,,0,0.01,,,,2.4286,0.05944,0.045,,7.1708,,,,2.799,,0,0.025,0,0.04
Chris Oladokun,KC,QB,00-0037324,ir,8,,0,0,,,,0,0.2101,0,,8,,,,2.9558,,0,0,0,0
Garrett Nussmeier,KC,QB,00-0040906,active,,,0,0,,,,0,0.06,0.05,,8,,,,2.7,,0,0,0,0
Justin Fields,KC,QB,00-0036945,active,,,0,0,,,,-4.9802,0.0932,0,,8.8554,,,,3.0124,,0,0,0,0
Kenneth Walker,KC,RB,00-0038134,active,,,0.09,0.68,0.8818,4.2977,8.9735,,,,-0.7679,,0,0.9716,0.3053,,3.2,0.085,0.71,0.045,0.72
Brashard Smith,KC,RB,00-0040078,active,,,0.025,0.05,0.5972,3.6093,8.6778,,,,-1.3639,,0,0.232,0.1926,,3.2,0.02,0.05,0.01,0.05
Ben VanSumeren,KC,RB,,practice_squad,,new to team,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0,0,0,0
EJ Smith,KC,RB,00-0040964,ir,8,,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0,0,0,0
Emmett Johnson,KC,RB,00-0041013,active,,,0.07,0.17,0.75,5.568,6.5,,,,-0.5147,,0.02,0.8543,0.1957,,3.2,0.05,0.15,0.03,0.12
Jaydn Ott,KC,RB,00-0040959,practice_squad,,,,,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0,0,0,0
Nate Carter,KC,RB,,practice_squad,,new to team,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0,0,0,0
Rashee Rice,KC,WR,00-0039067,active,,,0.235,0.045,0.7113,3,7.9456,,,,4.8981,,0.0884,1.7132,0.2292,,3.7547,0.24,0.02,0.235,0.02
Xavier Worthy,KC,WR,00-0039894,active,,,0.165,0.045,0.5984,6.1984,6.3139,,,,10.9237,,0.2094,0.5858,0.3045,,3.813,0.175,0.045,0.165,0.01
Tyquan Thornton,KC,WR,00-0038104,active,,,0.09,0,0.4148,11.167,4.097,,,,26.2752,,0.6174,-2.0793,0.0758,,3.2387,0.09,0,0.07,0
Jason Brownlee,KC,WR,00-0038492,cut,,"nfl.com: off roster -- reassign this share, then delete",0,0,0,4.2,4.2,,,,9,,0,0,0.15,,2.8,0,0,0,0
Jimmy Holiday,KC,WR,00-0040120,ir,8,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Andrew Armstrong,KC,WR,00-0040298,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Cyrus Allen,KC,WR,00-0040890,active,,,0.06,0,0.6259,4.2,3.659,,,,10.871,,0.1246,-1.127,0.1154,,2.8,0.06,0,0.06,0
Jalen Royals,KC,WR,00-0040646,active,,,0.055,0,0.6667,4.2,2,,,,7.3333,,0.3333,-5.6231,0,,2.8,0.05,0,0.045,0
Jeff Caldwell,KC,WR,00-0040953,ir,8,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Nikko Remigio,KC,WR,00-0038519,active,,,0,0,0.6667,11,5,,,,14.3333,,0,0.5233,0.25,,2.6757,0,0,0,0
Omari Evans,KC,WR,00-0040954,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Travis Kelce,KC,TE,00-0030506,active,,,0.15,0,0.6933,1,4.1172,,,,6.9594,,0.0826,-0.3876,0.1625,,3.2759,0.17,0,0.255,0.04
Noah Gray,KC,TE,00-0036637,active,,,0.06,0,0.7316,-4,5.216,,,,6.0322,,0.073,-0.0512,0.2253,,3.6858,0.06,0,0.085,0
Jake Briningstool,KC,TE,00-0040081,active,,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Jared Wiley,KC,TE,00-0039824,active,,,0,0,1,4.2,5.5,,,,0,,0,-1.5356,0,,3,0,0,0,0
John Michael Gyllenborg,KC,TE,00-0040955,ir,8,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Totals,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
