player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Aaron Rodgers,PIT,QB,00-0023459,active,,,0,0.01,,,,-1.4131,0.0558,0.02,,6.3761,,,,2.6591,,0,0.02,0,0.03
Mason Rudolph,PIT,QB,00-0034771,active,,,0,0.01,,,,-1.6106,0.036,0.02,,5.8436,,,,2.7987,,0,0.01,0,0.01
Drew Allar,PIT,QB,00-0041565,active,,,0,0,,,,0,0.06,0.05,,8,,,,2.7,,0,0,0,0
Will Howard,PIT,QB,00-0040203,active,,,0,0,,,,0,0.06,0.05,,8,,,,2.7,,0,0,0,0
Rico Dowdle,PIT,RB,00-0036139,active,,,0.065,0.525,0.8354,4.3014,8.2989,,,,-0.9615,,0.0226,0.2785,0.2527,,3.2,0.065,0.535,0.04,0.535
Jaylen Warren,PIT,RB,00-0037228,active,,,0.11,0.39,0.8489,4.2002,9.1268,,,,-1.4695,,0,1.0308,0.2821,,3.2,0.11,0.4,0.045,0.4
Eli Heidenreich,PIT,RB,00-0041490,active,,,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0,0,0,0
Lew Nichols,PIT,RB,00-0038409,practice_squad,,,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0,0,0,0
Max Hurleman,PIT,RB,00-0040618,practice_squad,,,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0,0,0,0
Travis Homer,PIT,RB,00-0035594,practice_squad,,,0,0,1,2.8333,3.3333,,,,0.3333,,0,-3.2528,0,,3.2,0,0,0,0
Michael Pittman,PIT,WR,00-0036252,active,,,0.22,0.01,0.6802,9.25,3.2979,,,,8.6972,,0.1055,-1.1621,0.0954,,2.9007,0.22,0,0.25,0
DK Metcalf,PIT,WR,00-0035640,active,,,0.185,0.01,0.6361,6,5.2963,,,,11.9058,,0.2377,0.6103,0.1756,,2.5513,0.185,0,0.275,0
Cole Burgess,PIT,WR,00-0039626,ir,8,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Roman Wilson,PIT,WR,00-0039739,active,,,0.055,0,0.5519,4,5.6071,,,,11.7296,,0.2889,0.204,0.2857,,3.6602,0.055,0,0.02,0
Ben Skowronek,PIT,WR,00-0036862,active,,,0.03,0,0.8,8.667,6.125,,,,9.15,,0,2.6333,0.5,,3.601,0.03,0,0.02,0
Brandon Johnson,PIT,WR,,practice_squad,,new to team,0,0,0.5652,4,4.077,,,,11.4,,0.2174,0.1578,0.2083,,2.703,0,0,0,0
Brandon Smith,PIT,WR,00-0036775,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Germie Bernard,PIT,WR,00-0041489,active,,,0.125,0,0.62,4.2,4.2,,,,10.2281,,0.15,0,0.15,,2.8,0.125,0,0.08,0
Kaden Wetjen,PIT,WR,00-0041397,active,,,0,0,0.5787,4.2,4.0075,,,,11.5,,0.1774,-0.2247,0.1057,,2.8,0,0,0,0
Pat Freiermuth,PIT,TE,00-0036894,active,,,0.125,0,0.8341,4,5.3672,,,,5.5692,,0.0344,0.5661,0.1529,,3.4623,0.125,0,0.085,0
Darnell Washington,PIT,TE,00-0038558,active,,,0.06,0,0.7692,4,6.6042,,,,5.5571,,0.0365,2.0667,0.3611,,3.6667,0.06,0,0.175,0
Lake McRee,PIT,TE,00-0041263,practice_squad,,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Riley Nowakowski,PIT,TE,00-0041398,active,,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Robert Tonyan,PIT,TE,00-0033757,active,,,0,0,1,4,0,,,,1,,0,-6.084,0,,4.02,0,0,0,0
Totals,,,,,,,0.975,0.955,,,,,,,,,,,,,,0.975,0.965,0.99,0.975
