player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Baker Mayfield,TB,QB,00-0034855,active,,,0,0.01,,,,1.1634,0.0588,0.035,,7.4749,,,,2.771,,0,0.02,0,0.04
Easton Stick,TB,QB,00-0035282,practice_squad,,new to team,0,0,,,,-4.8077,0.0697,0,,6.96,,,,2.832,,0,0,0,0
Jalon Daniels,TB,QB,00-0041251,active,,,0,0,,,,0,0.06,0.05,,8,,,,2.7,,0,0,0,0
Bucky Irving,TB,RB,00-0039361,active,,,0.075,0.6,0.8627,4.4519,11.6435,,,,-2.5336,,0.008,2.3949,0.4041,,3.2,0.085,0.565,0.03,0.515
Kenneth Gainwell,TB,RB,00-0036919,active,,,0.125,0.165,0.7979,4.1792,6.749,,,,-0.1393,,0.0046,-0.517,0.1918,,3.2,0.11,0.155,0.05,0.135
Sean Tucker,TB,RB,00-0038951,active,,,0.015,0.185,0.75,3.9471,8.4583,,,,0.2024,,0,0.7835,0.2639,,3.2,0.01,0.23,0.01,0.28
Josh Williams,TB,RB,00-0040429,practice_squad,,,0,0,0.75,2.75,6.5,,,,1,,0.04,0,0.15,,3.2,0,0,0,0
Emeka Egbuka,TB,WR,00-0040129,active,,,0.24,0.04,0.5829,3,5.3209,,,,12.6281,,0.2188,-0.1759,0.1359,,2.5675,0.24,0.03,0.285,0.03
Chris Godwin,TB,WR,00-0033921,active,,,0.185,0,0.7385,2,6.0353,,,,6.2207,,0.0484,1.387,0.2269,,3.0354,0.185,0,0.235,0
Jalen McMillan,TB,WR,00-0039855,active,,,0.115,0,0.6673,8.8,3.6876,,,,11.7028,,0.1682,-0.7539,0.0527,,3.3561,0.115,0,0.125,0
Tez Johnson,TB,WR,00-0040237,active,,,0.09,0,0.5996,4,3.5347,,,,12.6274,,0.2056,-1.5656,0.0417,,3.3395,0.09,0,0.1,0
David Sills,TB,WR,00-0035359,ir,8,,0,0,0.4319,4,3.2917,,,,11.2583,,0.2111,-1.1568,0.0833,,2.5467,0,0,0,0
Dean Patterson,TB,WR,00-0041435,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Eric Rivers,TB,WR,00-0041257,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Garrett Greene,TB,WR,00-0040419,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Kameron Johnson,TB,WR,00-0039589,active,,,0,0,0.2,6,5,,,,11.6,,0.05,0.3693,0.25,,2.8,0,0,0,0
Ted Hurst,TB,WR,00-0041048,active,,,0.04,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.04,0,0.03,0
Cade Otton,TB,TE,00-0038129,active,,,0.115,0,0.6683,-4,5.4058,,,,5.41,,0.042,0.6266,0.2382,,3.2686,0.125,0,0.135,0
Bauer Sharp,TB,TE,00-0041094,active,,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
CJ Dippre,TB,TE,,practice_squad,,new to team,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Ko Kieft,TB,TE,00-0037311,active,,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Payne Durham,TB,TE,00-0039050,active,,,0,0,0.5979,4,4.1333,,,,7.7275,,0.1111,-0.0517,0.25,,4.6726,0,0,0,0
Totals,,,,,,,1,1,,,,,,,,,,,,,,1,1,1,1
