player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Bryce Young,CAR,QB,00-0039150,active,,,0,0.06,,,,1.451,0.0555,0.035,,7.0487,,,,2.8202,,0,0.13,0,0.1
Kenny Pickett,CAR,QB,00-0038102,active,,,0,0.03,,,,-11.8562,0.1138,0,,6.5732,,,,2.8535,,0,0.03,0,0.03
Haynes King,CAR,QB,00-0041149,active,,,0,0,,,,0,0.06,0.05,,8,,,,2.7,,0,0,0,0
Chuba Hubbard,CAR,RB,00-0036555,active,,,0.09,0.415,0.7728,4.2472,7.7107,,,,-0.9636,,0,-0.5366,0.1847,,3.2,0.078235,0.383929,0.059091,0.388736
Jonathon Brooks,CAR,RB,00-0039344,active,,,0.115,0.415,0.8123,4.089,9.512,,,,-0.8146,,0,1.953,0.216,,3.2,0.100588,0.37369,0.059091,0.347816
AJ Dillon,CAR,RB,00-0036265,active,,,0.01,0.1,0.7942,4.6667,2.25,,,,3.75,,0,-1.1988,0,,3.2,0.011176,0.102381,0.011818,0.153448
Trevor Etienne,CAR,RB,00-0040644,ir,8,OUT wk1 (ir),0,0,0.8255,4.3135,3.6667,,,,0.6667,,0,-2.6919,0,,3.2,0,0,0,0
Anthony Tyus,CAR,RB,00-0040394,practice_squad,,,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0,0,0,0
Tetairoa McMillan,CAR,WR,00-0040124,active,,,0.26,0,0.6047,4,4.303,,,,12.1777,,0.2072,-0.1626,0.1917,,2.5979,0.28,0,0.3,0
Jalen Coker,CAR,WR,00-0039491,active,,,0.165,0,0.6758,4,4.2375,,,,11.1764,,0.1205,-0.4293,0.1208,,2.6483,0.165,0,0.16,0
Xavier Legette,CAR,WR,00-0039342,active,,,0.11,0.01,0.5901,3.1667,2.5571,,,,11.0652,,0.196,-2.4158,0.1121,,2.4816,0.13,0.01,0.12,0.01
John Metchie,CAR,WR,00-0037614,active,,,0.05,0,0.734,-1.6667,3.2952,,,,6.3525,,0.0455,-1.9482,0.069,,3.1353,0.05,0,0.05,0
Jimmy Horn,CAR,WR,00-0040218,active,,,0.03,0,0.7407,9.9167,6.625,,,,5.9259,,0.1111,-0.7557,0.125,,2.8,0.035,0,0.035,0
Brycen Tremayne,CAR,WR,00-0038840,active,,,0,0,0.8167,4,3.1875,,,,7.1,,0.0222,-1.5547,0.1042,,1.8529,0,0,0,0
Casey Washington,CAR,WR,00-0039394,practice_squad,,new to team,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Chris Brazzell,CAR,WR,00-0041047,ir,8,OUT wk1 (ir),0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
David Moore,CAR,WR,00-0033589,practice_squad,,,0,0,0.5904,6,1.8405,,,,10.4363,,0.0885,-1.9835,0.0357,,2.3198,0,0,0,0
Ja'Seem Reed,CAR,WR,00-0040265,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Ja'Tavion Sanders,CAR,TE,00-0039356,active,,,0.05,0,0.7753,4,3.8772,,,,5.8521,,0.0654,-1.4135,0.0682,,4.4981,0.045,0,0.06,0
Tommy Tremble,CAR,TE,00-0037005,active,,,0.05,0,0.7433,3.667,6.0653,,,,4.4,,0.02,1.3001,0.1826,,2.8189,0.045,0,0.06,0
Darren Waller,CAR,TE,00-0031610,active,,new to team,0.065,0,0.6434,4,3.747,,,,10,,0.1589,-0.8335,0.1465,,2.694,0.06,0,0.085,0
Feleipe Franks,CAR,TE,00-0036825,active,,,0,0,0.3333,2,0,,,,16.3333,,0.3333,-4.553,0,,3,0,0,0,0
Mitchell Evans,CAR,TE,00-0040187,active,,,0,0,0.7244,1,5.4091,,,,4.7949,,0,-0.1283,0.1212,,3,0,0,0,0
Totals,,,,,,,1,1.03,,,,,,,,,,,,,,0.999999,1.03,1,1.03
