player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Deshaun Watson,CLE,QB,00-0033537,active,,,0,0.055,,,,-3.1554,0.1141,0.06,,7.0907,,,,2.968,,0,0.055,0,0.055
Shedeur Sanders,CLE,QB,00-0040668,active,,,0,0.055,,,,-6.5503,0.0885,0.06,,7.3066,,,,3.2153,,0,0.055,0,0.055
Dillon Gabriel,CLE,QB,00-0040704,ir,8,OUT wk1 (ir),0,0,,,,-7.5071,0.0986,0.06,,5.859,,,,2.7488,,0,0,0,0
Taylen Green,CLE,QB,00-0041092,active,,,0,0,,,,0,0.06,0.05,,8,,,,2.7,,0,0,0,0
Quinshon Judkins,CLE,RB,00-0040784,active,,,0.08,0.62,0.6319,3.4664,11.09,,,,-0.375,,0,3.4265,0.3033,,3.2,0.08,0.62,0.05,0.585
Dylan Sampson,CLE,RB,00-0040162,active,,,0.105,0.125,0.7308,2.6849,9.8144,,,,-1.2147,,0,1.5308,0.225,,3.2,0.105,0.125,0.01,0.13
Raheim Sanders,CLE,RB,00-0040466,active,,,0.04,0.17,0.8333,3.1608,4.6667,,,,2.5,,0,-1.1692,0,,3.2,0.04,0.17,0.01,0.19
Jaleel McLaughlin,CLE,RB,,practice_squad,,new to team,0,0,0.8356,4.758,8.279,,,,-3.836,,0,-1.3117,0.1475,,3.2,0,0,0,0
Michael Burton,CLE,RB,00-0031595,active,,,0,0,1,1.5,3.7917,,,,2.75,,0,-1.9605,0.1667,,3.2,0,0,0,0
Jerry Jeudy,CLE,WR,00-0036407,active,,,0.175,0,0.523,5,3.9577,,,,12.2845,,0.1645,-0.5653,0.1286,,2.5339,0.155,0,0.175,0
KC Concepcion,CLE,WR,00-0041547,active,,,0.17,0,0.5843,4.2,2.954,,,,11.262,,0.2287,-0.2447,0.1645,,2.6,0.19,0,0.185,0
Isaiah Bond,CLE,WR,00-0040782,active,,,0.055,0.02,0.4656,5.8,3.4697,,,,17.8449,,0.408,-3.0207,0.1364,,2.4386,0.055,0.02,0.055,0
Bryce Oliver,CLE,WR,,practice_squad,,new to team,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Denzel Boston,CLE,WR,00-0041037,active,,,0.08,0,0.6091,4.2,4.2,,,,13.887,,0.3195,-1.229,0.1491,,2.8,0.08,0,0.12,0
Jamari Thrash,CLE,WR,00-0039379,ir,8,OUT wk1 (ir),0,0,0.5357,4,4.5,,,,7.4762,,0.0952,0.3524,0.3889,,2.8,0,0,0,0
Kole Wilson,CLE,WR,00-0041287,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Malachi Corley,CLE,WR,00-0039920,active,,,0,0,0.75,10.5,4.75,,,,2.2292,,0.0417,-1.7535,0.1,,2.8,0,0,0,0
Tylan Wallace,CLE,WR,00-0036630,active,,,0.035,0,0.6786,4,7.1,,,,9.4167,,0.1429,2.3173,0.1833,,2.8,0.035,0,0.035,0
Harold Fannin,CLE,TE,00-0040663,active,,,0.235,0.01,0.6975,1.8571,4.6568,,,,5.9992,,0.0813,-0.5267,0.2411,,2.9834,0.235,0.01,0.315,0.04
Blake Whiteheart,CLE,TE,00-0038710,active,,,0.025,0,0.4615,4.2,1.3889,,,,9.0769,,0.2308,-4.1607,0,,3,0.025,0,0.045,0
Carsen Ryan,CLE,TE,00-0041131,active,,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Joe Royer,CLE,TE,00-0041087,nfi,9,OUT wk1 (nfi),0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Messiah Swinson,CLE,TE,,practice_squad,,new to team,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Totals,,,,,,,1,1.055,,,,,,,,,,,,,,1,1.055,1,1.06
