player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Matthew Stafford,LA,QB,00-0026498,active,,,0,0.01,,,,1.5265,0.0398,0.02,,8.2189,,,,2.7846,,0,0.01,0,0.01
Matthew Caldwell,LA,QB,00-0041414,ir,8,OUT wk1 (ir),0,0,,,,0,0.06,0.05,,8,,,,2.7,,0,0,0,0
Stetson Bennett,LA,QB,00-0039107,active,,,0,0,,,,0,0.06,0.05,,8,,,,2.7,,0,0,0,0
Ty Simpson,LA,QB,00-0041568,active,,,0,0,,,,0,0.06,0.05,,8,,,,2.7,,0,0,0,0
Kyren Williams,LA,RB,00-0037840,active,,,0.085,0.525,0.8045,4.5889,5.3333,,,,1.2404,,0.0172,-0.6655,0.1173,,3.2,0.075,0.565,0.025,0.595
Blake Corum,LA,RB,00-0039738,active,,,0.045,0.41,0.7976,4.4451,7.0769,,,,0.7798,,0,-0.1963,0.2692,,3.2,0.03,0.375,0.015,0.355
Ronnie Rivers,LA,RB,00-0037557,active,,,0.01,0.04,0.9,5.1597,9.875,,,,-5.4,,0,-0.6934,0.25,,3.2,0.01,0.04,0.01,0.04
Dean Connors,LA,RB,00-0041415,practice_squad,,,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0,0,0,0
Jordan Waters,LA,RB,00-0040601,practice_squad,,,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0,0,0,0
Puka Nacua,LA,WR,00-0039075,active,,,0.29,0.015,0.7574,8.7667,5.9697,,,,8.9133,,0.1223,0.8481,0.2432,,3.0325,0.29,0.01,0.19,0
Davante Adams,LA,WR,00-0031381,active,,,0.23,0,0.5795,-0.333,3.5057,,,,10.2822,,0.1575,-0.1462,0.1463,,2.741,0.23,0,0.41,0
Jordan Whittington,LA,WR,00-0039751,active,,,0.06,0,0.7657,4.8333,6.8705,,,,5.8116,,0.1167,0.7952,0.2574,,4.2807,0.06,0,0.06,0
Xavier Smith,LA,WR,00-0038359,active,,,0.045,0,0.8182,9,4.5152,,,,14.4697,,0.303,-1.4442,0.1894,,4.5239,0.035,0,0.03,0
Konata Mumpfield,LA,WR,00-0040590,active,,,0.03,0,0.475,4,2.3889,,,,12.2472,,0.1472,-1.1383,0.0556,,1.6017,0.025,0,0.025,0
Alex Bachman,LA,WR,00-0035602,practice_squad,,new to team,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Brennan Presley,LA,WR,00-0040597,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
CJ Daniels,LA,WR,00-0041399,active,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Tutu Atwell,LA,WR,00-0036849,active,,new to team,0,0,0.5879,4.235,3.542,,,,13.624,,0.2363,-1.1796,0.1321,,2.933,0,0,0,0
Terrance Ferguson,LA,TE,00-0040737,active,,,0.08,0,0.4,0,3.7857,,,,17.425,,0.4417,-0.5484,0.2143,,1.414,0.07,0,0.045,0
Tyler Higbee,LA,TE,00-0033110,active,,,0.045,0,0.6554,4,7.0303,,,,0.2054,,0.0486,1.8375,0.2939,,3.2241,0.055,0,0.045,0
Colby Parkinson,LA,TE,00-0036244,active,,,0.04,0,0.7156,4,6.0213,,,,4.5912,,0.024,0.9231,0.2462,,3.5391,0.07,0,0.09,0
Dan Villari,LA,TE,00-0041422,practice_squad,,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Davis Allen,LA,TE,00-0039074,active,,,0.04,0,0.6103,4,4.7979,,,,4.0857,,0.0238,0.7753,0.125,,4.4614,0.05,0,0.055,0
Max Klare,LA,TE,00-0041510,active,,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Totals,,,,,,,1,1,,,,,,,,,,,,,,1,1,1,1
