player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Fernando Mendoza,LV,QB,00-0041562,active,,,0.0,0.05,,,,0,0.072,0.05,,8,,,,2.8172,,0.0,0.05,0.0,0.05
Kirk Cousins,LV,QB,00-0029604,active,,,0.0,0.01,,,,-1.2396,0.0488,0,,7.0759,,,,2.7297,,0.0,0.01,0.0,0.01
Aidan O'Connell,LV,QB,00-0038579,active,,,0.0,0.0,,,,-4.5705,0.0378,0,,8.276,,,,2.8932,,0.0,0.0,0.0,0.0
Ashton Jeanty,LV,RB,00-0040122,active,,,0.153286,0.743315,0.7707,3.8431,9.0385,,,,-0.5561,,0.0312,0.3406,0.2214,,3.2,0.14371,0.763617,0.109091,0.835851
Chris Collier,LV,RB,00-0039244,ir,8,OUT wk1 (ir),0.0,0.0,0.5,2.5,1,,,,-2.5,,0,-9.6348,0,,3.2,0.0,0.0,0.0,0.0
Dare Ogunbowale,LV,RB,00-0033854,practice_squad,,new to team,0.0,0.0,0.6804,3.236,7.076,,,,1.258,,0.0103,0.4873,0.2462,,3.2,0.0,0.0,0.0,0.0
Dylan Laube,LV,RB,00-0039407,active,,,0.0,0.0,0.6667,1.0417,7,,,,-1.5,,0,-2.0477,0.25,,3.2,0.0,0.0,0.0,0.0
Mike Washington,LV,RB,00-0040878,active,,,0.031714,0.226685,0.75,4.561,6.5,,,,-0.6118,,0.02,0.1594,0.1279,,3.2,0.02129,0.206383,0.010909,0.134149
Roman Hemby,LV,RB,00-0040998,practice_squad,,,0.0,0.0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0
Jalen Nailor,LV,WR,00-0037291,active,,,0.137222,0.0,0.5484,1.8,3.5987,,,,12.0729,,0.2135,0.2708,0.1423,,3.117,0.137558,0.0,0.138125,0.0
Tre Tucker,LV,WR,00-0038563,active,,,0.19,0.01,0.6252,5.0625,4.6826,,,,11.4145,,0.2338,-0.6882,0.1574,,3.2304,0.190465,0.01,0.19125,0.01
Dont'e Thornton,LV,WR,00-0040581,ir,8,OUT wk1 (ir),0.0,0.0,0.2955,4,4.7143,,,,16.8106,,0.3712,-0.4519,0.2857,,2.8,0.0,0.0,0.0,0.0
Jack Bech,LV,WR,00-0040729,active,,,0.052778,0.0,0.6333,4,5.0556,,,,7.5194,,0.0722,1.0545,0.2778,,2.7631,0.047616,0.0,0.026563,0.0
Dareke Young,LV,WR,00-0037093,active,,,0.031667,0.0,0.5,4.2,0,,,,16.5,,0.25,-6.1414,0,,2.8,0.031744,0.0,0.026563,0.0
Chase Roberts,LV,WR,00-0041004,ir,8,OUT wk1 (ir),0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0
Cody White,LV,WR,,practice_squad,,new to team,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0
Corey Rucker,LV,WR,00-0041005,ir,8,OUT wk1 (ir),0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0
Deven Thompkins,LV,WR,00-0037487,practice_squad,,new to team,0.0,0.0,0.6818,7.429,5.4,,,,5.364,,0.1364,-2.1873,0.1034,,2.531,0.0,0.0,0.0,0.0
Justin Shorter,LV,WR,00-0038590,ir,8,OUT wk1 (ir),0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0
Malik Benson,LV,WR,00-0040894,active,,,0.063333,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.047616,0.0,0.0425,0.0
Brock Bowers,LV,TE,00-0039338,active,,,0.28,0.01,0.7309,2.1429,5.5673,,,,6.3358,,0.073,0.9504,0.2155,,3.214,0.3,0.01,0.34,0.01
Michael Mayer,LV,TE,00-0039066,active,,,0.06,0.0,0.6342,4,4.4034,,,,5.6092,,0.0521,-0.344,0.1671,,3.3168,0.08,0.0,0.115,0.0
Albert Okwuegbunam,LV,TE,00-0036423,practice_squad,,,0.0,0.0,0.8333,4,6.8,,,,3,,0,0.1783,0.2,,3.8692,0.0,0.0,0.0,0.0
Carter Runyon,LV,TE,00-0040488,ir,8,OUT wk1 (ir),0.0,0.0,1,4.2,6,,,,-3,,0,-3.942,0,,3,0.0,0.0,0.0,0.0
Chris Myarick,LV,TE,00-0035345,practice_squad,,new to team,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0
Connor Heyward,LV,TE,00-0037304,active,,,0.0,0.0,0.7778,3.0208,1.1875,,,,6,,0.0278,-1.2043,0,,2.604,0.0,0.0,0.0,0.0
Ian Thomas,LV,TE,00-0034365,active,,,0.0,0.0,0.9,4,4.3519,,,,3.8667,,0,-1.6497,0.0278,,4.621,0.0,0.0,0.0,0.0
Totals,,,,,,,1.0,1.05,,,,,,,,,,,,,,0.999999,1.05,1.000001,1.05
