player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
JJ McCarthy,MIN,QB,00-0039923,active,,,0,0.02,,,,-4.7968,0.0905,0,,8.3701,,,,3.022,,0,0.02,0,0.02
Kyler Murray,MIN,QB,00-0035228,active,,,0,0.02,,,,1.837,0.0548,0.045,,6.6208,,,,2.783,,0,0.02,0,0.02
Carson Wentz,MIN,QB,00-0032950,active,,,0,0,,,,4.5924,0.0903,0,,6.7528,,,,2.6354,,0,0,0,0
Max Brosmer,MIN,QB,00-0040494,practice_squad,,,0,0,,,,-5.3923,0.0994,0,,3.1465,,,,2.915,,0,0,0,0
Aaron Jones,MIN,RB,00-0033293,active,,,0.11,0.415,0.7655,4.3216,7.8136,,,,0.6862,,0.0747,0.1135,0.2531,,3.2,0.11,0.415,0.085,0.435
Jordan Mason,MIN,RB,00-0037525,active,,,0.05,0.44,0.8873,4.8468,5.9608,,,,-0.0637,,0,-1.4694,0.0784,,3.2,0.05,0.44,0.01,0.46
DeeJay Dallas,MIN,RB,,practice_squad,,new to team,0,0,0.8545,4.615,6.106,,,,0.436,,0.0364,-1.2328,0.087,,3.2,0,0,0,0
Demond Claiborne,MIN,RB,00-0041104,active,,,0.02,0.09,0.75,4.799,6.5,,,,1,,0.04,0,0.15,,3.2,0.02,0.08,0.01,0.05
Jermar Jefferson,MIN,RB,00-0036670,ir,8,OUT wk1 (ir); new to team,0,0,0.8333,4.571,6.2,,,,0.167,,0,0,0.15,,3.2,0,0,0,0
Max Bredeson,MIN,RB,00-0041081,active,,,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0,0,0,0
Justin Jefferson,MIN,WR,00-0036322,active,,,0.285,0.015,0.6568,3.3333,5.4951,,,,10.4172,,0.1363,-0.089,0.1928,,3.1286,0.285,0.015,0.275,0.015
Jordan Addison,MIN,WR,00-0038994,active,,,0.22,0.02,0.5663,20.2,3.0291,,,,13.6946,,0.273,-1.8302,0.091,,2.9948,0.22,0.02,0.19,0.02
Jauan Jennings,MIN,WR,00-0036259,active,,,0.125,0,0.6173,-1,3.542,,,,10.2124,,0.1224,-0.5736,0.1945,,2.3944,0.125,0,0.25,0
Dontae Fleming,MIN,WR,00-0040498,ir,8,OUT wk1 (ir),0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Tai Felton,MIN,WR,00-0040154,active,,,0.025,0,1,4.2,4.6667,,,,3.6667,,0,-0.7066,0.3333,,2.8,0.025,0,0.025,0
Dillon Bell,MIN,WR,00-0041342,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Jeshaun Jones,MIN,WR,00-0039710,suspended,7,OUT wk1 (suspended),0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Michael Briscoe,MIN,WR,00-0040970,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Myles Price,MIN,WR,00-0040506,active,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Trayvon Rudolph,MIN,WR,00-0041475,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
TJ Hockenson,MIN,TE,00-0035229,active,,,0.145,0,0.7306,0,3.6574,,,,6.1048,,0.033,-1.0076,0.1504,,3.4814,0.145,0,0.11,0
Josh Oliver,MIN,TE,00-0035249,active,,,0.02,0,0.7464,4,6.4442,,,,5.5275,,0.0797,2.2047,0.3117,,3.7198,0.02,0,0.045,0
Ben Yurosek,MIN,TE,00-0040509,active,,,0,0,0.75,4.2,4.5,,,,4,,0,-1.127,0,,3,0,0,0,0
Bryson Nesbit,MIN,TE,00-0040504,ir,8,OUT wk1 (ir),0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Cam Grandy,MIN,TE,,practice_squad,,new to team,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Gavin Bartholomew,MIN,TE,00-0040215,active,,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Totals,,,,,,,1,1.02,,,,,,,,,,,,,,1,1.01,1,1.02
