player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Tyler Shough,NO,QB,00-0040743,active,,,0.0,0.02,,,,-2.7485,0.0721,0.025,,9.1849,,,,2.6869,,0.0,0.02,0.0,0.02
Spencer Rattler,NO,QB,00-0039376,active,,,0.0,0.0,,,,-2.9538,0.0651,0,,7.7901,,,,2.7494,,0.0,0.0,0.0,0.0
Zach Wilson,NO,QB,00-0037013,active,,,0.0,0.0,,,,-13.73,0,0,,1.1667,,,,2.987,,0.0,0.0,0.0,0.0
Travis Etienne,NO,RB,00-0036973,active,,,0.085,0.605,0.6935,3.9965,9.196,,,,-0.9656,,0.013,1.384,0.3115,,3.2,0.08,0.515,0.03,0.485
Alvin Kamara,NO,RB,00-0033906,active,,,0.1,0.22,0.8195,3.719,8.3188,,,,1.1087,,0.056,0.4951,0.1933,,3.2,0.095,0.33,0.07,0.36
Audric Estimé,NO,RB,00-0039373,active,,,0.03,0.135,0.9643,4.4463,8.7333,,,,-1.1,,0,0.3104,0.3333,,3.2,0.02,0.135,0.01,0.135
CJ Donaldson,NO,RB,00-0041326,practice_squad,,,0.0,0.0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0
Devin Neal,NO,RB,00-0040202,ir,8,OUT wk1 (ir),0.0,0.0,0.9592,3.5349,7.4476,,,,-1.415,,0,-0.8099,0.2,,3.2,0.0,0.0,0.0,0.0
Kendre Miller,NO,RB,00-0038551,active,,,0.0,0.0,0.7407,4.0316,7.7143,,,,-0.2037,,0,-0.1579,0.1429,,3.2,0.0,0.0,0.0,0.0
Ty Chandler,NO,RB,00-0037276,ir,8,OUT wk1 (ir),0.0,0.0,0.9375,2.885,9.0833,,,,-2.875,,0,0.1831,0.0833,,3.2,0.0,0.0,0.0,0.0
Zamir White,NO,RB,00-0038040,practice_squad,,new to team,0.0,0.0,0.7576,3.717,6.72,,,,-0.727,,0,-0.8062,0.16,,3.2,0.0,0.0,0.0,0.0
Chris Olave,NO,WR,00-0037239,active,,,0.355109,0.01,0.6986,2,2.9365,,,,11.1324,,0.1854,-1.7572,0.1007,,2.9904,0.343778,0.0,0.310103,0.0
Jordyn Tyson,NO,WR,00-0041029,ir,8,OUT wk1 (ir),0.0,0.0,0.5883,4.2,2.7461,,,,11.2548,,0.1749,-0.3389,0.1864,,2.6,0.0,0.0,0.0,0.0
Devaughn Vele,NO,WR,00-0039424,active,,,0.138098,0.0,0.6743,4,2.5175,,,,9.1591,,0.0992,-1.6719,0.1071,,2.7559,0.138833,0.0,0.217732,0.0
Mason Tipton,NO,WR,00-0039623,pup,9,OUT wk1 (pup),0.0,0.0,0.5256,4.5,2.3561,,,,9.7981,,0.117,-2.1811,0.1439,,3.589,0.0,0.0,0.0,0.0
Barion Brown,NO,WR,00-0041099,active,,,0.026304,0.01,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.026444,0.0,0.026392,0.0
Brock Rechsteiner,NO,WR,00-0041451,suspended,7,OUT wk1 (suspended),0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0
Bryce Lance,NO,WR,00-0041067,active,,,0.085489,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.085944,0.0,0.085773,0.0
Cedric Tillman,NO,WR,,practice_squad,,new to team,0.0,0.0,0.5299,1.5,3.577,,,,11.235,,0.1418,-0.7781,0.1791,,2.469,0.0,0.0,0.0,0.0
Jalen Moreno-Cropper,NO,WR,00-0038740,practice_squad,,new to team,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0
Kevin Austin,NO,WR,00-0037231,practice_squad,,,0.0,0.0,0.5611,9,3.625,,,,10.7274,,0.1487,-0.7743,0.1667,,3.8943,0.0,0.0,0.0,0.0
Trey Palmer,NO,WR,00-0039052,practice_squad,,,0.0,0.0,0.4833,7.75,2.6905,,,,14.6583,,0.3333,-2.708,0.0714,,2.932,0.0,0.0,0.0,0.0
Juwan Johnson,NO,TE,00-0036040,active,,,0.135,0.0,0.7785,4,4.3797,,,,8.0784,,0.0816,-0.5514,0.1695,,3.4423,0.155,0.0,0.175,0.0
Noah Fant,NO,TE,00-0035644,active,,,0.045,0.0,0.7665,4,5.6019,,,,4.2697,,0.0309,0.4606,0.241,,4.7442,0.055,0.0,0.075,0.0
Moliki Matavao,NO,TE,00-0040244,ir,8,OUT wk1 (ir),0.0,0.0,1,4.2,2.5,,,,2.5,,0,-2.9397,0,,3,0.0,0.0,0.0,0.0
Oscar Delp,NO,TE,00-0041041,active,,,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0
Stone Smartt,NO,TE,,practice_squad,,new to team,0.0,0.0,0.7037,4,4.105,,,,8.093,,0.1296,-0.8567,0.1316,,3.499,0.0,0.0,0.0,0.0
Treyton Welch,NO,TE,00-0039518,practice_squad,,,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0
Totals,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.999999,1.0,1.0,1.0
