player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Jalen Hurts,PHI,QB,00-0036389,active,,,0,0.15,,,,4.9272,0.0699,0.055,,8.4434,,,,3.0432,,0,0.245,0,0.4
Andy Dalton,PHI,QB,00-0027973,active,,,0,0.01,,,,-5.0268,0.059,0,,7.7082,,,,2.5945,,0,0.01,0,0.01
Tanner McKee,PHI,QB,00-0038400,active,,,0,0.01,,,,12.8171,0.0274,0,,9.6234,,,,2.8178,,0,0.01,0,0.01
Cole Payton,PHI,QB,00-0040891,active,,,0,0,,,,0,0.06,0.05,,8,,,,2.7,,0,0,0,0
Saquon Barkley,PHI,RB,00-0034844,active,,,0.125,0.635,0.7094,5.0267,7.9203,,,,1.6825,,0.0793,0.4987,0.1648,,3.2,0.125,0.555,0.05,0.44
Tank Bigsby,PHI,RB,00-0038555,active,,,0.02,0.205,0.6282,5.2948,10.9444,,,,-0.9359,,0,2.7924,0.2222,,3.2,0.02,0.18,0.01,0.14
Carson Steele,PHI,RB,00-0039325,practice_squad,,,0,0,0.7222,2.8352,6.5,,,,-1.6667,,0,-1.9668,0,,3.2,0,0,0,0
Dameon Pierce,PHI,RB,00-0037258,practice_squad,,,0,0,0.5,4.0785,2.5,,,,-2,,0,-5.738,0,,3.2,0,0,0,0
Jaydon Blue,PHI,RB,,practice_squad,,new to team,0,0,1,3.395,10,,,,-5,,0,0,0.15,,3.2,0,0,0,0
Will Shipley,PHI,RB,00-0039746,active,,,0,0,0.7963,2.5396,6.4375,,,,0.0278,,0,-1.4779,0.0938,,3.2,0,0,0,0
DeVonta Smith,PHI,WR,00-0036912,active,,,0.255,0.01,0.7124,1,4.1057,,,,10.7961,,0.1653,-0.7131,0.1613,,2.8908,0.255,0,0.23,0
Dontayvion Wicks,PHI,WR,00-0038393,active,,,0.125,0,0.5813,6,3.3468,,,,10.5863,,0.1498,-0.711,0.1756,,2.5149,0.125,0,0.16,0
Makai Lemon,PHI,WR,00-0040867,active,,,0.15,0,0.6883,4.2,4.0027,,,,9.9166,,0.1162,0.4476,0.1334,,2.6,0.15,0,0.15,0
Elijah Moore,PHI,WR,00-0036980,active,,,0.065,0,0.6449,3.6667,3.3924,,,,8.7481,,0.1445,-1.7297,0.1024,,3.1198,0.065,0,0.04,0
Marquise Brown,PHI,WR,00-0035662,active,,,0.05,0,0.6623,7.25,4.0196,,,,11.6644,,0.185,-1.4878,0.2059,,3.1161,0.05,0,0.04,0
Britain Covey,PHI,WR,00-0037132,practice_squad,,,0,0,0.625,4.2,9.3333,,,,0.4583,,0,1.5146,0.5,,3.8277,0,0,0,0
Danny Gray,PHI,WR,,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Darius Cooper,PHI,WR,00-0040024,active,,,0,0,0.92,4.2,2.7667,,,,8.42,,0.04,-1.7782,0,,1.3389,0,0,0,0
Johnny Wilson,PHI,WR,00-0039236,ir,8,OUT wk1 (ir),0,0,0.2333,4.2,3,,,,10.9333,,0.1111,0,0,,2.1508,0,0,0,0
Dallas Goedert,PHI,TE,00-0034351,active,,,0.145,0,0.7437,3.75,4.6618,,,,7.1031,,0.0578,0.4171,0.2073,,3.7037,0.145,0,0.22,0
Grant Calcaterra,PHI,TE,00-0037086,ir,8,OUT wk1 (ir),0,0,0.7222,4,3.9481,,,,8.231,,0.1429,-0.6866,0.2083,,5.457,0,0,0,0
Johnny Mundt,PHI,TE,00-0033246,active,,,0.01,0,0.5993,4,6.3289,,,,5.0187,,0.0625,0.5365,0.3421,,3.9357,0.01,0,0.02,0
EJ Jenkins,PHI,TE,00-0038498,active,,,0,0,0.5,4.2,3,,,,4.5,,0,1.24,0,,3,0,0,0,0
Eli Stowers,PHI,TE,00-0041483,active,,,0.055,0,0.6522,4.2,4.618,,,,7.781,,0.04671,0.3385,0.1215,,3,0.055,0,0.08,0
Totals,,,,,,,1,1.02,,,,,,,,,,,,,,1,1,1,1
