player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Brock Purdy,SF,QB,00-0037834,active,,,0,0.05,,,,3.6628,0.0547,0.08,,8.2456,,,,3.0259,,0,0.08,0,0.115
Kurtis Rourke,SF,QB,00-0040589,active,,,0,0,,,,0,0.06,0.05,,8,,,,2.7,,0,0,0,0
Mac Jones,SF,QB,00-0036972,active,,,0,0,,,,2.2838,0.0661,0,,7.1134,,,,2.7185,,0,0,0,0
Christian McCaffrey,SF,RB,00-0033280,active,,,0.165,0.73,0.8058,3.8976,7.344,,,,2.4374,,0.0144,1.5654,0.3018,,3.2,0.175,0.8,0.085,0.835
Isaac Guerendo,SF,RB,00-0039363,pup,9,OUT wk1 (pup),0,0,0.9583,3.5355,6.4306,,,,2.6667,,0.125,-0.7294,0.2639,,3.2,0,0,0,0
Jordan James,SF,RB,00-0040177,active,,,0,0.015,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0,0.015,0,0.015
Kyle Juszczyk,SF,RB,00-0029892,active,,,0.035,0.01,0.7952,3.2857,5.0062,,,,5.1173,,0.0714,0.5759,0.2778,,3.2,0.035,0.01,0.035,0.01
Kaelon Black,SF,RB,00-0041052,active,,,0.04,0.17,0.75,5.536,6.5,,,,1,,0.04,0,0.15,,3.2,0.015,0.08,0.015,0.025
Sincere McCormick,SF,RB,00-0037509,practice_squad,,,0,0,0.8889,4.569,4.8333,,,,0.6667,,0,-2.8694,0,,3.2,0,0,0,0
Mike Evans,SF,WR,00-0031408,active,,,0.235,0,0.6016,10,2.4001,,,,12.7287,,0.1963,-0.6991,0.1114,,2.2416,0.235,0,0.285,0
Jacob Cowing,SF,WR,00-0039365,active,,,0,0,0.5556,7,6.5,,,,16.6667,,0.4444,1.2704,0.5,,2.8,0,0,0,0
Christian Kirk,SF,WR,00-0034775,ir,8,OUT wk1 (ir),0,0,0.5224,5.75,3.8528,,,,9.9732,,0.1794,-1.4337,0.1465,,2.6793,0,0,0,0
Demarcus Robinson,SF,WR,00-0032775,active,,,0.085,0,0.4724,6,2.1528,,,,15.395,,0.3471,-1.2712,0.1111,,2.0895,0.085,0,0.075,0
De'Zhaun Stribling,SF,WR,00-0041035,active,,,0.135,0,0.62,4.2,3.8543,,,,8.6219,,0.09778,0.6257,0.1374,,2.8,0.15,0,0.135,0
Deebo Samuel,SF,WR,00-0035719,active,,,0.115,0.025,0.72,4.412,6.472,,,,5.323,,0.06,-0.1528,0.2029,,3.542,0.115,0.015,0.155,0
Jordan Watkins,SF,WR,00-0040172,active,,,0,0,0.75,4.2,0.5,,,,15.5,,0,-3.8657,0,,2.8,0,0,0,0
KhaDarel Hodge,SF,WR,00-0034854,practice_squad,,new to team,0,0,0.5319,0,5.58,,,,12.804,,0.2234,1.2455,0.2245,,3.53,0,0,0,0
Ricky Pearsall,SF,WR,00-0039916,ir,8,OUT wk1 (ir),0,0,0.599,10,2.526,,,,13.0053,,0.2696,-2.4907,0.0436,,2.2013,0,0,0,0
Wesley Grimes,SF,WR,00-0041359,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
Will Pauling,SF,WR,00-0041361,practice_squad,,,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0,0,0,0
George Kittle,SF,TE,00-0033288,active,,,0.165,0,0.8056,-3,5.3478,,,,7.8362,,0.0765,0.9701,0.1813,,3.6982,0.175,0,0.2,0
Jake Tonges,SF,TE,00-0037112,active,,,0.025,0,0.7598,4,3.6931,,,,5.2724,,0.0444,-0.4337,0.1111,,3.8382,0.015,0,0.015,0
Brayden Willis,SF,TE,00-0038643,active,,,0,0,0,4.2,4.5,,,,3.75,,0,0,0.15,,3,0,0,0,0
Khalil Dinkins,SF,TE,00-0041357,practice_squad,,,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0,0,0,0
Luke Farrell,SF,TE,00-0036887,active,,,0,0,0.7281,4,3.1562,,,,4,,0.0263,-1.8554,0.0625,,3.189,0,0,0,0
Totals,,,,,,,1,1,,,,,,,,,,,,,,1,1,1,1
