player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Jayden Daniels,WAS,QB,00-0039910,active,,,0.0,0.12,,,,2.1955,0.0768,0.08,,7.063,,,,2.7181,,0.0,0.2,0.0,0.16
Marcus Mariota,WAS,QB,00-0032268,active,,,0.0,0.1,,,,1.2765,0.0693,0,,9.9207,,,,2.7862,,0.0,0.1,0.0,0.1
Athan Kaliakmanis,WAS,QB,00-0041117,active,,,0.0,0.0,,,,0,0.06,0.05,,8,,,,2.7,,0.0,0.0,0.0,0.0
Sam Hartman,WAS,QB,00-0039677,practice_squad,,,0.0,0.0,,,,0,0.06,0.05,,8,,,,2.7,,0.0,0.0,0.0,0.0
Jacory Croskey-Merritt,WAS,RB,00-0040242,active,,,0.035769,0.512692,0.65,4.5783,7.5714,,,,-1.45,,0,-0.2968,0.1429,,3.2,0.016607,0.512692,0.011429,0.447632
Rachaad White,WAS,RB,00-0037256,active,,,0.119231,0.347308,0.9177,4.8953,9.2036,,,,-2.8381,,0.0052,0.3852,0.2722,,3.2,0.138393,0.347308,0.068571,0.392368
Jeremy McNichols,WAS,RB,00-0033955,ir,8,OUT wk1 (ir),0.0,0.0,0.7763,4.1622,7.2398,,,,-0.2018,,0.0263,-0.9169,0.2324,,3.2,0.0,0.0,0.0,0.0
Jerome Ford,WAS,RB,,ir,8,OUT wk1 (ir); uncertain: cut vs IR -- confirm the designation (Cam),0.0,0.0,0.8054,4.0334,7.2329,,,,-0.6889,,0.0109,-1.3259,0.2232,,3.2,0.0,0.0,0.0,0.0
Craig Reynolds,WAS,RB,00-0035567,practice_squad,,new to team,0.0,0.0,0.8571,4.253,11,,,,-0.179,,0,3.5334,0.4583,,3.2,0.0,0.0,0.0,0.0
Kaytron Allen,WAS,RB,00-0041096,active,,,0.0,0.0,0.75,5.607,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0
Robert Henry,WAS,RB,00-0041178,practice_squad,,,0.0,0.0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0
Terry McLaurin,WAS,WR,00-0035659,active,,,0.25,0.01,0.6849,1,3.1908,,,,13.6949,,0.2273,-0.494,0.1096,,2.7475,0.25,0.01,0.28,0.0
Jaylin Lane,WAS,WR,00-0040164,active,,,0.045,0.0,0.5013,7,2.5152,,,,15.6821,,0.3205,-3.4968,0.1212,,3.2152,0.045,0.0,0.045,0.0
Dyami Brown,WAS,WR,00-0036626,active,,,0.06,0.0,0.6824,6.625,5.4703,,,,10.711,,0.2144,-1.0695,0.1812,,3.5546,0.06,0.0,0.06,0.0
Luke McCaffrey,WAS,WR,00-0039355,active,,,0.09,0.0,0.7412,4,5.3725,,,,10.0088,,0.1316,-0.2549,0.1569,,2.8,0.09,0.0,0.065,0.0
Treylon Burks,WAS,WR,00-0037742,active,,,0.055,0.0,0.4987,0.5,2.2333,,,,15.4372,,0.2205,-1.4713,0,,2.085,0.055,0.0,0.095,0.0
Antonio Williams,WAS,WR,00-0041040,active,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0
Jacoby Jones,WAS,WR,00-0040317,ir,8,OUT wk1 (ir),0.0,0.0,1,4.2,22,,,,3,,0,17.068,1,,2.8,0.0,0.0,0.0,0.0
Jaden Bradley,WAS,WR,00-0041176,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0
Stefon Diggs,WAS,WR,00-0031588,active,,,0.2,0.0,0.8115,4,4.02,,,,8.197,,0.123,-0.4819,0.1649,,3.021,0.2,0.0,0.185,0.0
Chig Okonkwo,WAS,TE,00-0037809,active,,,0.115,0.01,0.7417,17,6.6615,,,,5.357,,0.061,0.9423,0.2266,,3.7863,0.115,0.01,0.135,0.0
John Bates,WAS,TE,00-0036628,active,,,0.03,0.0,0.6667,4,6.1667,,,,4.9825,,0.0526,1.465,0.2333,,5.382,0.03,0.0,0.055,0.0
Ben Sinnott,WAS,TE,00-0039912,active,,,0.0,0.0,0.9375,4.2,5.7917,,,,5.5625,,0.1458,0.7359,0.25,,3,0.0,0.0,0.0,0.0
Colson Yankoff,WAS,TE,00-0039686,active,,,0.0,0.0,0.6667,4.2,2,,,,6,,0,-2.6357,0,,3,0.0,0.0,0.0,0.0
Jack Westover,WAS,TE,,practice_squad,,new to team,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0
Joshua Simon,WAS,TE,,practice_squad,,new to team,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0
Quentin Moore,WAS,TE,00-0041180,ir,8,OUT wk1 (ir),0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0
Totals,,,,,,,1.0,1.1,,,,,,,,,,,,,,1.0,1.18,1.0,1.1
