player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share,dfs_status,starter_override
Lamar Jackson,BAL,QB,00-0034796,active,,,0.0,0.181364,,,,4.5936,0.0649,0.075,,8.783,,,,3.0666,,0.0,0.206667,0.0,0.06375,active,
Tyler Huntley,BAL,QB,00-0035993,active,,,0.0,0.103636,,,,7.7384,0.0957,0,,7.3528,,,,2.6305,,0.0,0.103333,0.0,0.10625,active,
Skylar Thompson,BAL,QB,00-0037327,ir,8,OUT wk2 (ir),0.0,0.0,,,,1.5134,0.1175,0,,7.2556,,,,2.6854,,0.0,0.0,0.0,0.0,active,
Joe Fagnano,BAL,QB,00-0040981,active,,,0.0,0.0,,,,0,0.06,0.05,,8,,,,2.7,,0.0,0.0,0.0,0.0,active,
Derrick Henry,BAL,RB,00-0032764,active,,,0.05,0.63,0.7821,5.5461,11.7879,,,,-0.7628,,0,4.6466,0.447,,3.2,0.045,0.6,0.02,0.79,active,
Justice Hill,BAL,RB,00-0034975,active,,,0.1,0.11,0.8002,4.3971,9.6265,,,,-0.7432,,0.0207,1.2616,0.3068,,3.2,0.09,0.1,0.05,0.11,active,
Adam Randall,BAL,RB,00-0040888,ir,8,OUT wk2 (ir),0.0,0.0,0.75,4.988,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Jonathan Ward,BAL,RB,00-0035924,practice_squad,,new to team,0.0,0.0,0.7143,4.136,6,,,,2.429,,0,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Rasheen Ali,BAL,RB,00-0039796,active,,,0.0,0.02,0.7222,2.0357,9.7,,,,-0.8889,,0,1.317,0.3,,3.2,0.0,0.02,0.0,0.0,active,
Zay Flowers,BAL,WR,00-0039064,active,,OUT wk2 (dfs_inactive),0.0,0.0,0.6823,6.3438,6.3368,,,,9.554,,0.1836,0.8078,0.2596,,3.7549,0.0,0.0,0.0,0.0,out,
Rashod Bateman,BAL,WR,00-0036550,active,,,0.313261,0.01,0.5841,18,3.5897,,,,13.2832,,0.2127,-0.5029,0.1545,,3.5935,0.286458,0.06,0.214286,0.0,active,
Devontez Walker,BAL,WR,00-0039792,active,,,0.142391,0.01,0.7143,4.2,2.5,,,,25.9286,,0.7857,0,0.1,,2.8,0.130208,0.0,0.107143,0.0,active,
Chris Moore,BAL,WR,00-0032398,practice_squad,,new to team,0.0,0.0,0.6623,8.5,5.167,,,,11.052,,0.1948,-0.9067,0.14,,2.831,0.0,0.0,0.0,0.0,active,
Elijah Sarratt,BAL,WR,00-0040876,active,,,0.199348,0.01,0.6417,4.2,3.022,,,,8.652,,0.1622,-0.4887,0.09,,2.8,0.208333,0.0,0.278571,0.0,active,
Ja'Kobi Lane,BAL,WR,00-0040870,active,,OUT wk2 (dfs_inactive),0.0,0.0,0.6127,4.2,3.104,,,,10.1598,,0.2475,-0.1595,0.1276,,2.8,0.0,0.0,0.0,0.0,out,
LaJohntay Wester,BAL,WR,00-0040075,active,,,0.0,0.01,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Ty Pezza,BAL,WR,00-0040986,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Xavier Guillory,BAL,WR,00-0040099,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Mark Andrews,BAL,TE,00-0034753,active,,,0.155,0.025,0.7208,4.8667,2.9343,,,,8.8491,,0.067,-0.0283,0.0635,,3.1957,0.2,0.02,0.275,0.04,active,
Durham Smythe,BAL,TE,00-0034798,active,,,0.04,0.0,0.6667,1,2.3846,,,,5.1275,,0.0588,-2.318,0,,3.449,0.04,0.0,0.055,0.0,active,
Josh Cuevas,BAL,TE,00-0040887,active,,,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Matthew Hibner,BAL,TE,00-0040879,active,,,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Nick Vannett,BAL,TE,,practice_squad,,new to team,0.0,0.0,0.7333,4,7.091,,,,3.089,,0.0222,1.7917,0.3226,,2.811,0.0,0.0,0.0,0.0,active,
Totals,,,,,,,1.0,1.11,,,,,,,,,,,,,,0.999999,1.11,1.0,1.11,active,
