player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Josh Allen,BUF,QB,00-0034857,active,,,0.0,0.145,,,,2.335,0.0483,0.07,,7.7168,,,,2.8841,,0.0,0.22,0.0,0.385
Shane Buechele,BUF,QB,00-0036679,practice_squad,,,0.0,0.01,,,,-16.7719,0.2083,0,,9.8571,,,,2.7,,0.0,0.01,0.0,0.01
Kyle Allen,BUF,QB,00-0034577,active,,,0.0,0.01,,,,-18.1319,0,0,,9,,,,2.673,,0.0,0.01,0.0,0.01
James Cook,BUF,RB,00-0037248,active,,,0.055,0.575,0.8383,5.0789,8.9756,,,,1.0901,,0.0167,1.8377,0.3808,,3.2,0.045,0.53,0.03,0.43
Ray Davis,BUF,RB,00-0039875,active,,,0.02,0.14,0.8254,3.4832,9.6228,,,,-0.4365,,0.0159,2.0034,0.2895,,3.2,0.03,0.135,0.03,0.08
Ty Johnson,BUF,RB,00-0035537,active,,,0.07,0.105,0.6417,4.6851,10.3167,,,,3.4019,,0.0923,2.3544,0.2617,,3.2,0.07,0.105,0.03,0.095
Frank Gore,BUF,RB,00-0039471,practice_squad,,,0.0,0.0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0
DJ Moore,BUF,WR,00-0034827,active,,,0.238033,0.02,0.6408,6,4.8914,,,,9.746,,0.2017,-0.8331,0.2181,,3.5182,0.237797,0.01,0.206061,0.0
Khalil Shakir,BUF,WR,00-0037261,active,,,0.167705,0.015,0.7498,3,6.8502,,,,4.7081,,0.0743,0.8268,0.2523,,4.0204,0.149915,0.0,0.108182,0.0
Josh Palmer,BUF,WR,00-0036988,active,,,0.108197,0.0,0.6349,5.333,2.558,,,,12.6267,,0.1915,-2.2138,0.1494,,2.4035,0.082712,0.0,0.123636,0.0
Keon Coleman,BUF,WR,00-0039901,active,,,0.091967,0.0,0.5917,9,5.9375,,,,13.7224,,0.2601,1.7616,0.1906,,2.2379,0.10339,0.0,0.206061,0.0
Tyrell Shavers,BUF,WR,00-0038679,pup,9,OUT wk2 (pup),0.0,0.0,0.6879,4,12.3796,,,,10.9152,,0.1121,7.3912,0.4167,,4.4801,0.0,0.0,0.0,0.0
Greg Dortch,BUF,WR,,practice_squad,,new to team,0.0,0.0,0.7592,5.667,6.648,,,,4.963,,0.0628,0.5538,0.2411,,3.821,0.0,0.0,0.0,0.0
Ja'Mori Maclin,BUF,WR,00-0041272,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0
Skyler Bell,BUF,WR,00-0041443,active,,,0.054098,0.0,0.7048,4.2,6.335,,,,4.991,,0.0681,1.057,0.186,,3.706,0.036186,0.0,0.036061,0.0
Stephen Gosnell,BUF,WR,00-0040361,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0
Trent Sherfield,BUF,WR,00-0034487,practice_squad,,,0.0,0.0,0.8333,4,4.9091,,,,6,,0.0417,0.6545,0.2727,,2.518,0.0,0.0,0.0,0.0
Dalton Kincaid,BUF,TE,00-0038933,active,,,0.15,0.0,0.6548,4,6.6583,,,,8.663,,0.129,1.5518,0.3549,,3.5007,0.14,0.0,0.1,0.0
Dawson Knox,BUF,TE,00-0035689,active,,,0.045,0.0,0.7217,4,4.527,,,,8.8325,,0.1222,-0.2326,0.1149,,3.9689,0.105,0.0,0.13,0.0
Jackson Hawes,BUF,TE,00-0040194,active,,,0.0,0.0,0.8974,4.2,5.3846,,,,6.5,,0.1538,0,0.2308,,3,0.0,0.0,0.0,0.0
Keleki Latu,BUF,TE,00-0040363,active,,,0.0,0.0,1,4.2,3.8333,,,,3.3333,,0,-0.7471,0.1667,,3,0.0,0.0,0.0,0.0
Totals,,,,,,,1.0,1.02,,,,,,,,,,,,,,1.0,1.02,1.000001,1.01
