player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share,dfs_status,starter_override
Bo Nix,DEN,QB,00-0039732,active,,,0.0,0.05,,,,0.2544,0.0375,0.055,,7.2992,,,,2.884,,0.0,0.05,0.0,0.05,active,
Jarrett Stidham,DEN,QB,00-0035264,active,,,0.0,0.025,,,,-1.5768,0.0794,0,,8.389,,,,2.951,,0.0,0.025,0.0,0.025,active,
Sam Ehlinger,DEN,QB,00-0036879,active,,,0.0,0.0,,,,-3.4685,0.1085,0,,7.149,,,,3.008,,0.0,0.0,0.0,0.0,active,
JK Dobbins,DEN,RB,00-0036158,active,,,0.045,0.53,0.8661,5.0739,5.6894,,,,-1.6934,,0.0109,-2.7738,0.072,,3.2,0.045,0.4,0.02,0.38,active,
RJ Harvey,DEN,RB,00-0040730,active,,,0.11,0.25,0.7706,3.5231,6.925,,,,0.8598,,0.0118,0.5596,0.2385,,3.2,0.11,0.36,0.11,0.45,active,
Adam Prentice,DEN,RB,00-0036727,practice_squad,,,0.0,0.0,0.45,3.9375,7.7,,,,0.7,,0,2.0058,0.6,,3.2,0.0,0.0,0.0,0.0,active,
Cody Schrader,DEN,RB,00-0039703,practice_squad,,,0.0,0.0,1,3,6,,,,0,,0,-0.4375,0,,3.2,0.0,0.0,0.0,0.0,active,
Jonah Coleman,DEN,RB,00-0041496,active,,,0.03,0.155,0.8424,4.387,6.5,,,,-0.248,,0.02,0.6684,0.1492,,3.2,0.02,0.175,0.02,0.105,active,
Tyler Badie,DEN,RB,00-0037085,active,,,0.0,0.0,0.7289,5.1111,9.3452,,,,-2.38,,0.0111,0.1383,0.3095,,3.2,0.0,0.0,0.0,0.0,active,
Jaylen Waddle,DEN,WR,00-0036613,active,,,0.270937,0.003,0.6346,6.6667,3.8272,,,,11.5387,,0.1218,-0.7801,0.1706,,3.1144,0.222923,0.003,0.275407,0.003,active,
Courtland Sutton,DEN,WR,00-0034348,active,,,0.201875,0.003,0.5845,5,2.7146,,,,12.4965,,0.1723,-1.5216,0.0597,,2.3877,0.260077,0.003,0.233037,0.003,active,
Pat Bryant,DEN,WR,00-0040134,active,,,0.1275,0.003,0.6059,1,5.55,,,,8.2725,,0.0729,1.5101,0.2076,,2.515,0.127385,0.003,0.127111,0.003,active,
Troy Franklin,DEN,WR,00-0039868,active,,,0.079687,0.003,0.5732,3.6667,4.7546,,,,11.6732,,0.2565,-1.5122,0.1046,,3.2113,0.079615,0.003,0.079444,0.003,active,
Marvin Mims,DEN,WR,00-0038976,active,,OUT wk2 (dfs_inactive),0.0,0.0,0.7041,5.2778,9.0667,,,,8.3606,,0.2132,1.2673,0.183,,4.8804,0.0,0.0,0.0,0.0,out,
Dane Key,DEN,WR,00-0041293,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Kolbe Katsis,DEN,WR,00-0041292,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Lil'Jordan Humphrey,DEN,WR,00-0035406,active,,,0.0,0.003,0.5603,4,5.1042,,,,8.4329,,0.123,-0.2229,0.1198,,3.0493,0.0,0.003,0.0,0.003,active,
Michael Bandy,DEN,WR,00-0036959,practice_squad,,,0.0,0.0,1,4,8.1667,,,,6.1667,,0,4.4803,0.6667,,3.856,0.0,0.0,0.0,0.0,active,
Evan Engram,DEN,TE,00-0033881,active,,,0.1,0.0,0.6576,7,4.8184,,,,4.7858,,0.0463,-0.6669,0.1736,,4.3297,0.1,0.0,0.1,0.0,active,
Adam Trautman,DEN,TE,00-0036422,active,,,0.035,0.0,0.7465,4,6.3917,,,,4.5694,,0,1.8267,0.2917,,3.63,0.035,0.0,0.035,0.0,active,
Caleb Lohner,DEN,TE,00-0040240,ir,8,OUT wk2 (ir),0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Dallen Bentley,DEN,TE,00-0041133,active,,,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Lucas Krull,DEN,TE,00-0037539,practice_squad,,,0.0,0.0,0.7708,4,3.2121,,,,4.2778,,0.0208,-2.2949,0.0303,,3.592,0.0,0.0,0.0,0.0,active,
Nate Adkins,DEN,TE,00-0038783,active,,,0.0,0.0,0.7407,4,5.0119,,,,4.3889,,0.0556,-0.3458,0.3095,,3,0.0,0.0,0.0,0.0,active,
Totals,,,,,,,0.999999,1.025,,,,,,,,,,,,,,1.0,1.025,0.999999,1.025,active,
