player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share,dfs_status,starter_override
Anthony Richardson,IND,QB,00-0039164,active,,,0.0,0.15,,,,-8.6749,0.0387,0.075,,12.6186,,,,2.9606,,0.0,0.15,0.0,0.15,active,
Daniel Jones,IND,QB,00-0035710,active,,,0.0,0.01,,,,2.2458,0.0555,0.035,,7.7568,,,,2.7055,,0.0,0.06,0.0,0.085,active,
Riley Leonard,IND,QB,00-0040206,active,,,0.0,0.0,,,,0,0.0118,0,,13.8852,,,,2.8322,,0.0,0.0,0.0,0.0,active,
Jonathan Taylor,IND,RB,00-0036223,active,,,0.105,0.745,0.7636,4.7872,9.5414,,,,-0.4525,,0.0093,1.9268,0.2821,,3.2,0.085,0.75,0.04,0.73,active,
DJ Giddens,IND,RB,00-0040179,active,,,0.01,0.115,0,3.6417,4,,,,-3,,0,0,0.15,,3.2,0.01,0.075,0.01,0.055,active,
Anderson Castle,IND,RB,00-0041486,practice_squad,,,0.0,0.0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Davon Booth,IND,RB,,practice_squad,,new to team,0.0,0.0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Seth McGowan,IND,RB,00-0041125,active,,,0.01,0.115,0.75,4.836,6.5,,,,1,,0.04,0,0.15,,3.2,0.01,0.075,0.01,0.055,active,
Josh Downs,IND,WR,00-0038997,active,,,0.208095,0.0,0.6638,-1,4.187,,,,7.0196,,0.0887,-1.0036,0.1174,,2.9251,0.206931,0.0,0.174612,0.0,active,
Alec Pierce,IND,WR,00-0037664,active,,,0.213571,0.0,0.5741,4,3.422,,,,21.1724,,0.4003,-1.0126,0.0827,,2.3455,0.157921,0.0,0.137573,0.0,active,
Nick Westbrook-Ikhine,IND,WR,00-0036182,practice_squad,,,0.0,0.0,0.5423,4,3.4267,,,,8.7326,,0.067,-0.0292,0.0742,,2.5432,0.0,0.0,0.0,0.0,active,
Ashton Dulin,IND,WR,00-0035021,active,,OUT wk2 (dfs_inactive),0.0,0.0,0.4455,11.5,15.5833,,,,16.1727,,0.2636,10.1234,0.5,,2.0072,0.0,0.0,0.0,0.0,out,
Laquon Treadwell,IND,WR,00-0032951,active,,,0.016429,0.0,0.625,4,3.325,,,,10.953,,0.0938,-1.2973,0.125,,2.829,0.016337,0.0,0.015874,0.0,active,
Anthony Gould,IND,WR,00-0039816,practice_squad,,,0.0,0.0,1,4.2,4.3333,,,,5.3333,,0,-2.2923,0,,2.8,0.0,0.0,0.0,0.0,active,
Coleman Owen,IND,WR,00-0040352,ir,8,OUT wk2 (ir),0.0,0.0,0,4.2,4.2,,,,2,,0,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
DJ Montgomery,IND,WR,00-0035045,ir,8,OUT wk2 (ir); new to team,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Deion Burks,IND,WR,00-0041132,active,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Keenan Allen,IND,WR,00-0030279,active,,,0.136905,0.0,0.6087,4,3.091,,,,8.761,,0.1304,-1.2818,0.0822,,2.777,0.168812,0.0,0.216942,0.0,active,
Tyler Warren,IND,TE,00-0040128,active,,,0.23,0.015,0.6807,1.3,6.0854,,,,5.3422,,0.0208,0.918,0.2168,,3.2887,0.275,0.04,0.31,0.075,active,
Andrew Ogletree,IND,TE,00-0037292,active,,,0.035,0.0,0.6333,4,4.8182,,,,8.9,,0.1,0.4039,0.2273,,3,0.035,0.0,0.04,0.0,active,
Mo Alie-Cox,IND,TE,00-0033217,active,,,0.035,0.0,0.4891,4,6.3214,,,,8.2029,,0.087,1.8465,0.3214,,3.845,0.035,0.0,0.045,0.0,active,
Carson Towt,IND,TE,00-0040853,ir,8,OUT wk2 (ir),0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Pharaoh Brown,IND,TE,00-0033439,practice_squad,,new to team,0.0,0.0,0.6988,4,5.862,,,,5.181,,0.0241,0.0901,0.2241,,3.849,0.0,0.0,0.0,0.0,active,
Will Mallory,IND,TE,00-0038394,ir,8,OUT wk2 (ir),0.0,0.0,0.625,4,0.8,,,,10.8125,,0,-3.4692,0,,3.534,0.0,0.0,0.0,0.0,active,
Totals,,,,,,,1.0,1.15,,,,,,,,,,,,,,1.000001,1.15,1.000001,1.15,active,
