player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share,dfs_status,starter_override
Trey Lance,LAC,QB,00-0037012,active,,,0.0,0.08,,,,3.3811,0.0906,0,,7.4631,,,,2.5253,,0.0,0.08,0.0,0.08,active,
Justin Herbert,LAC,QB,00-0036355,active,,,0.0,0.01,,,,1.9431,0.0722,0.045,,8.1569,,,,2.9045,,0.0,0.01,0.0,0.01,active,
DJ Uiagalelei,LAC,QB,00-0040464,practice_squad,,,0.0,0.0,,,,0,0.06,0.05,,8,,,,2.7,,0.0,0.0,0.0,0.0,active,
Omarion Hampton,LAC,RB,00-0040666,active,,,0.085,0.56,0.873,4.4418,7.0546,,,,-1.196,,0,-0.8816,0.1324,,3.2,0.07,0.57,0.03,0.535,active,
Keaton Mitchell,LAC,RB,00-0038454,active,,,0.1,0.16,0.7917,5.3362,12.5714,,,,-2.6042,,0,3.4047,0.2857,,3.2,0.1,0.16,0.04,0.18,active,
Kimani Vidal,LAC,RB,00-0039391,active,,,0.03,0.22,0.6906,3.6539,12.2372,,,,1.0823,,0.0208,4.3934,0.4231,,3.2,0.01,0.22,0.01,0.255,active,
Alec Ingold,LAC,RB,00-0035125,active,,,0.01,0.02,0.7857,2.3889,6.9167,,,,2.2262,,0,0.4482,0.2778,,3.2,0.01,0.02,0.01,0.02,active,
Amar Johnson,LAC,RB,00-0040039,practice_squad,,,0.0,0.0,0,4,6.5,,,,-2,,0,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Gregory Desrosiers,LAC,RB,00-0041376,practice_squad,,,0.0,0.0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Scott Matlock,LAC,RB,00-0038614,ir,8,OUT wk2 (ir),0.0,0.0,0.875,4.2,4.3571,,,,0.875,,0,-1.3735,0.1429,,3.2,0.0,0.0,0.0,0.0,active,
Ladd McConkey,LAC,WR,00-0039915,active,,OUT wk2 (dfs_inactive),0.0,0.0,0.6789,4,5.1009,,,,10.1708,,0.1162,0.6372,0.1611,,3.2088,0.0,0.0,0.0,0.0,out,
Quentin Johnston,LAC,WR,00-0038544,active,,,0.2805,0.0,0.6149,2.6,4.9059,,,,10.8899,,0.2011,0.2098,0.1686,,2.7271,0.334688,0.0,0.384375,0.0,active,
Tre Harris,LAC,WR,00-0040727,active,,,0.1955,0.03,0.7156,5,4.9524,,,,7.7417,,0.1448,-0.7496,0.1488,,1.9394,0.167344,0.02,0.144141,0.0,active,
Derius Davis,LAC,WR,00-0038573,active,,,0.068,0.0,0.7917,2.7083,9,,,,4.4583,,0.1875,0.8356,0.2273,,2.8,0.055781,0.0,0.048047,0.0,active,
KeAndre Lambert-Smith,LAC,WR,00-0040184,active,,,0.051,0.0,0.4143,4.2,3.75,,,,19.3286,,0.3429,0,0.125,,2.3708,0.037187,0.0,0.038437,0.0,active,
Brenen Thompson,LAC,WR,00-0041550,active,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Dalevon Campbell,LAC,WR,00-0040629,ir,8,OUT wk2 (ir),0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Gary Jennings,LAC,WR,00-0035589,practice_squad,,new to team,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Sincere Brown,LAC,WR,00-0041374,ir,8,OUT wk2 (ir),0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Theo Wease,LAC,WR,,practice_squad,,new to team,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Oronde Gadsden,LAC,TE,00-0040189,active,,,0.09,0.0,0.7322,4,4.2089,,,,8.9411,,0.1315,-0.1361,0.1981,,3.2503,0.085,0.0,0.08,0.0,active,
David Njoku,LAC,TE,00-0033885,active,,,0.06,0.0,0.6851,-2.333,4.7175,,,,4.5876,,0.0412,0.5166,0.1867,,3.0333,0.09,0.0,0.16,0.0,active,
Charlie Kolar,LAC,TE,00-0038046,active,,,0.03,0.0,0.7454,2,6.7111,,,,6.0463,,0.0139,2.7291,0.2222,,2.147,0.04,0.0,0.055,0.0,active,
Evan Svoboda,LAC,TE,00-0041384,practice_squad,,,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Patrick Herbert,LAC,TE,,practice_squad,,new to team,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Totals,,,,,,,1.0,1.08,,,,,,,,,,,,,,1.0,1.08,1.0,1.08,active,
