player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share
Jaxson Dart,NYG,QB,00-0040691,active,,,0.0,0.14,,,,-0.558,0.0907,0.077,,8.0495,,,,2.8851,,0.0,0.18,0.0,0.18
Jake Haener,NYG,QB,00-0038998,practice_squad,,new to team,0.0,0.0,,,,0,0.06,0.05,,8,,,,2.7,,0.0,0.0,0.0,0.0
Jameis Winston,NYG,QB,00-0031503,active,,,0.0,0.0,,,,-3.3591,0.0539,0.015,,7.7418,,,,2.8352,,0.0,0.0,0.0,0.0
Cam Skattebo,NYG,RB,00-0040715,active,,,0.105,0.405,0.7842,3.5684,8.2292,,,,0.3609,,0,1.323,0.3125,,3.2,0.1,0.395,0.05,0.36
Tyrone Tracy,NYG,RB,00-0039384,active,,,0.04,0.11,0.7252,3.8582,7.1299,,,,0.366,,0.0167,-0.3482,0.2181,,3.2,0.04,0.1,0.02,0.08
Devin Singletary,NYG,RB,00-0035250,active,,,0.025,0.085,0.9076,3.5292,7.127,,,,-1.6818,,0.0455,-1.5245,0.131,,3.2,0.025,0.085,0.01,0.11
Patrick Ricard,NYG,RB,00-0033376,active,,,0.005,0.01,0.5714,3,5,,,,1.7143,,0,0.7671,0.25,,3.2,0.01,0.01,0.01,0.01
Grant Finley,NYG,RB,00-0041585,practice_squad,,new to team,0.0,0.0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0
Najee Harris,NYG,RB,00-0036893,active,,,0.035,0.23,0.7647,3.941,9.692,,,,-1.529,,0,1.4713,0.2821,,3.2,0.03,0.22,0.015,0.26
Malik Nabers,NYG,WR,00-0039337,active,,,0.285,0.015,0.614,0,3.9208,,,,10.5402,,0.1842,-0.7512,0.1108,,2.6973,0.3,0.01,0.325,0.0
Darnell Mooney,NYG,WR,00-0036309,active,,,0.1,0.0,0.5461,4.333,3.1689,,,,13.4207,,0.2231,-1.2594,0.1262,,3.1947,0.1,0.0,0.115,0.0
Darius Slayton,NYG,WR,00-0035535,active,,,0.085,0.005,0.5375,8.5,5.2969,,,,13.2239,,0.1797,1.2023,0.2836,,2.3638,0.07,0.0,0.05,0.0
Odell Beckham,NYG,WR,00-0031235,active,,,0.055,0.0,0.5,7,1.3667,,,,8.5312,,0.125,-3.2394,0,,2.698,0.06,0.0,0.12,0.0
Jalin Hyatt,NYG,WR,00-0038938,practice_squad,,,0.0,0.0,0.2567,4,0.5694,,,,24.6011,,0.5167,-3.4691,0,,1.6825,0.0,0.0,0.0,0.0
Braxton Berrios,NYG,WR,00-0034419,practice_squad,,,0.0,0.0,0.2667,8.353,4.2,,,,4.8067,,0,-2.9852,0.1,,3.1492,0.0,0.0,0.0,0.0
Calvin Austin,NYG,WR,00-0037837,ir,8,OUT wk2 (ir),0.0,0.0,0.594,5.182,3.7988,,,,11.4574,,0.2004,-0.9617,0.1095,,2.7419,0.0,0.0,0.0,0.0
Charlie Jones,NYG,WR,,practice_squad,,new to team,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0
Dalen Cambre,NYG,WR,00-0040431,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0
Gunner Olszewski,NYG,WR,00-0035645,ir,8,OUT wk2 (ir),0.0,0.0,0.7222,5.333,8.0417,,,,12.1111,,0.2778,4.4302,0.4583,,3.5139,0.0,0.0,0.0,0.0
Malachi Fields,NYG,WR,00-0041042,active,,,0.1,0.0,0.5322,4.2,2.8824,,,,14.2687,,0.3497,0.4377,0.1146,,2.8,0.1,0.0,0.08,0.0
Isaiah Likely,NYG,TE,00-0037838,active,,,0.105,0.0,0.7574,4,4.3769,,,,7.7144,,0.0862,0.8112,0.1158,,4.2937,0.105,0.0,0.125,0.0
Theo Johnson,NYG,TE,00-0039847,active,,,0.06,0.0,0.6248,4,5.3797,,,,7.1604,,0.0723,-0.105,0.2181,,3.4264,0.06,0.0,0.08,0.0
Chris Manhertz,NYG,TE,00-0031484,active,,,0.0,0.0,0.6667,4,6.25,,,,4.3333,,0,0.4343,0.25,,3,0.0,0.0,0.0,0.0
Thomas Fidone,NYG,TE,00-0040225,active,,,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0
Totals,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
