player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share,dfs_status,starter_override
Sam Darnold,SEA,QB,00-0034869,ir,6,OUT wk2 (ir); out ~4 wks (Cam 2026-09-16),0.0,0.0,,,,5.3756,0.0627,0.03,,8.2946,,,,2.9631,,0.0,0.0,0.0,0.0,active,
Drew Lock,SEA,QB,00-0035704,active,,starter - Darnold OUT (Cam 2026-09-16),0.0,0.005,,,,-4.0464,0.0426,0,,5.0649,,,,2.8152,,0.0,0.005,0.0,0.005,active,TRUE
Jalen Milroe,SEA,QB,00-0040673,active,,,0.0,0.005,,,,0,0.06,0.05,,8,,,,2.7,,0.0,0.005,0.0,0.005,active,
Jadarian Price,SEA,RB,00-0041512,active,,,0.05,0.691405,0.75,4.877,5,,,,-0.4221,,0.01,0.1168,0.186,,3.2,0.066429,0.735265,0.0475,0.815816,active,
Zach Charbonnet,SEA,RB,00-0039165,pup,7,OUT wk2 (pup),0.0,0.0,0.8179,3.9111,7.5045,,,,0.0359,,0.0128,0.1099,0.2614,,3.2,0.0,0.0,0.0,0.0,active,
Emanuel Wilson,SEA,RB,00-0038797,active,,,0.1,0.155372,0.8377,4.5649,7.8611,,,,-3.5132,,0,-1.7406,0.1667,,3.2,0.044286,0.152124,0.02375,0.119388,active,
George Holani,SEA,RB,00-0039299,active,,,0.05,0.093223,1,3.2924,4,,,,-0.75,,0,-3.8544,0,,3.2,0.044286,0.067611,0.02375,0.039796,active,
Brady Russell,SEA,RB,00-0038488,active,,,0.0,0.0,0,4.2,6.5,,,,0,,0,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Jacardia Wright,SEA,RB,00-0040067,practice_squad,,,0.0,0.0,0.75,4,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Robbie Ouzts,SEA,RB,00-0040649,ir,8,OUT wk2 (ir),0.0,0.0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Velus Jones,SEA,RB,00-0037745,practice_squad,,,0.0,0.0,1,4.5,13,,,,-5,,0,1.8832,0,,3.2,0.0,0.0,0.0,0.0,active,
Jaxon Smith-Njigba,SEA,WR,00-0038543,active,,,0.324308,0.015,0.7482,5.4667,4.9379,,,,9.4878,,0.1337,-0.1393,0.1714,,3.2473,0.327087,0.0,0.334603,0.0,active,
Rashid Shaheed,SEA,WR,00-0037545,active,,,0.141231,0.035,0.5963,6.9833,3.7336,,,,12.2489,,0.2355,-1.4304,0.1306,,2.8275,0.142441,0.035,0.151111,0.0,active,
Cooper Kupp,SEA,WR,00-0033908,active,,,0.125538,0.0,0.6583,5,5.9413,,,,8.0811,,0.0778,1.732,0.2716,,3.1127,0.126614,0.0,0.134921,0.0,active,
Tory Horton,SEA,WR,00-0040648,active,,,0.088923,0.0,0.5,4,2.8333,,,,18.9524,,0.369,-0.1732,0,,2.8,0.073858,0.0,0.059365,0.0,active,
Jake Bobo,SEA,WR,00-0038752,ir,8,OUT wk2 (ir),0.0,0.0,0.7885,3,2.0909,,,,7.7308,,0,-0.854,0.0455,,1.951,0.0,0.0,0.0,0.0,active,
Emmanuel Henderson,SEA,WR,00-0040895,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Irvin Charles,SEA,WR,00-0037156,ir,8,OUT wk2 (ir),0.0,0.0,0,4.2,4.2,,,,3,,0,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Julian Hicks,SEA,WR,00-0039329,practice_squad,,new to team,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Montorie Foster Jr,SEA,WR,00-0040621,active,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Ricky White,SEA,WR,00-0040653,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
AJ Barner,SEA,TE,00-0039793,active,,,0.085,0.0,0.8066,1.5,5.4115,,,,4.7488,,0.0694,0.4265,0.2348,,4.3575,0.125,0.0,0.165,0.015,active,
Eric Saubert,SEA,TE,00-0033576,active,,,0.035,0.0,0.6513,4,2.4722,,,,6.167,,0.0769,-1.3875,0.1111,,1.9895,0.05,0.0,0.06,0.0,active,
Elijah Arroyo,SEA,TE,00-0040739,active,,,0.0,0.0,0.5744,4,4.3889,,,,8.5962,,0.15,-0.5519,0.1111,,2.3818,0.0,0.0,0.0,0.0,active,
Nick Kallerup,SEA,TE,00-0040058,active,,,0.0,0.0,0,4.2,4.5,,,,8,,0,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Totals,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.000001,1.0,1.0,1.0,active,
