player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share,dfs_status,starter_override
Cam Ward,TEN,QB,00-0040676,active,,,0.0,0.01,,,,-0.9547,0.073,0.04,,7.24,,,,2.9286,,0.0,0.01,0.0,0.01,active,TRUE
Hendon Hooker,TEN,QB,00-0038550,practice_squad,,,0.0,0.0,,,,-11.8843,0.0833,0,,6.0833,,,,2.7,,0.0,0.0,0.0,0.0,active,
Mitchell Trubisky,TEN,QB,00-0033869,active,,,0.0,0.0,,,,3.4873,0,0,,4.7759,,,,2.7127,,0.0,0.0,0.0,0.0,active,
Tony Pollard,TEN,RB,00-0035261,active,,,0.065,0.545,0.758,4.1509,6.4905,,,,0.0546,,0.0115,-0.8468,0.1411,,3.2,0.05,0.575,0.02,0.565,active,
Tyjae Spears,TEN,RB,00-0039032,active,,,0.1,0.365,0.867,3.6437,7.3915,,,,-1.7255,,0,-0.5857,0.2004,,3.2,0.08,0.315,0.03,0.295,active,
Michael Carter,TEN,RB,00-0036924,practice_squad,,,0.0,0.0,0.782,3.4367,7.9141,,,,1.008,,0.0143,0.9971,0.3628,,3.2,0.0,0.0,0.0,0.0,active,
Julius Chestnut,TEN,RB,00-0037594,active,,,0.0,0.0,0.4,3.7241,7,,,,4.6,,0,-1.216,0,,3.2,0.0,0.0,0.0,0.0,active,
Kalel Mullings,TEN,RB,00-0040205,practice_squad,,,0.0,0.0,0.75,2.3333,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Nicholas Singleton,TEN,RB,00-0040886,active,,,0.035,0.08,0.75,5.586,6.5,,,,1,,0.04,0,0.15,,3.2,0.035,0.08,0.035,0.08,active,
Wan'Dale Robinson,TEN,WR,00-0038117,active,,,0.24,0.0,0.6743,3.8333,3.9947,,,,6.5566,,0.0945,-1.4796,0.0854,,3.4397,0.25,0.0,0.275,0.0,active,
Carnell Tate,TEN,WR,00-0041438,active,,,0.155,0.0,0.6114,4.2,2.775,,,,13.884,,0.3374,-0.8456,0.1778,,2.6,0.165,0.0,0.17,0.0,active,
Calvin Ridley,TEN,WR,00-0034837,active,,,0.11,0.0,0.5523,8.0714,4.5011,,,,14.9544,,0.2197,-0.3509,0.191,,2.759,0.11,0.0,0.11,0.0,active,
Elic Ayomanor,TEN,WR,00-0040170,active,,,0.09,0.0,0.5016,4,2.7812,,,,12.555,,0.1914,-1.3422,0.0677,,2.6346,0.07,0.0,0.05,0.0,active,
Chimere Dike,TEN,WR,00-0040705,active,,,0.085,0.0,0.6019,1.3333,5.0413,,,,8.0962,,0.1741,-1.7903,0.0752,,3.4964,0.105,0.02,0.16,0.05,active,
KJ Osborn,TEN,WR,00-0036345,practice_squad,,,0.0,0.0,0.3111,4,1.9167,,,,8.3222,,0.0556,-2.4049,0,,1.4289,0.0,0.0,0.0,0.0,active,
Tyren Montgomery,TEN,WR,00-0040919,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Xavier Restrepo,TEN,WR,00-0040522,practice_squad,,,0.0,0.0,0.6667,4.2,3.75,,,,10.1667,,0.0833,0.097,0,,2.8438,0.0,0.0,0.0,0.0,active,
Gunnar Helm,TEN,TE,00-0040584,active,,,0.08,0.0,0.7884,4,3.724,,,,5.9384,,0.0281,-1.7801,0.0677,,3.2278,0.09,0.0,0.1,0.0,active,
Daniel Bellinger,TEN,TE,00-0038115,active,,,0.04,0.0,0.7832,2,4.6961,,,,7.7224,,0.0263,0.0508,0.1814,,3.1928,0.045,0.0,0.05,0.0,active,
David Martin-Robinson,TEN,TE,00-0039648,active,,,0.0,0.0,0.7222,4.2,4.4,,,,2.2778,,0,0,0.2,,3,0.0,0.0,0.0,0.0,active,
Jaren Kanak,TEN,TE,00-0040901,ir,8,OUT wk2 (ir),0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Joel Wilson,TEN,TE,00-0039023,practice_squad,,,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Kylen Granson,TEN,TE,00-0036876,active,,,0.0,0.0,0.5306,1,5.5192,,,,10.8213,,0.1667,0.4168,0.1538,,3.2898,0.0,0.0,0.0,0.0,active,
Totals,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,active,
