player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share,dfs_status,starter_override
Carson Beck,ARI,QB,00-0041561,active,,,0.0,0.01,,,,-1.941,0.06,0.03,,6.7168,,,,2.7954,,0.0,0.01,0.0,0.01,active,
Gardner Minshew,ARI,QB,00-0035289,active,,,0.0,0.01,,,,-2.3153,0.0659,0,,6.3574,,,,2.6825,,0.0,0.01,0.0,0.01,active,
Jacoby Brissett,ARI,QB,00-0033119,active,,,0.0,0.01,,,,-1.2324,0.0738,0.02,,7.812,,,,2.9293,,0.0,0.01,0.0,0.01,active,
Jeremiyah Love,ARI,RB,00-0041027,active,,,0.1725,0.673065,0.77,4.941,8.493,,,,0.2358,,0.02,2.01,0.2271,,3.2,0.137308,0.571701,0.06,0.542872,active,
Tyler Allgeier,ARI,RB,00-0037263,active,,,0.0375,0.301935,0.9474,4.2253,7.193,,,,-1.0965,,0,-0.7215,0.1579,,3.2,0.032692,0.383299,0.03,0.402128,active,
James Conner,ARI,RB,00-0033553,ir,8,OUT wk3 (ir),0.0,0.0,0.8711,3.9737,10.507,,,,-1.9623,,0.0132,2.0779,0.293,,3.2,0.0,0.0,0.0,0.0,active,
Trey Benson,ARI,RB,00-0039921,ir,8,OUT wk3 (ir),0.0,0.0,0.9352,5.3598,9.4593,,,,-2.4074,,0,0.8159,0.2167,,3.2,0.0,0.0,0.0,0.0,active,
Bam Knight,ARI,RB,00-0037157,active,,,0.0,0.0,0.7556,2.6834,7.9815,,,,1.1093,,0,1.589,0.3426,,3.2,0.0,0.0,0.0,0.0,active,
Evan Hull,ARI,RB,00-0038397,practice_squad,,new to team,0.0,0.0,1,2.45,6.5,,,,-0.5,,0,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Marvin Harrison,ARI,WR,00-0039849,active,,,0.195,0.005,0.5854,4,2.7119,,,,13.2165,,0.2181,-1.5104,0.0868,,2.285,0.22,0.005,0.21,0.005,active,
Michael Wilson,ARI,WR,00-0038559,active,,,0.175,0.005,0.6049,7,3.3661,,,,11.7014,,0.1953,-0.9547,0.1109,,2.5101,0.19,0.005,0.155,0.005,active,
Kendrick Bourne,ARI,WR,00-0033307,active,,,0.05,0.0,0.7179,6,3.2217,,,,10.3636,,0.14,-1.305,0.0732,,2.3318,0.04,0.0,0.065,0.0,active,
Devin Duvernay,ARI,WR,00-0036331,active,,,0.03,0.0,0.6583,0.75,3.3125,,,,10.725,,0.3083,-2.3729,0.1042,,3.454,0.03,0.0,0.035,0.0,active,
Jalen Brooks,ARI,WR,00-0038640,active,,,0.025,0.0,0.5583,4,3.5769,,,,13.4512,,0.1786,-0.5548,0.2692,,1.9527,0.025,0.0,0.02,0.0,active,
Harrison Wallace,ARI,WR,00-0041368,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Ihmir Smith-Marsette,ARI,WR,00-0036635,practice_squad,,,0.0,0.0,0.7,8.111,5,,,,8.25,,0.2,-1.2949,0.2308,,2.8,0.0,0.0,0.0,0.0,active,
Reggie Virgil,ARI,WR,00-0041070,active,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Simi Fehoko,ARI,WR,00-0036646,active,,,0.0,0.0,0.2667,4,3.5,,,,13.6333,,0.2833,-1.4235,0,,1.74,0.0,0.0,0.0,0.0,active,
Trey McBride,ARI,TE,00-0037744,active,,,0.27,0.005,0.7464,2,4.4679,,,,6.5791,,0.0522,-0.269,0.1815,,3.1988,0.28,0.005,0.38,0.015,active,
Elijah Higgins,ARI,TE,00-0039041,active,,,0.045,0.0,0.8175,4,5.1658,,,,4.306,,0,0.6558,0.1817,,5.2479,0.045,0.0,0.045,0.0,active,
Hunter Long,ARI,TE,00-0037004,active,,new to team,0.0,0.0,0.6562,4,3.095,,,,4.969,,0.0312,-1.0037,0.0526,,3,0.0,0.0,0.0,0.0,active,
Jameson Geers,ARI,TE,00-0041366,ir,8,OUT wk3 (ir),0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Shawn Bowman,ARI,TE,00-0039550,practice_squad,,new to team,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Teagan Quitoriano,ARI,TE,00-0037277,practice_squad,,,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Tip Reiman,ARI,TE,00-0039737,pup,9,OUT wk3 (pup),0.0,0.0,0.7917,4.2,4.5714,,,,3.25,,0,-1.0094,0.1429,,3,0.0,0.0,0.0,0.0,active,
Totals,,,,,,,1.0,1.02,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,active,
