player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share,dfs_status,starter_override
Michael Penix,ATL,QB,00-0039917,active,,,0.0,0.01,,,,-0.4515,0.0745,0.03,,8.5491,,,,2.8126,,0.0,0.01,0.0,0.01,active,
Tua Tagovailoa,ATL,QB,00-0036212,active,,,0.0,0.01,,,,2.2554,0.0664,0.03,,6.3511,,,,2.6027,,0.0,0.01,0.0,0.01,active,
Cooper Rush,ATL,QB,00-0033662,active,,new to team,0.0,0.0,,,,-6.2168,0.0389,0,,7.374,,,,2.556,,0.0,0.0,0.0,0.0,active,
Jack Strand,ATL,QB,00-0041194,active,,,0.0,0.0,,,,0,0.06,0.05,,8,,,,2.7,,0.0,0.0,0.0,0.0,active,
Bijan Robinson,ATL,RB,00-0038542,active,,,0.165,0.695,0.8322,4.7852,9.6091,,,,-0.0337,,0.0201,1.63,0.2534,,3.2,0.12,0.645,0.04,0.59,active,
Brian Robinson,ATL,RB,00-0037746,active,,,0.03,0.255,0.7625,4.4237,7.8426,,,,-1.1167,,0,-0.35,0.0926,,3.2,0.03,0.325,0.015,0.38,active,
Cash Jones,ATL,RB,00-0041191,practice_squad,,,0.0,0.0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Trey Sermon,ATL,RB,00-0036984,ir,8,OUT wk3 (ir); new to team,0.0,0.0,0.7586,3.769,5.591,,,,0.931,,0,-1.0777,0.1364,,3.2,0.0,0.0,0.0,0.0,active,
Tyler Goodson,ATL,RB,00-0037120,practice_squad,,,0.0,0.0,0.6833,3.7718,4.6667,,,,3.0583,,0.125,-2.0213,0.0833,,3.2,0.0,0.0,0.0,0.0,active,
Drake London,ATL,WR,00-0037238,active,,,0.28,0.015,0.6395,-3,3.0906,,,,10.8649,,0.1431,-0.8542,0.1534,,2.6262,0.35,0.0,0.475,0.0,active,
Jahan Dotson,ATL,WR,00-0037741,active,,,0.105,0.005,0.5302,13,3.9329,,,,12.7274,,0.314,-2.171,0,,2.7888,0.085,0.0,0.06,0.0,active,
Olamide Zaccheaus,ATL,WR,00-0035208,active,,,0.065,0.0,0.6461,6.6,4.5304,,,,6.6844,,0.078,-0.3735,0.1229,,3.3631,0.05,0.0,0.05,0.0,active,
Dylan Drummond,ATL,WR,00-0038953,practice_squad,,,0.0,0.0,0.4833,4.2,1.5556,,,,11.5,,0.0833,-3.6851,0,,1.9714,0.02,0.0,0.02,0.0,active,
Chris Blair,ATL,WR,00-0036463,active,,,0.02,0.0,0.5,4.2,0,,,,18.5,,0.5,-5.1144,0,,2.8,0.02,0.0,0.02,0.0,active,
Antwane Wells,ATL,WR,00-0040438,practice_squad,,new to team,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Beaux Collins,ATL,WR,00-0040432,ir,8,OUT wk3 (ir); new to team,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Vinny Anthony,ATL,WR,00-0041185,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Zachariah Branch,ATL,WR,00-0041044,active,,,0.08,0.0,0.8059,4.2,4.8235,,,,5.681,,0.07,0.2373,0.08,,2.8,0.06,0.0,0.06,0.0,active,
Kyle Pitts,ATL,TE,00-0036970,active,,,0.19,0.01,0.6647,-4,5.1312,,,,7.6256,,0.0734,0.3354,0.2278,,3.3883,0.195,0.02,0.19,0.02,active,
Austin Hooper,ATL,TE,00-0032392,active,,,0.065,0.0,0.8089,4,5.5489,,,,6.7756,,0.065,0.6689,0.2126,,3.1844,0.07,0.0,0.07,0.0,active,
Charlie Woerner,ATL,TE,00-0036429,active,,,0.0,0.0,0.7262,4,3.4091,,,,2.131,,0,-2.4956,0.2121,,3,0.0,0.0,0.0,0.0,active,
Jack Velling,ATL,TE,00-0041195,practice_squad,,,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Nick Muse,ATL,TE,00-0037317,practice_squad,,new to team,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Totals,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.01,1.0,1.01,active,
