player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share,dfs_status,starter_override
Joe Burrow,CIN,QB,00-0036442,active,,,0.0,0.01,,,,6.1413,0.0636,0.04,,7.066,,,,2.7325,,0.0,0.01,0.0,0.05,active,
Josh Johnson,CIN,QB,,practice_squad,,,0.0,0.01,,,,0.8156,0.1054,0,,6.806,,,,2.8584,,0.0,0.01,0.0,0.01,active,
Joe Flacco,CIN,QB,00-0026158,active,,,0.0,0.0,,,,-0.2743,0.0443,0,,7.618,,,,2.7255,,0.0,0.0,0.0,0.0,active,
Sean Clifford,CIN,QB,00-0038391,practice_squad,,,0.0,0.0,,,,0,0.06,0.05,,8,,,,2.7,,0.0,0.0,0.0,0.0,active,
Chase Brown,CIN,RB,00-0038597,active,,,0.14,0.615,0.8186,4.494,5.9732,,,,0.5562,,0.0078,-1.0098,0.1964,,3.2,0.13,0.64,0.1,0.655,active,
Samaje Perine,CIN,RB,00-0033526,active,,,0.055,0.22,0.8383,5.1112,9.6763,,,,-0.5759,,0,1.8157,0.3237,,3.2,0.05,0.22,0.03,0.2,active,
Tahj Brooks,CIN,RB,00-0040208,active,,,0.025,0.13,0.5,2.8306,11,,,,-2.5,,0,2.2029,0,,3.2,0.025,0.13,0.02,0.08,active,
Kendall Milton,CIN,RB,00-0039266,practice_squad,,,0.0,0.0,0.75,1,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Kentrel Bullock,CIN,RB,00-0041241,practice_squad,,,0.0,0.0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Ja'Marr Chase,CIN,WR,00-0036900,active,,,0.275,0.015,0.7065,7.6667,5.8882,,,,8.6849,,0.1231,0.9997,0.2211,,3.1264,0.295,0.0,0.27,0.0,active,
Tee Higgins,CIN,WR,00-0036410,active,,,0.215,0.01,0.6308,4,3.0263,,,,12.3401,,0.1819,-0.6685,0.1521,,2.1165,0.22,0.0,0.25,0.0,active,
Andrei Iosivas,CIN,WR,00-0038619,active,,,0.085,0.0,0.5718,4.6667,2.5363,,,,12.5303,,0.241,-1.9701,0.1065,,2.5632,0.09,0.0,0.1,0.0,active,
Ke'Shawn Williams,CIN,WR,00-0040534,active,,,0.025,0.0,1,5,0,,,,5,,0,-4.423,0,,2.8,0.02,0.0,0.02,0.0,active,
Colbie Young,CIN,WR,00-0041069,active,,,0.01,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.01,0.0,0.01,0.0,active,
Dohnte Meyers,CIN,WR,00-0040785,active,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Jordan Moore,CIN,WR,00-0040375,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Noah Thomas,CIN,WR,00-0041248,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Mike Gesicki,CIN,TE,00-0034829,active,,,0.075,0.0,0.7416,4,2.397,,,,8.4605,,0.0565,-1.8538,0.0804,,3.0196,0.08,0.0,0.1,0.0,active,
Drew Sample,CIN,TE,00-0035631,active,,,0.04,0.0,0.803,-0.5,5.4583,,,,0.5379,,0,-1.1736,0.15,,3,0.04,0.0,0.05,0.015,active,
Tanner Hudson,CIN,TE,00-0034613,practice_squad,,,0.04,0.0,0.8149,1,5.1111,,,,6.0486,,0.0789,-0.3318,0.1944,,4.9492,0.04,0.0,0.05,0.0,active,
Erick All,CIN,TE,00-0039814,active,,,0.0,0.0,0.8333,4,4.2857,,,,3.4375,,0,-1.2656,0.1071,,3,0.0,0.0,0.0,0.0,active,
Jack Endries,CIN,TE,00-0041116,active,,,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Totals,,,,,,,0.985,1.01,,,,,,,,,,,,,,1.0,1.01,1.0,1.01,active,
