player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share,dfs_status,starter_override
Malik Willis,MIA,QB,00-0038128,active,,,0.0,0.155,,,,0.5543,0.08452,0.095,,7.0874,,,,2.9144,,0.0,0.155,0.0,0.155,active,
Brady Cook,MIA,QB,00-0040398,active,,new to team,0.0,0.05,,,,-10.0291,0.099,0,,5.667,,,,2.57,,0.0,0.05,0.0,0.05,active,
Kyle McCord,MIA,QB,00-0040014,active,,new to team,0.0,0.0,,,,0,0.06,0.05,,8,,,,2.7,,0.0,0.0,0.0,0.0,active,
De'Von Achane,MIA,RB,00-0039040,active,,,0.165,0.6,0.8324,5.1008,8.0096,,,,-0.2076,,0.0199,0.1285,0.2883,,3.2,0.155,0.565,0.125,0.525,active,
Jaylen Wright,MIA,RB,00-0039874,active,,,0.04,0.14,0.5741,4.0211,8.5833,,,,-1.9074,,0,0.5347,0.25,,3.2,0.035,0.12,0.01,0.075,active,
Ollie Gordon,MIA,RB,00-0040198,active,,,0.04,0.09,0.8125,2.141,8.1429,,,,-3.0625,,0,-1.3276,0.1429,,3.2,0.035,0.16,0.01,0.245,active,
Carlos Washington,MIA,RB,00-0038930,practice_squad,,,0.0,0.0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
DJ Herman,MIA,RB,00-0041436,active,,,0.0,0.0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Jarquez Hunter,MIA,RB,00-0040692,practice_squad,,new to team,0.0,0.0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Malik Washington,MIA,WR,00-0039880,active,,,0.125,0.0,0.6852,5.7333,5.3617,,,,5.8173,,0.0946,-0.8783,0.1352,,3.9845,0.125,0.0,0.125,0.0,active,
Jalen Tolbert,MIA,WR,00-0037666,active,,,0.1,0.0,0.5217,4,2.8036,,,,11.9338,,0.1846,-1.5423,0.1171,,2.7833,0.1,0.0,0.1,0.0,active,
Caleb Douglas,MIA,WR,00-0041523,active,,,0.11,0.0,0.5974,4.2,2.951,,,,11.783,,0.2841,-0.9847,0.1154,,2.8,0.11,0.0,0.145,0.0,active,
Chris Bell,MIA,WR,00-0041525,active,,,0.15,0.0,0.6497,4.2,4.017,,,,8.9172,,0.12,-0.4387,0.1247,,2.8,0.17,0.0,0.215,0.0,active,
Jalen Reagor,MIA,WR,00-0036387,practice_squad,,,0.0,0.0,0.5714,-1,3.5,,,,12.3571,,0.3571,-2.8493,0.1,,2.445,0.0,0.0,0.0,0.0,active,
Kevin Coleman,MIA,WR,00-0041529,active,,,0.05,0.0,0.058,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.05,0.0,0.05,0.0,active,
Ryan Miller,MIA,WR,00-0038824,active,,new to team,0.0,0.0,0.5833,4,3.929,,,,11.042,,0.2083,0.154,0.0909,,1.905,0.0,0.0,0.0,0.0,active,
Will Sheppard,MIA,WR,,practice_squad,,new to team,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Greg Dulcich,MIA,TE,00-0037252,active,,,0.22,0.0,0.6701,-7,7.9091,,,,4.809,,0.0104,2.5497,0.3212,,3.0338,0.22,0.0,0.22,0.0,active,
Cole Turner,MIA,TE,00-0037078,ir,8,OUT wk3 (ir),0.0,0.0,0.5417,4,4.385,,,,7.083,,0,-0.4005,0.1538,,1.869,0.0,0.0,0.0,0.0,active,
Ben Sims,MIA,TE,00-0038809,ir,8,OUT wk3 (ir),0.0,0.0,0.75,4.2,2.25,,,,7.4286,,0.0357,-1.6684,0.0833,,3,0.0,0.0,0.0,0.0,active,
Justin Joly,MIA,TE,00-0041077,active,,new to team,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Seydou Traore,MIA,TE,00-0041579,active,,,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Tre Watson,MIA,TE,,practice_squad,,new to team,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Will Kacmarek,MIA,TE,00-0041524,active,,,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Totals,,,,,,,1.0,1.035,,,,,,,,,,,,,,1.0,1.05,1.0,1.05,active,
