player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share,dfs_status,starter_override
JJ McCarthy,MIN,QB,00-0039923,active,,,0.0,0.02,,,,-4.7968,0.0905,0,,8.3701,,,,3.022,,0.0,0.02,0.0,0.02,active,
Kyler Murray,MIN,QB,00-0035228,active,,,0.0,0.02,,,,1.837,0.0548,0.045,,6.6208,,,,2.783,,0.0,0.02,0.0,0.02,active,TRUE
Carson Wentz,MIN,QB,00-0032950,active,,,0.0,0.0,,,,4.5924,0.0903,0,,6.7528,,,,2.6354,,0.0,0.0,0.0,0.0,active,
Max Brosmer,MIN,QB,00-0040494,practice_squad,,,0.0,0.0,,,,-5.3923,0.0994,0,,3.1465,,,,2.915,,0.0,0.0,0.0,0.0,active,
Aaron Jones,MIN,RB,00-0033293,active,,,0.144375,0.641832,0.7655,4.3216,7.8136,,,,0.6862,,0.0747,0.1135,0.2531,,3.2,0.140345,0.644686,0.0935,0.653693,active,
Jordan Mason,MIN,RB,00-0037525,ir,6,"OUT wk3 (ir); Out 4 wks (thumb) from wk2, reevaluate ~wk6 (Cam 2026-09-19)",0.0,0.0,0.8873,4.8468,5.9608,,,,-0.0637,,0,-1.4694,0.0784,,3.2,0.0,0.0,0.0,0.0,active,
DeeJay Dallas,MIN,RB,,active,,Elevated from practice squad wk2 while Mason out (Cam 2026-09-19),0.039375,0.463975,0.8545,4.615,6.106,,,,0.436,,0.0364,-1.2328,0.087,,3.2,0.031897,0.466038,0.0055,0.472549,active,
Demond Claiborne,MIN,RB,00-0041104,active,,,0.02625,0.139193,0.75,4.799,6.5,,,,1,,0.04,0,0.15,,3.2,0.012759,0.124277,0.011,0.078758,active,
Jermar Jefferson,MIN,RB,00-0036670,ir,8,OUT wk3 (ir); new to team,0.0,0.0,0.8333,4.571,6.2,,,,0.167,,0,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Max Bredeson,MIN,RB,00-0041081,active,,,0.0,0.0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Justin Jefferson,MIN,WR,00-0036322,active,,,0.2882,0.015,0.6568,3.3333,5.4951,,,,10.4172,,0.1363,-0.089,0.1928,,3.1286,0.277326,0.015,0.276197,0.015,active,
Jordan Addison,MIN,WR,00-0038994,active,,,0.21484,0.02,0.5663,20.2,3.0291,,,,13.6946,,0.273,-1.8302,0.091,,2.9948,0.20407,0.02,0.187606,0.02,active,
Jauan Jennings,MIN,WR,00-0036259,active,,,0.12576,0.0,0.6173,-1,3.542,,,,10.2124,,0.1224,-0.5736,0.1945,,2.3944,0.167442,0.0,0.250141,0.0,active,
Dontae Fleming,MIN,WR,00-0040498,ir,8,OUT wk3 (ir),0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Tai Felton,MIN,WR,00-0040154,active,,,0.0262,0.0,1,4.2,4.6667,,,,3.6667,,0,-0.7066,0.3333,,2.8,0.026163,0.0,0.026056,0.0,active,
Dillon Bell,MIN,WR,00-0041342,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Jeshaun Jones,MIN,WR,00-0039710,suspended,7,OUT wk3 (suspended),0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Michael Briscoe,MIN,WR,00-0040970,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Myles Price,MIN,WR,00-0040506,active,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Trayvon Rudolph,MIN,WR,00-0041475,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
TJ Hockenson,MIN,TE,00-0035229,active,,,0.145,0.0,0.7306,0,3.6574,,,,6.1048,,0.033,-1.0076,0.1504,,3.4814,0.135,0.0,0.11,0.0,active,
Josh Oliver,MIN,TE,00-0035249,active,,,0.02,0.0,0.7464,4,6.4442,,,,5.5275,,0.0797,2.2047,0.3117,,3.7198,0.03,0.0,0.045,0.0,active,
Ben Yurosek,MIN,TE,00-0040509,active,,,0.0,0.0,0.75,4.2,4.5,,,,4,,0,-1.127,0,,3,0.0,0.0,0.0,0.0,active,
Bryson Nesbit,MIN,TE,00-0040504,ir,8,OUT wk3 (ir),0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Cam Grandy,MIN,TE,,practice_squad,,new to team,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Gavin Bartholomew,MIN,TE,00-0040215,active,,,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Totals,,,,,,,1.03,1.32,,,,,,,,,,,,,,1.025002,1.310001,1.005,1.28,active,
