player_name,team,pos,player_id,roster_slot,return_week,note,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds,rz_target_share,rz_carry_share,gl_target_share,gl_carry_share,dfs_status,starter_override
Drake Maye,NE,QB,00-0039851,active,,,0.0,0.08,,,,3.7813,0.07968,0.075,,8.3789,,,,2.8901,,0.0,0.085,0.0,0.055,active,
Behren Morton,NE,QB,00-0041123,active,,,0.0,0.0,,,,0,0.06,0.05,,8,,,,2.7,,0.0,0.0,0.0,0.0,active,
Tommy DeVito,NE,QB,00-0038476,active,,,0.0,0.0,,,,6.0655,0.1101,0,,5.6266,,,,2.6765,,0.0,0.0,0.0,0.0,active,
Rhamondre Stevenson,NE,RB,00-0036875,active,,,0.085,0.43,0.7839,4.2525,8.0227,,,,1.2411,,0.0369,0.5606,0.1987,,3.2,0.085,0.43,0.07,0.495,active,
TreVeyon Henderson,NE,RB,00-0040734,active,,,0.075,0.37,0.8462,4.6979,7.5462,,,,-0.1141,,0.0256,0.2389,0.1538,,3.2,0.075,0.405,0.065,0.39,active,
Terrell Jennings,NE,RB,,ir,99,OUT wk3 (ir); season-ending IR (Cam),0.0,0.0,0.5,2.9474,7,,,,15.5,,0.5,1.5402,0,,3.2,0.0,0.0,0.0,0.0,active,
Corey Kiner,NE,RB,00-0040556,active,,new to team,0.015,0.1,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.015,0.08,0.01,0.06,active,
Hassan Haskins,NE,RB,00-0037617,practice_squad,,new to team,0.0,0.0,0.9,3.039,6.444,,,,0.05,,0,-1.0015,0.0556,,3.2,0.0,0.0,0.0,0.0,active,
Lan Larison,NE,RB,00-0040568,practice_squad,,,0.0,0.0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Myles Montgomery,NE,RB,00-0041323,ir,8,OUT wk3 (ir),0.0,0.0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2,0.0,0.0,0.0,0.0,active,
Reggie Gilliam,NE,RB,00-0036187,active,,,0.0,0.0,0.6667,2.5,1,,,,4.714,,0.3333,-4.504,0,,3.2,0.0,0.0,0.0,0.0,active,
AJ Brown,NE,WR,00-0035676,ir,8,OUT wk3 (ir); out ~6 wks (Cam 2026-09-16),0.0,0.0,0.7021,5,3.9981,,,,12.2245,,0.1919,0.054,0.1774,,2.1323,0.0,0.0,0.0,0.0,active,
Romeo Doubs,NE,WR,00-0037816,active,,,0.294643,0.0,0.637,11,3.0068,,,,13.4509,,0.2145,-0.8668,0.1369,,2.5082,0.289348,0.0,0.332025,0.0,active,
Mack Hollins,NE,WR,00-0033555,active,,,0.160714,0.0,0.6781,4,2.4866,,,,11.6508,,0.1306,-1.0685,0.1263,,3.1159,0.175362,0.0,0.169873,0.0,active,
Kyle Williams,NE,WR,00-0040131,active,,,0.098214,0.02,0.5242,1.5,10.7857,,,,17.897,,0.3212,4.4539,0.2857,,2.3875,0.070145,0.0,0.046329,0.0,active,
DeMario Douglas,NE,WR,00-0038621,active,,,0.071429,0.0,0.7695,3.9444,6.2874,,,,8.0572,,0.1527,-0.1325,0.2172,,4.0332,0.070145,0.0,0.061772,0.0,active,
Cameron Dorner,NE,WR,00-0041319,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Efton Chism,NE,WR,00-0040563,active,,,0.0,0.0,1,4.2,14,,,,13.5,,0,15.7057,0.75,,2.8,0.0,0.0,0.0,0.0,active,
Jeremiah Webb,NE,WR,00-0040570,ir,8,OUT wk3 (ir),0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Kyle Dixon,NE,WR,00-0041318,practice_squad,,,0.0,0.0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8,0.0,0.0,0.0,0.0,active,
Hunter Henry,NE,TE,00-0033090,active,,,0.145,0.0,0.6723,4,5.0337,,,,7.2992,,0.0699,0.55,0.2283,,2.9493,0.165,0.0,0.19,0.0,active,
Julian Hill,NE,TE,00-0038720,ir,8,OUT wk3 (ir),0.0,0.0,0.6072,4,6.7647,,,,4.479,,0,1.4437,0.3431,,4.5472,0.0,0.0,0.0,0.0,active,
Cameron Latu,NE,TE,00-0038564,active,,new to team,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Eli Raridon,NE,TE,00-0041395,active,,,0.055,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.055,0.0,0.055,0.0,active,
Shane Zylstra,NE,TE,,practice_squad,,new to team,0.0,0.0,0.6429,4,1.889,,,,5.786,,0,-2.2958,0.0714,,2.615,0.0,0.0,0.0,0.0,active,
Tanner Arkin,NE,TE,00-0041314,active,,,0.0,0.0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3,0.0,0.0,0.0,0.0,active,
Totals,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,0.999999,1.0,active,
