Situation,Margin Tier,N,Mean,Median,P25,P75,Thin Sample
Q1,Trailing 2-score,1028,27.67509651184082,36.0,9.75,41.0,False
Q1,Trailing 1-score,6962,36.554725646972656,39.0,34.0,42.0,False
Q1,Tied,13721,37.95226287841797,39.0,35.0,42.0,False
Q1,Leading 1-score,4564,31.467790603637695,38.0,25.0,41.0,False
Q1,Leading 2-score,435,25.579309463500977,34.0,6.0,40.0,False
Q2 >4:00,Trailing 3+ score,815,26.062576293945312,36.0,0.0,41.0,False
Q2 >4:00,Trailing 2-score,2458,37.8311653137207,39.0,35.0,42.0,False
Q2 >4:00,Trailing 1-score,5855,36.97694396972656,39.0,35.0,42.0,False
Q2 >4:00,Tied,2739,38.46221160888672,40.0,36.0,43.0,False
Q2 >4:00,Leading 1-score,4907,35.9686164855957,39.0,35.0,42.0,False
Q2 >4:00,Leading 2-score,1676,32.58293533325195,38.0,28.75,42.0,False
Q2 >4:00,Leading 3+ score,278,31.100719451904297,37.0,22.0,42.0,False
Q2 4:00-2:00,Trailing 3+ score,262,26.335878372192383,34.5,0.0,41.0,False
Q2 4:00-2:00,Trailing 2-score,497,37.257545471191406,39.0,35.0,42.0,False
Q2 4:00-2:00,Trailing 1-score,986,36.57707977294922,39.0,34.0,42.0,False
Q2 4:00-2:00,Tied,347,38.138328552246094,40.0,36.0,43.0,False
Q2 4:00-2:00,Leading 1-score,873,36.44444274902344,39.0,35.0,43.0,False
Q2 4:00-2:00,Leading 2-score,402,34.360694885253906,39.0,33.0,42.0,False
Q2 4:00-2:00,Leading 3+ score,113,32.362831115722656,39.0,25.0,42.0,False
Q2 <2:00,Trailing 3+ score,2930,7.25836181640625,5.0,0.0,10.0,False
Q2 <2:00,Trailing 2-score,824,19.49757194519043,19.0,7.0,27.0,False
Q2 <2:00,Trailing 1-score,1670,19.829341888427734,19.0,7.0,28.0,False
Q2 <2:00,Tied,500,19.965999603271484,19.0,8.0,28.0,False
Q2 <2:00,Leading 1-score,1443,18.99237632751465,18.0,7.0,27.0,False
Q2 <2:00,Leading 2-score,738,18.70189666748047,17.0,7.0,28.0,False
Q2 <2:00,Leading 3+ score,269,17.899627685546875,15.0,6.0,30.0,False
Q3 >10:00,Trailing 3+ score,693,33.83116912841797,37.0,31.0,41.0,False
Q3 >10:00,Trailing 2-score,1283,37.13172149658203,38.0,35.0,42.0,False
Q3 >10:00,Trailing 1-score,2112,37.177555084228516,39.0,35.0,42.0,False
Q3 >10:00,Tied,523,37.98661422729492,39.0,35.0,43.0,False
Q3 >10:00,Leading 1-score,1954,36.79426956176758,39.0,35.0,42.0,False
Q3 >10:00,Leading 2-score,1044,35.13984680175781,38.0,33.0,42.0,False
Q3 >10:00,Leading 3+ score,555,35.50810623168945,39.0,34.0,42.0,False
Q3 10:00-5:00,Trailing 3+ score,906,33.28366470336914,37.0,30.0,41.0,False
Q3 10:00-5:00,Trailing 2-score,1389,37.23326110839844,39.0,35.0,42.0,False
Q3 10:00-5:00,Trailing 1-score,2270,36.811893463134766,39.0,35.0,43.0,False
Q3 10:00-5:00,Tied,569,37.65553665161133,39.0,35.0,42.0,False
Q3 10:00-5:00,Leading 1-score,1786,36.71612548828125,40.0,35.0,43.0,False
Q3 10:00-5:00,Leading 2-score,1145,35.258514404296875,39.0,34.0,42.0,False
Q3 10:00-5:00,Leading 3+ score,716,34.8547477722168,39.0,33.75,43.0,False
Q3 <5:00,Trailing 3+ score,1211,31.1296443939209,35.0,25.0,41.0,False
Q3 <5:00,Trailing 2-score,1458,35.25925827026367,38.0,32.0,42.0,False
Q3 <5:00,Trailing 1-score,2192,34.99726104736328,38.0,32.0,42.0,False
Q3 <5:00,Tied,549,36.71766662597656,39.0,35.0,43.0,False
Q3 <5:00,Leading 1-score,2211,35.47127914428711,39.0,33.0,43.0,False
Q3 <5:00,Leading 2-score,1293,35.41608810424805,39.0,34.0,43.0,False
Q3 <5:00,Leading 3+ score,847,35.008262634277344,40.0,34.0,43.0,False
Q4 >10:00,Trailing 3+ score,1145,29.30916976928711,32.0,24.0,39.0,False
Q4 >10:00,Trailing 2-score,1335,35.05842590332031,38.0,31.0,42.0,False
Q4 >10:00,Trailing 1-score,1834,36.1706657409668,39.0,34.0,42.0,False
Q4 >10:00,Tied,399,38.28571319580078,40.0,36.0,43.0,False
Q4 >10:00,Leading 1-score,1782,36.83894348144531,40.0,36.0,43.0,False
Q4 >10:00,Leading 2-score,1092,35.85988998413086,40.0,36.0,43.0,False
Q4 >10:00,Leading 3+ score,877,36.64424133300781,41.0,36.0,44.0,False
Q4 10:00-5:00,Trailing 3+ score,1486,26.15477752685547,28.0,21.0,38.0,False
Q4 10:00-5:00,Trailing 2-score,1378,32.05733108520508,33.5,25.0,40.0,False
Q4 10:00-5:00,Trailing 1-score,1839,35.8863525390625,39.0,34.0,42.0,False
Q4 10:00-5:00,Tied,449,38.478843688964844,40.0,37.0,43.0,False
Q4 10:00-5:00,Leading 1-score,1801,38.51915740966797,41.0,37.0,44.0,False
Q4 10:00-5:00,Leading 2-score,1285,37.48560333251953,42.0,38.0,44.0,False
Q4 10:00-5:00,Leading 3+ score,965,38.72538757324219,43.0,40.0,45.0,False
Q4 5:00-2:00,Trailing 3+ score,2135,14.907259941101074,6.0,0.0,28.0,False
Q4 5:00-2:00,Trailing 2-score,954,25.97379493713379,25.0,21.0,32.0,False
Q4 5:00-2:00,Trailing 1-score,1429,32.444366455078125,36.0,25.0,41.0,False
Q4 5:00-2:00,Tied,325,37.39384460449219,40.0,36.0,44.0,False
Q4 5:00-2:00,Leading 1-score,1300,31.981538772583008,42.0,8.0,44.0,False
Q4 5:00-2:00,Leading 2-score,677,29.029542922973633,41.0,6.0,45.0,False
Q4 5:00-2:00,Leading 3+ score,633,37.8625602722168,43.0,40.0,45.0,False
Q4 <2:00,Trailing 3+ score,2103,11.253923416137695,5.0,0.0,21.0,False
Q4 <2:00,Trailing 2-score,651,17.92473030090332,19.0,11.5,23.0,False
Q4 <2:00,Trailing 1-score,1525,17.902294158935547,18.0,8.0,24.0,False
Q4 <2:00,Tied,321,19.66666603088379,18.0,7.0,29.0,False
Q4 <2:00,Leading 1-score,1113,23.575021743774414,25.0,7.0,38.0,False
Q4 <2:00,Leading 2-score,650,29.55230712890625,34.0,20.0,41.0,False
Q4 <2:00,Leading 3+ score,777,33.92792892456055,38.0,30.0,42.0,False
