"season","dist_bucket","n_plays","pass_rate"
2015,"1_10",13527,0.5059
2016,"1_10",13417,0.5115
2017,"1_10",13282,0.4807
2018,"1_10",13407,0.5082
2019,"1_10",13292,0.4886
2020,"1_10",13813,0.5065
2021,"1_10",14048,0.4969
2022,"1_10",13980,0.4798
2023,"1_10",13939,0.4933
2024,"1_10",13672,0.4725
2025,"1_10",13475,0.4746
2015,"1_long",608,0.6398
2016,"1_long",584,0.6541
2017,"1_long",535,0.615
2018,"1_long",608,0.6793
2019,"1_long",638,0.6552
2020,"1_long",447,0.7338
2021,"1_long",596,0.6963
2022,"1_long",582,0.6838
2023,"1_long",543,0.6906
2024,"1_long",651,0.6605
2025,"1_long",556,0.6511
2015,"1_short",864,0.3738
2016,"1_short",981,0.3619
2017,"1_short",871,0.3766
2018,"1_short",912,0.3882
2019,"1_short",928,0.3599
2020,"1_short",1070,0.3682
2021,"1_short",1030,0.3709
2022,"1_short",918,0.3377
2023,"1_short",953,0.32
2024,"1_short",998,0.3156
2025,"1_short",951,0.3239
2015,"2_long",7228,0.6735
2016,"2_long",7000,0.6719
2017,"2_long",7111,0.6479
2018,"2_long",6759,0.6677
2019,"2_long",6915,0.6924
2020,"2_long",6756,0.6969
2021,"2_long",7110,0.6899
2022,"2_long",7121,0.6863
2023,"2_long",7025,0.6779
2024,"2_long",6977,0.6877
2025,"2_long",6810,0.695
2015,"2_med",2387,0.501
2016,"2_med",2469,0.516
2017,"2_med",2411,0.5247
2018,"2_med",2457,0.5438
2019,"2_med",2541,0.5439
2020,"2_med",2690,0.5294
2021,"2_med",2802,0.5307
2022,"2_med",2786,0.5004
2023,"2_med",2823,0.4981
2024,"2_med",2710,0.5055
2025,"2_med",2765,0.4984
2015,"2_short",1695,0.3841
2016,"2_short",1750,0.3771
2017,"2_short",1603,0.3668
2018,"2_short",1759,0.386
2019,"2_short",1706,0.3634
2020,"2_short",1885,0.3602
2021,"2_short",1941,0.3297
2022,"2_short",1883,0.376
2023,"2_short",1901,0.3703
2024,"2_short",1930,0.358
2025,"2_short",1855,0.331
2015,"3_long",3495,0.8884
2016,"3_long",3394,0.8904
2017,"3_long",3476,0.8812
2018,"3_long",3252,0.8801
2019,"3_long",3333,0.8869
2020,"3_long",3001,0.8814
2021,"3_long",3331,0.8748
2022,"3_long",3333,0.8752
2023,"3_long",3513,0.8742
2024,"3_long",3283,0.8574
2025,"3_long",3298,0.8636
2015,"3_med",1704,0.8773
2016,"3_med",1709,0.9064
2017,"3_med",1809,0.8856
2018,"3_med",1595,0.8708
2019,"3_med",1637,0.8858
2020,"3_med",1744,0.8624
2021,"3_med",1787,0.8651
2022,"3_med",1780,0.8438
2023,"3_med",1844,0.8552
2024,"3_med",1793,0.8595
2025,"3_med",1740,0.8477
2015,"3_short",1904,0.5662
2016,"3_short",1883,0.5778
2017,"3_short",1809,0.5616
2018,"3_short",1842,0.5483
2019,"3_short",1786,0.542
2020,"3_short",2005,0.4973
2021,"3_short",2137,0.5133
2022,"3_short",2151,0.4709
2023,"3_short",2100,0.4967
2024,"3_short",2073,0.4771
2025,"3_short",2122,0.4387
2015,"4_long",130,0.9077
2016,"4_long",112,0.8571
2017,"4_long",144,0.9028
2018,"4_long",111,0.9369
2019,"4_long",147,0.9116
2020,"4_long",131,0.9313
2021,"4_long",170,0.9412
2022,"4_long",148,0.9054
2023,"4_long",167,0.9042
2024,"4_long",139,0.9137
2025,"4_long",144,0.9236
2015,"4_med",103,0.932
2016,"4_med",88,0.8864
2017,"4_med",96,0.9375
2018,"4_med",108,0.8333
2019,"4_med",122,0.918
2020,"4_med",121,0.8926
2021,"4_med",137,0.9051
2022,"4_med",116,0.8879
2023,"4_med",145,0.869
2024,"4_med",133,0.8872
2025,"4_med",170,0.9412
2015,"4_short",270,0.5185
2016,"4_short",296,0.4865
2017,"4_short",273,0.4359
2018,"4_short",346,0.474
2019,"4_short",352,0.4631
2020,"4_short",435,0.4092
2021,"4_short",519,0.4759
2022,"4_short",506,0.4466
2023,"4_short",521,0.476
2024,"4_short",544,0.4467
2025,"4_short",617,0.4911
