"bucket","n_test","logloss","baseline","improvement","brier","roc_auc"
"1_10",27147,0.6265,0.6929,0.0664,0.2202,0.6732
"1_short",1949,0.5808,0.6315,0.0507,0.1971,0.6609
"1_long",1207,0.6147,0.6439,0.0292,0.2129,0.6377
"2_short",3785,0.5742,0.6453,0.0711,0.1941,0.6913
"2_med",5475,0.6442,0.6941,0.0499,0.2276,0.6542
"2_long",13787,0.5808,0.6185,0.0376,0.198,0.6414
"3_short",4195,0.6781,0.7009,0.0228,0.2428,0.6113
"3_med",3533,0.3852,0.4182,0.033,0.1137,0.6374
"3_long",6581,0.378,0.4062,0.0283,0.111,0.6418
"4_short",1161,0.6377,0.6916,0.0539,0.2238,0.6887
"4_med_long",586,0.2909,0.2842,-0.0067,0.0775,0.5891
