"bucket","n_train","n_valid","n_test","best_round","test_logloss","baseline_logloss","logloss_improvement","test_brier","test_accuracy"
"1_10",108766,13939,27147,251,0.6265,0.6929,0.0664,0.2202,0.6238
"1_long",4598,543,1207,68,0.6147,0.6439,0.0292,0.2129,0.6653
"1_short",7574,953,1949,84,0.5808,0.6315,0.0507,0.1971,0.7147
"2_long",56000,7025,13787,167,0.5808,0.6185,0.0376,0.198,0.7119
"2_med",20543,2823,5475,107,0.6442,0.6941,0.0499,0.2276,0.5969
"2_short",14222,1901,3785,210,0.5742,0.6453,0.0711,0.1941,0.7194
"3_long",26615,3513,6581,82,0.378,0.4062,0.0283,0.111,0.8675
"3_med",13765,1844,3533,56,0.3852,0.4182,0.033,0.1137,0.8636
"3_short",15517,2100,4195,181,0.6781,0.7009,0.0228,0.2428,0.5573
"4_med_long",1984,312,586,134,0.2909,0.2842,-0.0067,0.0775,0.9078
"4_short",2997,521,1161,97,0.6377,0.6916,0.0539,0.2238,0.6408
