season,off_mean,off_median,def_mean,def_median
2016,63.263671875,62.96875,63.263671875,63.09375
2017,62.6328125,62.28125,62.6328125,62.71875
2018,62.265625,62.53125,62.265625,61.65625
2019,62.806640625,62.78125,62.806640625,62.90625
2020,63.6171875,63.90625,63.6171875,63.59375
2021,62.755514705882355,62.41176470588235,62.755514705882355,62.26470588235294
2022,62.31295955882353,62.8235294117647,62.304802389705884,62.67647058823529
2023,62.42095588235294,62.55882352941177,62.42095588235294,62.705882352941174
2024,61.52757352941177,61.08823529411765,61.52757352941177,61.11764705882353
2025,60.54595588235294,61.294117647058826,60.54595588235294,60.647058823529406
