game_id,team,plays,rushing_yards,passing_yards,total_yards,points
2015_01_BAL_DEN,BAL,57,73,100,173,13
2015_01_BAL_DEN,DEN,68,70,150,220,19
2015_01_CAR_JAX,CAR,66,107,158,265,20
2015_01_CAR_JAX,JAX,65,96,169,265,9
2015_01_CIN_OAK,CIN,63,129,269,398,33
2015_01_CLE_NYJ,CLE,63,104,217,321,10
2015_01_CLE_NYJ,NYJ,59,155,179,334,31
2015_01_DET_SD,DET,47,69,233,302,28
2015_01_GB_CHI,CHI,70,189,213,402,23
2015_01_GB_CHI,GB,51,134,189,323,31
2015_01_IND_BUF,BUF,52,151,195,346,27
2015_01_IND_BUF,IND,67,65,240,305,14
2015_01_KC_HOU,HOU,73,98,298,396,20
2015_01_KC_HOU,KC,64,100,233,333,27
2015_01_MIA_WAS,MIA,54,75,182,257,17
2015_01_MIA_WAS,WAS,68,162,188,350,10
2015_01_MIN_SF,MIN,54,71,177,248,3
2015_01_MIN_SF,SF,64,232,165,397,20
2015_01_NO_ARI,ARI,56,121,307,428,31
2015_01_NO_ARI,NO,70,54,354,408,19
2015_01_NYG_DAL,DAL,67,81,356,437,27
2015_01_NYG_DAL,NYG,61,99,186,285,26
2015_01_PHI_ATL,ATL,67,108,290,398,26
2015_01_PHI_ATL,PHI,68,63,336,399,24
2015_01_PIT_NE,NE,57,82,281,363,28
2015_01_PIT_NE,PIT,66,134,330,464,21
2015_01_SEA_STL,SEA,78,125,219,344,31
2015_01_TEN_TB,TB,63,92,181,273,14
2015_01_TEN_TB,TEN,46,129,185,314,42
2015_02_ARI_CHI,ARI,50,117,185,302,48
2015_02_ARI_CHI,CHI,62,109,226,335,23
2015_02_ATL_NYG,ATL,69,57,346,403,24
2015_02_ATL_NYG,NYG,65,97,291,388,20
2015_02_BAL_OAK,BAL,70,109,384,493,33
2015_02_DAL_PHI,DAL,68,111,250,361,20
2015_02_DAL_PHI,PHI,55,7,219,226,10
2015_02_DEN_KC,DEN,70,61,238,299,31
2015_02_DEN_KC,KC,58,147,167,314,24
2015_02_DET_MIN,DET,70,38,285,323,16
2015_02_DET_MIN,MIN,60,201,151,352,26
2015_02_HOU_CAR,CAR,71,173,178,351,24
2015_02_HOU_CAR,HOU,82,61,239,300,17
2015_02_MIA_JAX,JAX,65,124,273,397,23
2015_02_MIA_JAX,MIA,61,42,344,386,20
2015_02_NE_BUF,BUF,65,160,189,349,32
2015_02_NE_BUF,NE,73,60,451,511,40
2015_02_NYJ_IND,IND,61,93,250,343,7
2015_02_NYJ_IND,NYJ,62,101,243,344,20
2015_02_SD_CIN,CIN,60,177,214,391,24
2015_02_SEA_GB,GB,63,128,234,362,27
2015_02_SEA_GB,SEA,56,119,205,324,17
2015_02_SF_PIT,PIT,48,88,369,457,43
2015_02_SF_PIT,SF,82,111,298,409,18
2015_02_STL_WAS,WAS,66,182,191,373,24
2015_02_TB_NO,NO,68,105,219,324,19
2015_02_TB_NO,TB,59,139,194,333,26
2015_02_TEN_CLE,CLE,46,117,158,275,28
2015_02_TEN_CLE,TEN,74,166,219,385,14
2015_03_ATL_DAL,ATL,68,159,280,439,39
2015_03_ATL_DAL,DAL,49,127,220,347,28
2015_03_BUF_MIA,BUF,62,153,277,430,41
2015_03_BUF_MIA,MIA,70,103,289,392,14
2015_03_CHI_SEA,CHI,46,98,48,146,0
2015_03_CHI_SEA,SEA,61,161,212,373,26
2015_03_CIN_BAL,BAL,67,36,362,398,24
2015_03_CIN_BAL,CIN,63,88,372,460,28
2015_03_DEN_DET,DEN,61,42,313,355,24
2015_03_DEN_DET,DET,67,29,262,291,12
2015_03_IND_TEN,IND,53,136,245,381,35
