Week,Matchup,Simulations,Avg Away Score,Avg Home Score,Avg Spread,Avg Total,Avg Plays,Plays > 20,Punts,Away Win %,Home Win %,Projected Winner
1,DAL@PHI,1000,22.1,24.2,-2.2,46.3,123.2,6.8,7.1,43.0%,57.0%,PHI
1,KC@LAC,1000,30.4,18.6,+11.9,49.0,124.9,7.5,7.5,72.5%,27.5%,KC
1,TB@ATL,1000,24.7,22.6,+2.1,47.3,124.1,7.5,7.5,51.8%,48.2%,TB
1,CIN@CLE,1000,23.3,21.4,+1.8,44.7,123.3,6.0,7.7,52.0%,48.0%,CIN
1,MIA@IND,1000,24.3,20.9,+3.3,45.2,124.1,6.4,7.5,54.7%,45.3%,MIA
1,CAR@JAX,1000,18.3,25.9,-7.6,44.2,124.5,6.3,7.8,30.6%,69.4%,JAX
1,LV@NE,1000,21.1,18.9,+2.3,40.0,123.8,5.5,8.5,53.4%,46.6%,LV
1,ARI@NO,1000,23.5,21.2,+2.3,44.8,121.7,6.3,7.6,54.5%,45.5%,ARI
1,PIT@NYJ,1000,18.1,22.2,-4.1,40.3,125.3,5.0,8.4,37.2%,62.8%,NYJ
1,NYG@WAS,1000,20.5,23.8,-3.2,44.3,123.9,6.5,7.6,40.1%,59.9%,WAS
1,TEN@DEN,1000,18.5,27.2,-8.8,45.7,123.7,6.3,7.8,28.8%,71.2%,DEN
1,SF@SEA,1000,27.5,15.6,+11.9,43.1,122.6,5.7,7.8,74.2%,25.8%,SF
1,DET@GB,1000,25.3,24.4,+0.9,49.7,122.6,7.6,6.9,51.0%,49.0%,DET
1,HOU@LA,1000,24.2,20.8,+3.4,45.1,123.9,6.7,7.6,57.2%,42.8%,HOU
1,BAL@BUF,1000,24.6,22.9,+1.7,47.6,122.2,7.4,6.9,51.3%,48.7%,BAL
1,MIN@CHI,1000,25.0,20.8,+4.3,45.8,124.5,6.5,7.6,56.8%,43.2%,MIN
2,WAS@GB,1000,20.0,31.2,-11.2,51.2,124.2,7.4,7.3,25.0%,75.0%,GB
2,CLE@BAL,1000,17.3,25.0,-7.7,42.4,121.7,5.8,7.8,28.5%,71.5%,BAL
2,JAX@CIN,1000,21.8,25.2,-3.4,47.1,124.4,7.1,7.7,38.8%,61.2%,CIN
2,NYG@DAL,1000,14.0,30.3,-16.3,44.3,123.9,5.9,8.5,14.1%,85.9%,DAL
2,CHI@DET,1000,19.0,26.4,-7.4,45.4,122.5,6.6,7.4,31.4%,68.6%,DET
2,NE@MIA,1000,19.8,23.6,-3.8,43.4,124.3,6.2,8.2,39.8%,60.2%,MIA
2,SF@NO,1000,28.0,16.2,+11.8,44.2,121.8,6.0,7.7,72.8%,27.2%,SF
2,BUF@NYJ,1000,24.4,19.8,+4.6,44.2,124.1,6.5,7.8,58.0%,42.0%,BUF
2,SEA@PIT,1000,19.3,22.3,-3.0,41.7,125.1,5.1,8.0,41.5%,58.5%,PIT
2,LA@TEN,1000,27.2,18.4,+8.8,45.6,124.1,6.3,8.0,67.4%,32.6%,LA
2,CAR@ARI,1000,19.7,26.8,-7.2,46.5,122.5,6.3,7.4,31.1%,68.9%,ARI
2,DEN@IND,1000,25.3,20.5,+4.8,45.8,123.6,6.5,7.5,57.0%,43.0%,DEN
2,PHI@KC,1000,22.0,26.0,-4.0,48.1,123.6,7.7,7.1,38.8%,61.2%,KC
2,ATL@MIN,1000,23.1,26.0,-2.9,49.1,125.2,7.7,7.3,41.6%,58.4%,MIN
2,TB@HOU,1000,21.4,23.2,-1.8,44.6,123.6,6.4,7.5,44.1%,55.9%,HOU
2,LAC@LV,1000,24.8,20.3,+4.5,45.2,123.7,6.2,7.7,55.7%,44.3%,LAC
3,MIA@BUF,1000,21.3,27.3,-6.1,48.6,124.1,7.2,7.3,36.1%,63.9%,BUF
3,ATL@CAR,1000,28.6,19.1,+9.5,47.7,124.8,7.0,7.7,69.1%,30.9%,ATL
3,GB@CLE,1000,25.6,20.7,+4.9,46.4,123.3,6.3,7.5,60.7%,39.3%,GB
3,HOU@JAX,1000,25.3,18.9,+6.5,44.2,123.9,6.4,7.7,62.9%,37.1%,HOU
3,CIN@MIN,1000,23.2,24.8,-1.6,48.1,125.0,7.2,7.5,44.6%,55.4%,MIN
3,PIT@NE,1000,21.0,18.4,+2.7,39.4,124.9,5.1,8.2,53.9%,46.1%,PIT
3,LA@PHI,1000,19.5,26.7,-7.2,46.2,122.7,7.0,7.1,29.6%,70.4%,PHI
3,NYJ@TB,1000,21.1,21.2,-0.2,42.3,124.0,5.9,8.1,47.7%,52.3%,TB
3,IND@TEN,1000,23.4,18.9,+4.5,42.3,124.1,5.6,7.8,58.2%,41.8%,IND
