Team,Slot,Games,Player,pAtt_avg,pAtt_med,pAtt_std,pAtt_p05,pAtt_p95,pCmp_avg,pCmp_med,pCmp_std,pCmp_p05,pCmp_p95,pYds_avg,pYds_med,pYds_std,pYds_p05,pYds_p95,pTD_avg,pTD_med,pTD_std,pTD_p05,pTD_p95,int_avg,int_med,int_std,int_p05,int_p95,rAtt_avg,rAtt_med,rAtt_std,rAtt_p05,rAtt_p95,rYds_avg,rYds_med,rYds_std,rYds_p05,rYds_p95,rTD_avg,rTD_med,rTD_std,rTD_p05,rTD_p95,recYds_avg,recYds_med,recYds_std,recYds_p05,recYds_p95,recTD_avg,recTD_med,recTD_std,recTD_p05,recTD_p95,targets_avg,targets_med,targets_std,targets_p05,targets_p95,rec_avg,rec_med,rec_std,rec_p05,rec_p95,touches_avg,touches_med,touches_std,touches_p05,touches_p95,fumbles_avg,fumbles_med,fumbles_std,fumbles_p05,fumbles_p95,fumbles_lost_avg,fumbles_lost_med,fumbles_lost_std,fumbles_lost_p05,fumbles_lost_p95,sacks_taken_avg,sacks_taken_med,sacks_taken_std,sacks_taken_p05,sacks_taken_p95,def_sack_avg,def_sack_med,def_sack_std,def_sack_p05,def_sack_p95,def_int_avg,def_int_med,def_int_std,def_int_p05,def_int_p95,def_fumble_rec_avg,def_fumble_rec_med,def_fumble_rec_std,def_fumble_rec_p05,def_fumble_rec_p95,def_td_avg,def_td_med,def_td_std,def_td_p05,def_td_p95,pts_allowed_avg,pts_allowed_med,pts_allowed_std,pts_allowed_p05,pts_allowed_p95,dk_score_avg,dk_score_med,dk_score_std,dk_score_p05,dk_score_p95,fd_score_avg,fd_score_med,fd_score_std,fd_score_p05,fd_score_p95
ARI,DST,4000,Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,1.0,1.18,0.0,4.0,0.57,0.0,0.77,0.0,2.0,0.16,0.0,0.4,0.0,1.0,0.07,0.0,0.26,0.0,1.0,23.1,21.0,11.41,7.0,44.0,3.65,3.0,4.57,-3.0,12.0,3.65,3.0,4.57,-3.0,12.0
ARI,QB,4000,Kyler Murray,26.42,26.0,5.18,18.0,35.0,19.29,19.0,4.41,12.0,27.0,184.77,182.0,56.19,99.0,283.0,1.47,1.0,1.18,0.0,4.0,0.52,0.0,0.72,0.0,2.0,5.08,5.0,2.34,2.0,9.0,22.41,19.0,17.71,1.0,56.0,0.15,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08,5.0,2.34,2.0,9.0,0.09,0.0,0.3,0.0,1.0,0.05,0.0,0.21,0.0,0.0,1.35,1.0,1.17,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.89,15.06,7.27,5.32,28.84,15.19,14.49,7.35,4.28,28.12
ARI,RB1,4000,James Conner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.77,17.0,4.41,10.0,24.0,74.77,71.0,34.33,26.0,135.0,0.48,0.0,0.72,0.0,2.0,20.62,15.0,20.68,0.0,61.05,0.17,0.0,0.41,0.0,1.0,2.73,3.0,1.68,0.0,6.0,1.97,2.0,1.42,0.0,5.0,18.75,19.0,4.66,12.0,27.0,0.1,0.0,0.32,0.0,1.0,0.05,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.96,14.5,8.77,4.8,32.3,14.22,12.9,7.8,4.3,29.0
ARI,RB2,4000,Trey Benson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,4.0,2.16,1.0,8.0,19.67,16.0,16.15,0.0,50.0,0.12,0.0,0.35,0.0,1.0,3.01,0.0,7.86,0.0,19.0,0.02,0.0,0.15,0.0,0.0,0.3,0.0,0.54,0.0,1.0,0.27,0.0,0.52,0.0,1.0,4.72,5.0,2.22,1.0,9.0,0.02,0.0,0.15,0.0,0.0,0.01,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37,2.3,3.36,0.1,10.2,3.2,2.2,3.26,0.0,10.0
ARI,RB3,4000,Michael Carter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,2.0,1.56,0.0,5.0,11.18,8.0,11.91,0.0,34.0,0.07,0.0,0.26,0.0,1.0,3.32,0.0,7.61,0.0,19.0,0.03,0.0,0.18,0.0,0.0,0.54,0.0,0.74,0.0,2.0,0.37,0.0,0.63,0.0,2.0,2.84,3.0,1.69,0.0,6.0,0.01,0.0,0.11,0.0,0.0,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.4,2.86,0.0,8.5,2.21,1.3,2.71,0.0,8.2
ARI,RB4,4000,Emari Demercado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,1.0,1.32,0.0,4.0,7.4,5.0,9.54,-1.0,26.0,0.06,0.0,0.24,0.0,1.0,6.56,0.0,10.71,0.0,29.0,0.06,0.0,0.24,0.0,1.0,1.02,1.0,1.01,0.0,3.0,0.68,0.0,0.81,0.0,2.0,2.34,2.0,1.56,0.0,5.0,0.01,0.0,0.11,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,1.7,3.17,0.0,9.5,2.39,1.4,2.94,0.0,8.8
ARI,RB5,4000,D.Dallas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.79,0.0,2.0,2.88,0.0,5.99,0.0,14.0,0.02,0.0,0.14,0.0,0.0,0.86,0.0,3.6,0.0,8.0,0.01,0.0,0.09,0.0,0.0,0.14,0.0,0.38,0.0,1.0,0.1,0.0,0.33,0.0,1.0,0.75,1.0,0.86,0.0,2.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,1.44,0.0,2.8,0.59,0.0,1.37,0.0,2.5
ARI,RB6,4000,C.Tune,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.6,0.0,1.0,1.6,0.0,4.71,0.0,10.0,0.01,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.6,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.87,0.0,1.0,0.22,0.0,0.87,0.0,1.0
ARI,RB7,4000,T.Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.53,0.0,1.0,1.2,0.0,3.78,0.0,8.0,0.01,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.53,0.0,1.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.71,0.0,0.9,0.17,0.0,0.71,0.0,0.8
ARI,WR1,4000,Trey McBride,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.25,0.0,1.0,0.28,0.0,1.84,0.0,0.0,0.0,0.0,0.04,0.0,0.0,55.22,52.0,30.87,12.0,112.0,0.37,0.0,0.61,0.0,2.0,7.29,7.0,2.7,3.0,12.0,5.67,6.0,2.41,2.0,10.0,5.74,6.0,2.43,2.0,10.0,0.02,0.0,0.15,0.0,0.0,0.01,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.73,12.4,7.58,3.6,28.2,10.59,9.4,6.19,2.5,22.3
