Team,Conference,Division,Wins_Expected,Losses_Expected,PF_Avg,PA_Avg,Div_Wins_Avg,Div_Losses_Avg,Division_%,Playoffs_%,Champion_%,games_played
BUF,AFC,East,1.0,0.0,36.0,31.0,0.0,0.0,0.0,0.0,0.0,1
MIA,AFC,East,0.0,1.0,13.0,27.0,0.0,0.0,0.0,0.0,0.0,1
NE,AFC,East,0.0,1.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,1
NYJ,AFC,East,1.0,0.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,1
BAL,AFC,North,1.0,0.0,41.0,23.0,0.0,0.0,0.0,0.0,0.0,1
CIN,AFC,North,1.0,0.0,33.0,27.0,0.0,0.0,0.0,0.0,0.0,1
CLE,AFC,North,0.0,1.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,1
PIT,AFC,North,1.0,0.0,20.0,13.0,0.0,0.0,0.0,0.0,0.0,1
HOU,AFC,South,0.0,1.0,31.0,36.0,0.0,0.0,0.0,0.0,0.0,1
IND,AFC,South,0.0,1.0,23.0,41.0,0.0,0.0,0.0,0.0,0.0,1
JAX,AFC,South,1.0,0.0,34.0,10.0,0.0,0.0,0.0,0.0,0.0,1
TEN,AFC,South,0.0,1.0,10.0,23.0,0.0,0.0,0.0,0.0,0.0,1
DEN,AFC,West,0.0,1.0,10.0,31.0,0.0,1.0,0.0,0.0,0.0,1
KC,AFC,West,1.0,0.0,31.0,10.0,1.0,0.0,0.0,0.0,0.0,1
LV,AFC,West,1.0,0.0,27.0,13.0,0.0,0.0,0.0,0.0,0.0,1
LAC,AFC,West,0.0,1.0,14.0,26.0,0.0,0.0,0.0,0.0,0.0,1
DAL,NFC,East,0.0,1.0,20.0,28.0,0.0,1.0,0.0,0.0,0.0,1
NYG,NFC,East,1.0,0.0,28.0,20.0,1.0,0.0,0.0,0.0,0.0,1
PHI,NFC,East,1.0,0.0,24.0,22.0,1.0,0.0,0.0,0.0,0.0,1
WAS,NFC,East,0.0,1.0,22.0,24.0,0.0,1.0,0.0,0.0,0.0,1
CHI,NFC,North,1.0,0.0,59.0,37.0,0.0,0.0,0.0,0.0,0.0,1
DET,NFC,North,1.0,0.0,31.0,30.0,0.0,0.0,0.0,0.0,0.0,1
GB,NFC,North,0.0,1.0,22.0,39.0,0.0,1.0,0.0,0.0,0.0,1
MIN,NFC,North,1.0,0.0,39.0,22.0,1.0,0.0,0.0,0.0,0.0,1
ATL,NFC,South,0.0,1.0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,1
CAR,NFC,South,0.0,1.0,37.0,59.0,0.0,0.0,0.0,0.0,0.0,1
NO,NFC,South,0.0,1.0,30.0,31.0,0.0,0.0,0.0,0.0,0.0,1
TB,NFC,South,0.0,1.0,27.0,33.0,0.0,0.0,0.0,0.0,0.0,1
ARI,NFC,West,1.0,0.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,1
LA,NFC,West,0.0,1.0,7.0,27.0,0.0,1.0,0.0,0.0,0.0,1
SF,NFC,West,1.0,0.0,27.0,7.0,1.0,0.0,0.0,0.0,0.0,1
SEA,NFC,West,1.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,1
