Team,PF_avg,PA_avg,PointDiff_avg,pYds_avg,rYds_avg,TotalYds_avg,games_played
BUF,36.0,31.0,5.0,334.0,57.0,391.0,1
MIA,13.0,27.0,-14.0,220.0,36.0,256.0,1
NE,10.0,13.0,-3.0,178.0,51.0,229.0,1
NYJ,23.0,10.0,13.0,215.0,142.0,357.0,1
BAL,41.0,23.0,18.0,324.0,144.0,468.0,1
CIN,33.0,27.0,6.0,254.0,56.0,310.0,1
CLE,10.0,34.0,-24.0,205.0,33.0,238.0,1
PIT,20.0,13.0,7.0,221.0,46.0,267.0,1
HOU,31.0,36.0,-5.0,274.0,60.0,334.0,1
IND,23.0,41.0,-18.0,166.0,98.0,264.0,1
JAX,34.0,10.0,24.0,245.0,66.0,311.0,1
TEN,10.0,23.0,-13.0,140.0,0.0,140.0,1
DEN,10.0,31.0,-21.0,131.0,0.0,131.0,1
KC,31.0,10.0,21.0,184.0,173.0,357.0,1
LV,27.0,13.0,14.0,160.0,102.0,262.0,1
LAC,14.0,26.0,-12.0,209.0,43.0,252.0,1
DAL,20.0,28.0,-8.0,175.0,41.0,216.0,1
NYG,28.0,20.0,8.0,230.0,81.0,311.0,1
PHI,24.0,22.0,2.0,203.0,83.0,286.0,1
WAS,22.0,24.0,-2.0,164.0,63.0,227.0,1
CHI,59.0,37.0,22.0,269.0,224.0,493.0,1
DET,31.0,30.0,1.0,206.0,156.0,362.0,1
GB,22.0,39.0,-17.0,387.0,37.0,424.0,1
MIN,39.0,22.0,17.0,133.0,99.0,232.0,1
ATL,13.0,20.0,-7.0,143.0,83.0,226.0,1
CAR,37.0,59.0,-22.0,361.0,49.0,410.0,1
NO,30.0,31.0,-1.0,410.0,0.0,410.0,1
TB,27.0,33.0,-6.0,216.0,0.0,216.0,1
ARI,26.0,14.0,12.0,277.0,102.0,379.0,1
LA,7.0,27.0,-20.0,155.0,95.0,250.0,1
SF,27.0,7.0,20.0,205.0,133.0,338.0,1
SEA,13.0,10.0,3.0,187.0,52.0,239.0,1
