Team,Conference,Division,Wins_Median,Losses_Median,Ties_Median,Wins_Min,Wins_P05,Wins_P25,Wins_P75,Wins_P95,Wins_Max,PF_Avg,PA_Avg,Div_Wins_Avg,Div_Losses_Avg,Div_Ties_Avg,Playoffs_%,Divional_%,Conference_%,SuperBowl_%,Champion_%
BUF,AFC,East,15.0,2.0,0.0,10.0,12.0,13.5,15.0,16.525,17.0,503.08272727272725,383.9809090909091,5.53,0.47,0.02,100.0,98.0,67.0,33.0,17.0
MIA,AFC,East,8.0,9.0,0.0,4.0,5.0,6.5,9.0,11.0,12.0,413.03999999999985,422.94999999999993,2.44,3.56,0.03,28.999999999999996,5.0,0.0,0.0,0.0
NE,AFC,East,7.0,10.0,0.0,3.0,4.0,6.0,8.0,10.049999999999997,13.0,394.6863636363636,414.6236363636364,1.625,4.375,0.035,16.0,3.0,0.0,0.0,0.0
NYJ,AFC,East,8.0,9.0,0.0,3.5,5.0,7.0,9.5,11.024999999999999,12.5,419.2736363636364,432.59636363636366,2.405,3.595,0.035,37.0,9.0,3.0,0.0,0.0
BAL,AFC,North,13.5,3.5,0.0,11.0,11.0,12.875,15.0,16.0,17.0,485.06181818181824,381.07000000000005,5.49,0.51,0.02,100.0,91.0,67.0,41.0,19.0
CIN,AFC,North,10.0,7.0,0.0,5.0,7.0,9.0,11.0,12.524999999999999,13.5,465.6527272727272,443.52272727272725,3.45,2.55,0.03,76.0,25.0,2.0,0.0,0.0
CLE,AFC,North,3.0,14.0,0.0,0.0,1.0,2.0,4.0,6.0,7.0,355.87909090909096,463.6236363636363,1.02,4.98,0.05,0.0,0.0,0.0,0.0,0.0
PIT,AFC,North,6.0,11.0,0.0,2.5,3.0,5.0,7.0,8.024999999999999,10.0,396.0409090909091,446.20272727272726,2.04,3.96,0.05,3.0,0.0,0.0,0.0,0.0
HOU,AFC,South,10.0,7.0,0.0,5.5,7.0,9.0,11.5,13.524999999999999,15.0,429.45272727272726,386.569090909091,5.02,0.98,0.04,87.0,41.0,7.000000000000001,2.0,0.0
IND,AFC,South,2.0,15.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,323.12636363636364,473.65545454545446,0.695,5.305,0.025,0.0,0.0,0.0,0.0,0.0
JAX,AFC,South,8.0,9.0,0.0,4.5,5.475,7.0,9.5,11.049999999999997,12.5,418.86,419.7209090909091,3.605,2.395,0.045,37.0,13.0,1.0,0.0,0.0
TEN,AFC,South,6.0,11.0,0.0,1.0,3.0,4.375,7.0,9.0,13.0,374.35181818181815,424.50454545454545,2.68,3.32,0.02,7.000000000000001,0.0,0.0,0.0,0.0
DEN,AFC,West,8.5,8.5,0.0,2.0,5.0,7.0,10.0,11.049999999999997,13.0,416.2809090909091,419.0472727272726,2.76,3.24,0.07,39.0,12.0,1.0,0.0,0.0
KC,AFC,West,14.0,3.0,0.0,9.5,11.475,13.0,15.0,16.0,16.0,499.27090909090913,376.23181818181814,5.435,0.565,0.025,99.0,84.0,50.0,24.0,13.0
LV,AFC,West,3.0,14.0,0.0,0.0,1.0,2.5,4.0,6.0,7.0,335.84545454545446,443.3045454545455,0.68,5.32,0.03,0.0,0.0,0.0,0.0,0.0
LAC,AFC,West,9.5,7.5,0.0,5.0,7.0,8.0,10.5,12.0,14.0,423.8518181818183,408.26,3.125,2.875,0.045,70.0,19.0,2.0,0.0,0.0
DAL,NFC,East,11.5,5.5,0.0,3.0,9.0,10.375,12.0,13.524999999999999,15.0,456.75272727272727,403.7818181818182,4.235,1.765,0.035,92.0,55.00000000000001,20.0,4.0,3.0
NYG,NFC,East,3.0,14.0,0.0,0.0,0.4750000000000001,2.0,4.0,5.0,6.0,360.63909090909095,476.01363636363635,0.785,5.215,0.035,0.0,0.0,0.0,0.0,0.0
PHI,NFC,East,10.0,7.0,0.0,5.0,6.0,8.5,11.0,12.0,14.0,440.99727272727273,419.5045454545455,3.99,2.01,0.04,59.0,34.0,7.000000000000001,3.0,0.0
WAS,NFC,East,8.0,9.0,0.0,4.0,5.0,7.0,10.0,12.0,13.0,430.29999999999995,434.2381818181819,2.99,3.01,0.05,35.0,12.0,4.0,2.0,0.0
CHI,NFC,North,6.0,11.0,0.0,3.0,3.5,5.0,7.5,9.0,12.5,410.96454545454543,451.97272727272735,1.46,4.54,0.07,3.0,1.0,0.0,0.0,0.0
DET,NFC,North,9.0,8.0,0.0,5.5,7.0,8.5,11.0,12.0,14.0,438.24454545454546,411.66727272727263,2.8,3.2,0.07,49.0,28.000000000000004,11.0,3.0,1.0
GB,NFC,North,10.0,7.0,0.0,5.5,8.0,9.0,11.5,13.0,13.5,459.3400000000001,427.3136363636364,3.06,2.94,0.03,61.0,24.0,7.000000000000001,3.0,2.0
MIN,NFC,North,14.0,3.0,0.0,9.0,10.975,13.0,15.0,16.0,17.0,494.8372727272727,401.36090909090905,4.68,1.32,0.1,98.0,82.0,68.0,49.0,28.999999999999996
ATL,NFC,South,7.5,9.5,0.0,3.0,5.0,6.0,9.0,10.524999999999999,12.0,413.9854545454545,427.31,2.91,3.09,0.07,22.0,7.000000000000001,0.0,0.0,0.0
CAR,NFC,South,4.0,13.0,0.0,0.0,1.475,3.0,5.625,7.0,10.0,376.700909090909,445.8127272727273,1.89,4.11,0.09,1.0,1.0,0.0,0.0,0.0
NO,NFC,South,8.0,9.0,0.0,4.0,4.5,6.375,9.0,10.524999999999999,12.0,403.71363636363645,418.4263636363637,2.93,3.07,0.09,23.0,6.0,0.0,0.0,0.0
TB,NFC,South,10.0,7.0,0.0,6.0,8.0,9.0,11.5,13.0,14.5,426.95909090909083,401.89818181818185,4.27,1.73,0.07,82.0,38.0,16.0,7.000000000000001,2.0
ARI,NFC,West,8.0,9.0,0.0,1.0,4.5,6.5,9.0,10.0,12.0,407.06272727272716,420.32454545454544,2.095,3.905,0.045,16.0,3.0,0.0,0.0,0.0
LA,NFC,West,7.5,9.5,0.0,3.0,4.975,6.0,8.5,10.0,12.0,409.9727272727273,433.24454545454546,2.275,3.725,0.025,18.0,6.0,1.0,0.0,0.0
SF,NFC,West,14.75,2.25,0.0,11.5,12.95,13.875,15.125,16.5,17.0,484.54454545454536,366.1272727272727,5.01,0.99,0.04,100.0,88.0,64.0,28.000000000000004,13.0
SEA,NFC,West,9.0,8.0,0.0,6.0,7.0,8.0,10.5,12.0,14.0,407.0581818181818,396.9700000000001,2.62,3.38,0.07,41.0,15.0,2.0,1.0,1.0
