Team,Conference,Division,Wins_Expected,Losses_Expected,Wins_Mean,Losses_Mean,Ties_Mean,Wins_Median,Losses_Median,Ties_Median,Wins_Min,Wins_P05,Wins_P25,Wins_P75,Wins_P95,Wins_Max,PF_Avg,PA_Avg,Div_Wins_Avg,Div_Losses_Avg,Div_Ties_Avg,Division_%,Playoffs_%,Divional_%,Conference_%,SuperBowl_%,Champion_%
BUF,AFC,East,10.845,6.154999999999999,13.21,3.79,0.18,13.0,4.0,0.0,10.0,11.0,12.0,14.0,15.5,16.0,455.56000000000006,363.8036363636364,5.6,0.4,0.02,98.0,100.0,80.0,50.0,25.0,13.0
MIA,AFC,East,6.1945,10.8055,3.665,13.335,0.155,3.75,13.25,0.0,0.5,1.5,3.0,4.0,6.0,8.0,329.69,410.29545454545456,1.385,4.615,0.065,0.0,0.0,0.0,0.0,0.0,0.0
NE,AFC,East,8.559,8.441,8.49,8.51,0.18,8.25,8.75,0.0,4.0,6.0,7.5,10.0,11.0,12.0,382.4409090909092,381.93727272727267,3.635,2.365,0.065,2.0,59.0,9.0,3.0,0.0,0.0
NYJ,AFC,East,6.674,10.326,4.895,12.105,0.175,5.0,12.0,0.0,2.0,2.475,4.0,6.0,7.0,8.0,329.45363636363635,398.0581818181818,1.38,4.62,0.07,0.0,0.0,0.0,0.0,0.0,0.0
BAL,AFC,North,10.729,6.271000000000001,12.79,4.21,0.16,13.0,4.0,0.0,9.5,10.975,12.0,14.0,15.0,15.0,431.13818181818186,358.5409090909091,4.515,1.485,0.035,14.000000000000002,100.0,64.0,31.0,15.0,4.0
CIN,AFC,North,11.888,5.112,14.945,2.055,0.135,15.0,2.0,0.0,12.5,13.0,14.0,16.0,17.0,17.0,457.7336363636363,338.6027272727273,5.17,0.83,0.02,86.0,100.0,94.0,67.0,42.0,21.0
CLE,AFC,North,6.765499999999999,10.2345,4.955,12.045,0.175,5.0,12.0,0.0,2.0,2.5,4.0,6.0,7.024999999999999,9.5,316.6045454545455,379.09727272727264,0.88,5.12,0.05,0.0,3.0,0.0,0.0,0.0,0.0
PIT,AFC,North,7.045000000000001,9.954999999999998,5.42,11.58,0.2,5.5,11.5,0.0,1.0,2.5,4.5,6.5,8.5,10.0,346.10545454545456,392.3436363636364,1.435,4.565,0.045,0.0,5.0,0.0,0.0,0.0,0.0
HOU,AFC,South,9.5055,7.4945,10.745,6.255,0.195,11.0,6.0,0.0,6.5,8.0,9.5,12.0,13.5,16.0,395.07818181818175,358.97727272727275,4.88,1.12,0.05,92.0,96.0,42.0,16.0,7.000000000000001,1.0
IND,AFC,South,7.596000000000001,9.404,6.9,10.1,0.26,7.0,10.0,0.0,2.0,4.0,6.0,8.0,10.0,10.5,350.6527272727272,377.3727272727273,3.025,2.975,0.095,4.0,15.0,2.0,0.0,0.0,0.0
JAX,AFC,South,7.7215,9.278500000000001,6.605,10.395,0.225,6.5,10.5,0.0,4.0,4.0,5.5,8.0,9.0,10.5,369.7981818181818,393.1645454545454,3.25,2.75,0.08,4.0,15.0,1.0,0.0,0.0,0.0
TEN,AFC,South,5.4929999999999986,11.507000000000001,2.735,14.265,0.165,3.0,14.0,0.0,0.0,1.0,2.0,3.625,5.0,6.0,299.25,410.9018181818182,0.845,5.155,0.075,0.0,0.0,0.0,0.0,0.0,0.0
DEN,AFC,West,10.431500000000002,6.5684999999999985,12.515,4.485,0.145,13.0,4.0,0.0,8.0,10.0,12.0,13.125,14.524999999999999,15.5,402.99727272727284,328.2827272727273,4.725,1.275,0.075,69.0,100.0,53.0,14.000000000000002,2.0,0.0
KC,AFC,West,10.010999999999997,6.9890000000000025,11.37,5.63,0.2,11.0,6.0,0.0,8.0,9.0,10.0,13.0,14.024999999999999,15.0,417.7909090909091,355.8318181818182,4.615,1.385,0.055,31.0,98.0,55.00000000000001,19.0,9.0,1.0
LV,AFC,West,4.575,12.425,1.59,15.41,0.09,1.5,15.5,0.0,0.0,0.0,1.0,2.0,3.0,5.5,277.34909090909093,430.2036363636364,0.155,5.845,0.015,0.0,0.0,0.0,0.0,0.0,0.0
LAC,AFC,West,7.485499999999999,9.514500000000002,6.31,10.69,0.14,6.0,11.0,0.0,2.0,3.95,5.375,7.0,8.524999999999999,11.5,364.27,401.38727272727266,2.505,3.495,0.065,0.0,9.0,0.0,0.0,0.0,0.0
DAL,NFC,East,10.579500000000001,6.420499999999999,13.1,3.9,0.18,13.0,4.0,0.0,9.0,10.475,12.0,14.0,15.524999999999999,16.0,413.4218181818181,338.41181818181815,4.81,1.19,0.06,69.0,96.0,57.99999999999999,35.0,17.0,9.0
NYG,NFC,East,5.765999999999999,11.234000000000002,3.26,13.74,0.14,3.0,14.0,0.0,0.0,1.0,2.0,4.0,5.024999999999999,7.0,313.69545454545454,404.08636363636367,0.315,5.685,0.015,0.0,0.0,0.0,0.0,0.0,0.0
PHI,NFC,East,10.186,6.814,12.02,4.98,0.18,12.0,5.0,0.0,8.0,9.5,11.0,13.0,14.524999999999999,16.0,413.48636363636365,359.73181818181814,3.8,2.2,0.06,30.0,80.0,36.0,10.0,5.0,1.0
WAS,NFC,East,8.926,8.074,9.395,7.605,0.255,9.5,7.5,0.0,6.0,6.475,8.5,10.125,12.5,14.0,394.74999999999994,379.4236363636364,3.075,2.925,0.085,1.0,23.0,7.000000000000001,1.0,0.0,0.0
CHI,NFC,North,8.295,8.705,7.96,9.04,0.23,8.0,9.0,0.0,5.0,5.5,6.875,9.0,11.0,12.5,383.2663636363637,393.85909090909087,1.92,4.08,0.08,0.0,7.000000000000001,2.0,0.0,0.0,0.0
DET,NFC,North,12.160499999999999,4.839500000000001,15.275,1.725,0.105,15.0,2.0,0.0,12.0,13.5,14.875,16.0,17.0,17.0,448.6863636363637,317.9072727272727,4.855,1.145,0.055,84.0,100.0,90.0,67.0,42.0,33.0
GB,NFC,North,10.613499999999998,6.386500000000002,13.295,3.705,0.245,13.25,3.75,0.0,10.0,11.0,12.0,14.5,15.024999999999999,16.0,435.0127272727274,363.0763636363635,4.27,1.73,0.11,16.0,97.0,74.0,42.0,22.0,13.0
MIN,NFC,North,7.571000000000001,9.428999999999998,6.29,10.71,0.2,6.5,10.5,0.0,3.0,4.0,5.0,7.5,8.024999999999999,10.0,350.94090909090903,383.9627272727272,0.955,5.045,0.055,0.0,0.0,0.0,0.0,0.0,0.0
ATL,NFC,South,8.496,8.504,8.64,8.36,0.2,8.5,8.5,0.0,4.5,6.0,7.5,10.0,11.049999999999997,14.0,380.6045454545454,382.3972727272728,4.155,1.845,0.105,47.0,47.0,13.0,3.0,1.0,0.0
CAR,NFC,South,5.6895,11.310500000000001,2.765,14.235,0.155,3.0,14.0,0.0,0.0,1.0,2.0,4.0,5.0,5.5,314.30636363636364,413.1454545454546,1.155,4.845,0.095,0.0,0.0,0.0,0.0,0.0,0.0
NO,NFC,South,8.0755,8.9245,7.75,9.25,0.21,7.5,9.5,0.0,4.0,5.0,6.5,9.0,11.0,12.0,363.67818181818177,376.5427272727273,2.985,3.015,0.085,23.0,24.0,3.0,1.0,1.0,0.0
TB,NFC,South,8.381,8.619,8.06,8.94,0.23,8.0,9.0,0.0,4.5,5.475,7.0,9.0,11.0,11.5,365.20363636363635,371.5463636363636,3.705,2.295,0.075,30.0,32.0,5.0,1.0,0.0,0.0
ARI,NFC,West,5.6819999999999995,11.318000000000001,2.88,14.12,0.1,3.0,14.0,0.0,0.0,1.0,2.0,4.0,5.0,6.0,324.2536363636364,421.2590909090909,0.43,5.57,0.04,0.0,0.0,0.0,0.0,0.0,0.0
LA,NFC,West,9.2615,7.7385,9.94,7.06,0.22,10.0,7.0,0.0,6.5,7.5,9.0,11.0,12.5,13.5,393.60181818181815,363.33090909090913,3.525,2.475,0.095,6.0,37.0,18.0,4.0,2.0,0.0
SF,NFC,West,10.99,6.01,13.355,3.645,0.215,13.5,3.5,0.0,10.0,11.0,12.0,14.5,15.5,16.0,426.97181818181815,343.83818181818185,4.59,1.41,0.09,80.0,96.0,61.0,27.0,8.0,3.0
SEA,NFC,West,9.808,7.192,10.875,6.125,0.215,11.0,6.0,0.0,7.0,8.0,9.875,12.0,14.0,15.0,397.84090909090895,354.3136363636365,3.455,2.545,0.075,14.000000000000002,61.0,33.0,9.0,2.0,1.0
