Team,PF_avg,PA_avg,PF_med,PA_med,pYds_avg,pTD_avg,pYds_med,pTD_med,rYds_avg,rTD_avg,turnovers_avg,sacks_taken_avg,rYds_med,rTD_med,turnovers_med,sacks_taken_med,TotalYds_avg,TotalYds_med,def_sack_avg,def_int_avg,def_fumble_rec_avg,def_td_avg,def_sack_med,def_int_med,def_fumble_rec_med,def_td_med,PassYdsAllowed_avg,PassYdsAllowed_med,RushYdsAllowed_avg,Takeaways_avg,RushYdsAllowed_med,Takeaways_med,TotalYdsAllowed_avg,TotalYdsAllowed_med,Conference,Division,PointDiff_avg
ARI,324.623,421.897,323.0,421.0,3998.412,26.971,3996.0,27.0,1477.304,8.299,17.36,48.033,1470.5,8.0,17.0,48.0,5475.716,5466.5,28.435,8.758,3.848,1.169,28.0,9.0,4.0,1.0,3905.088,3907.0,2212.482,12.606,2210.0,12.0,6117.57,6117.0,NFC,West,-97.274
ATL,380.457,381.253,382.0,380.0,3787.435,29.837,3778.0,30.0,2096.871,13.116,11.455,25.722,2095.0,13.0,11.0,25.5,5884.3060000000005,5873.0,40.8,9.156,4.351,1.147,40.5,9.0,4.0,1.0,3817.911,3821.5,2196.058,13.507,2189.0,13.0,6013.969,6010.5,NFC,South,-0.7959999999999923
BAL,434.548,359.206,434.0,359.0,4196.111,38.001,4192.0,38.0,2242.591,15.074,13.314,50.374,2229.5,15.0,13.0,50.0,6438.701999999999,6421.5,30.974,10.651,3.93,1.25,31.0,11.0,4.0,1.0,3856.652,3846.0,1906.291,14.581,1897.5,14.0,5762.943,5743.5,AFC,North,75.34199999999998
BUF,454.405,364.654,453.0,363.0,4268.599,38.218,4263.0,38.0,2266.546,16.9,13.431,39.853,2265.5,17.0,13.0,40.0,6535.145,6528.5,48.038,9.706,4.998,1.32,48.0,9.0,5.0,1.0,3813.839,3814.5,2121.983,14.704,2118.0,14.0,5935.822,5932.5,AFC,East,89.75099999999998
CAR,315.542,411.95,314.5,412.0,3450.162,22.74,3446.0,23.0,1966.471,11.035,13.407,40.331,1962.0,11.0,13.0,40.0,5416.633,5408.0,30.745,8.774,3.795,1.086,31.0,9.0,4.0,1.0,3930.507,3925.0,2180.639,12.569,2179.0,12.0,6111.146000000001,6104.0,NFC,South,-96.40800000000002
CHI,384.605,393.409,386.0,391.0,3619.022,30.524,3620.5,30.5,2382.521,14.672,13.825,25.742,2380.0,15.0,14.0,26.0,6001.543,6000.5,36.992,8.571,4.238,1.113,37.0,8.0,4.0,1.0,3888.52,3885.5,2082.911,12.809,2077.0,13.0,5971.4310000000005,5962.5,NFC,North,-8.803999999999974
CIN,458.541,339.003,458.0,339.0,4727.732,41.235,4718.0,41.0,1734.574,12.935,11.606,38.438,1724.5,13.0,11.0,38.0,6462.3060000000005,6442.5,44.51,10.91,4.662,1.348,45.0,11.0,4.0,1.0,3725.39,3728.5,2054.841,15.572,2049.0,15.0,5780.231,5777.5,AFC,North,119.53800000000001
CLE,316.991,378.651,316.0,378.0,3252.824,22.94,3259.0,23.0,2074.063,11.544,17.487,42.006,2072.0,11.0,17.0,42.0,5326.887000000001,5331.0,58.36,8.896,5.545,1.203,58.0,9.0,5.0,1.0,3857.125,3858.0,1968.183,14.441,1962.5,14.0,5825.308,5820.5,AFC,North,-61.660000000000025
DAL,411.921,340.852,411.0,341.0,4032.447,33.436,4036.5,33.0,2119.829,13.248,12.004,27.241,2109.0,13.0,12.0,27.0,6152.276,6145.5,40.387,9.905,4.352,1.261,40.0,10.0,4.0,1.0,3805.233,3809.5,1873.424,14.257,1872.0,14.0,5678.657,5681.5,NFC,East,71.06900000000002
DEN,402.623,327.353,402.0,326.0,3690.345,28.843,3685.0,29.0,2298.11,17.202,13.445,25.098,2289.0,17.0,13.0,25.0,5988.455,5974.0,69.024,9.399,6.076,1.306,69.0,9.0,6.0,1.0,3883.467,3881.0,1649.313,15.475,1636.0,15.0,5532.780000000001,5517.0,AFC,West,75.26999999999998
